拜祖师	Adorando os ancestrais
灵石刀	Lâmina de Pedra Espiritual
寒晶长枪	Lança de Cristal de Gelo
星髓剑	Espada de Núcleo Lumina
大理石锤	Maça de Mármore
三千烦恼	Bolinhos de Sopa da Moralidade
干锅田鸡	Carne de Rã Cozida a Seco
棕石锤	Maça de Pedra Marrom
玄铁铃铛	Sino
断岳白骨铃	Sino de Osso Branco da Demolição
碧光斩仙弓	Arco Opalescente de Abate de Imortais
五内摄欲	Supressão dos Cinco Desejos Internos
铁剑	Espada de Ferro
兔皮厚制下裳	Calças de Inverno
万里飞星衣	Armadura Marchante de Luz Estelar
九宫飞羽散	Pó de Penugem dos Nove Palácios
灰石剑	Espada de Pedra Cinzenta
狼皮厚制下裳	Calças de Inverno
万里磨骨衫	Camisa Marchante de Moagem de Ossos
五戒琢玉	Polimento de Jade dos Cinco Preceitos
棕石弓	Arco de Pedra Marrom
原木	Madeira
甲乙玄光柱	Coluna Jia-Yi de Luz Mística
碧光索	Corda
布修行下裳	Calças de Cultivador de Tecido Vermelho
碧光落樱甲	Camisa Opalescente de Queda de Flor de Cerejeira
野猪皮休闲下裳	Calças Casuais de Pele de Javali
大理石剑	Espada de Mármore
布伞	Guarda-chuva
青龙圣伞	Guarda-chuva Sábio Azuragon
熊皮休闲衣衫	Camisa Casual de Pele de Urso
铁矿镐	Picareta de Ferro
狼皮休闲下裳	Calças Casuais de Pele de Lobo
青冥	Espada de Pedra Espiritual
灵石剑	Espada de Pedra Espiritual
万里异骨剑	Espada
玄铁刀	Lâmina de Aço Negro
霹雳万骨金	Tablete
口味蛇	Carne de Cobra Temperada
甲乙千魂局	Partida Jia-Yi dos Mil Almas
野猪皮香囊	Sachete Perfumado
地龙玄光囊	Bolsa do Dragão Terrestre de Luz Sombria
赤炎庇世镇	Jade Duplo
布香囊	Sachete Perfumado
碧光灵血囊	Bolsa Opalescente de Sangue Espiritual
寒晶铃铛	Sino
归源七魄铃	Sino dos Sete Espíritos Primordiais
星髓	Núcleo Lumina
开天恶魄金	Selo
苍莽赤血甲	Armadura Colossal de Sangue Carmesim
铁矿石	Minério de Ferro
白虎涤心珏	Selo
书	Escrito
长生紫薇册	Livro
公兔子粪便	Fezes
大理石墙	Parede de Mármore
铁门（通常）	Porta de Ferro
玉石墙	Parede de Jade
铁书架	Estante de Ferro Decorativa
梧桐木法座	Almofada de Qi de Madeira Parasol
铁墙	Muro de Ferro
铁琴台	Mesa de Cítara de Ferro
木灯柱	Poste de Madeira
铁假人桩	Boneco de Madeira de Ferro
木栅栏	Cerca de Madeira
铁门派山门	Portão de Seita de Ferro
铁陵墓	Túmulo de Ferro
铁香炉	Incensário de Ferro
铁手工桌	Estação de Artesanato de Ferro
铁制药桌	Mesa de Medicina de Ferro
铁桌子	Mesa de Ferro
铁床	Cama de Ferro
木油灯	Lâmpada a Óleo de Madeira
铁小方桌	Mesa Quadrada de Ferro
草蒲团	Almofada de Feno
铁丹炉	Forno de Alquimia de Ferro
铁炼宝台	Mesa de Fabricação de Ferro
铁花瓶	Vaso de Ferro
铁书画桌	Mesa de Talismãs de Ferro
铁虫鸟架	Gaiola de Ferro para Pássaros
铁法座	Almofada de Qi de Ferro
铁鼎	Caldeirão de Ferro
灵石置物台	Bancada de Pedra Espiritual
灵石道德天尊雕像	Estátua da Virtude de Pedra Espiritual
灵石灵宝天尊雕像	Estátua dos Tesouros de Pedra Espiritual
灵石屏风	Biombo de Pedra Espiritual
灵石墙	Muro de Pedra Espiritual
灵石门（通常）	Porta de Pedra Espiritual
灵石花瓶	Vaso de Pedra Espiritual
灵石双人床	Cama de Casal de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
大理石门（通常）	Porta de Mármore
灵石桌子	Mesa de Pedra Espiritual
铁灯笼	Lanterna de Ferro
铁灯柱	Poste de Ferro para Luz
铁围棋桌	Mesa de Go de Ferro
灵石护山剑阵	Escudo de Espada de Pedra Espiritual
铁油灯	Lâmpada a Óleo de Ferro
木练功点	Ponto de Treinamento de Madeira
铁水缸	Recipiente de Água de Ferro
木门（通常）	Porta de Madeira
寒晶门（通常）	Porta de Cristal de Gelo
金丝木门（通常）	Porta de Madeira Dourada
金丝木灯笼	Lanterna de Madeira Dourada
棕石花瓶	Vaso de Pedra Marrom
棕石熔炉	Forno de Pedra Marrom
寒晶鼎	Caldeirão de Cristal de Gelo
梧桐木花瓶	Vaso de Madeira Parasol
寒晶花瓶	Vaso de Cristal de Gelo
火铜花瓶	Vaso de Igneocobre
大理石花瓶	Vaso de Mármore
玄铁花瓶	Vaso de Aço Negro
星髓花瓶	Vaso de Núcleo Lumina
金丝木花瓶	Vaso de Madeira Dourada
铁屏风	Biombo de Ferro
铁锻铁台	Forja de Ferro
铁缝纫桌	Mesa de Costura de Ferro
铁纺织机	Tear de Ferro
寒晶八卦旗	Bandeira dos Trigramas de Cristal de Gelo
大理石狮子	Leão de Mármore
大理石灯笼	Lanterna de Mármore
大理石太极旗	Bandeira Tai Chi de Mármore
金丝木太极旗	Bandeira Tai Chi de Madeira Dourada
金丝木八卦旗	Bandeira dos Trigramas de Madeira Dourada
灵石元始天尊雕像	Estátua Primordial de Pedra Espiritual
灵石神鹤灯	Lanterna de Pedra Espiritual de Garça
灵石狮子	Leão de Pedra Espiritual
木法座	Almofada de Qi de Madeira
木太极旗	Bandeira Tai Chi de Madeira
大理石塔	Pagode de Mármore
灰石灯柱	Poste de Lâmpada de Pedra Cinzenta
灰石盆栽-迎客	Bonsai de Pedra Cinzenta (Pinheiro)
灰石盆栽-苍翠	Bonsai de Pedra Cinzenta (Verdejante)
灰石书架	Estante Decorativa de Pedra Cinzenta
灵石镇塔	Pagode Subjugador de Pedra Espiritual
灵石假山-叠嶂	Jardim de Rocha de Pedra Espiritual (Colina)
灵石盆栽-苍翠	Bonsai de Pedra Espiritual (Verdejante)
灵石太极旗	Bandeira Tai Chi de Pedra Espiritual
大理石香炉	Incensário de Mármore
一	Um
大理石碑	Estela de Mármore
太	Muito
大理石灯柱	Poste de Lâmpada de Mármore
大理石神鹤灯	Lanterna de Mármore de Garça
灰石钟	Sino de Pedra Cinzenta
灵石灯柱	Poste de Lâmpada de Pedra Espiritual
灵石雕塑	Gigante de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石祖师牌位	Placa Ancestral de Pedra Espiritual
灵石法座	Almofada de Qi de Pedra Espiritual
灵石八卦旗	Bandeira dos Trigramas de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石碑	Estela de Pedra Espiritual
灵石盆栽-迎客	Bonsai de Pedra Espiritual (Pinheiro)
灵石假山-层峦	Jardim de Rocha de Pedra Espiritual (Cume)
红布蒲团	Almofada de Tecido Vermelho
金丝木钟	Sino de Madeira Dourada
灵石观星台	Observatório de Pedra Espiritual
吃东西	Comer
睡觉	Dormir
闲逛	Passear
雌蛇	Serpente Fêmea
恶劣的环境	Ambiente Adverso
拆除	Demolir
脏乱的环境	Ambiente Sujo e Desordenado
漆黑	Negro
极寒	Congelante
挖矿	Minerar
昏暗	Pouco Iluminado
筑基	Treinamento de Fundação
全身受伤	Ferido em Todo o Corpo
冻伤导致全身被破坏	Congelamento Que Destruiu Todo o Corpo
滕	Teng
厚	Hou
母兔子	Coelho Fêmea
公兔子	Coelho Macho
人间绝景	Cenário Incomparável
境界提升	Ascensão de Reino
突破瓶颈	Quebra de Limite
芮	Rui
鸿畅	Hongchang
赌场老板	Dono de Cassino
掌门	Líder da Seita
非常饿	Extremamente Faminto
蔚	Yu
兴思	Xingsi
芮鸿畅	Rui Hongchang
有点热	Um Pouco Quente
需要房间	Precisa de Quarto
跟芮鸿畅发生了争吵	Discutiu com Rui Hongchang
炎热	Calor Escaldante
装备	Equipamento
褚	Chu
未熄	Weixi
多姿多彩	Vibrante
睡在地上	Dormir no Chão
有点冷	Um Pouco Frio
空旷的房间	Quarto Vazio
睡眠充沛	Sono Abundante
收获	Colheita
长孙	Zhangsun
山	Montanha
合适的衣装	Roupa Adequada
行为	Comportamento
庄	Zhuang
明	Ming
闻人	Wenren
刚	Gang
炙热	Escaldante
非常疲劳	Extremamente Cansado
咸	Xian
晓曼	Xiaoman
吃生食	Comer Alimentos Crus
秋	Qiu
梦琪	Mengqi
小麦	Trigo
汝克	Ruke
弃婴	Bebê Abandonado
筑基有成	Fundação Concluída
糟糕的布置	Mau Arranjo
翁	Weng
琼	Qiong
雪原少年	Jovem da Neve
新世界	Novo Mundo
灵气浓烈	Energia Espiritual Intensa
钭	Tou
自强	Ziqiang
佛门传承	Tradição Budista
矿工	Mineiro
睡在野外	Dormir ao Ar Livre
单	Shan
仁	Ren
夹谷世	Mundo Jiagu
夹谷	Jiagu
叶	Ye
单仁	Shanren
焦	Jiao
良	Liang
施	Shi
华	Hua
游	You
凝阳	Ningyang
秦	Qin
善	Shan
吕	Lv
芷蕾	Zhilei
糟糕的衣服	Roupa Ruim
交际	Socialização
练习	Prática
令狐	Linghu
天	Tian
桓	Huan
先	Xian
司马	Sima
顺	Shun
杨	Yang
大	Da
扫地	Varrer o Chão
太一	Taiyi
门	Escola
着火了	Pegou Fogo
存档写入完成	Salvamento Concluído
先天罡气	Qi Inato de Gangqi
化伤术	Técnica de Cura
璇玑剑谱	Manual da Espada Xuanji
清心咒	Encantamento da Mente Pura
吸星掌	Palma de Absorção de Estrelas
指北录	Manual do Norte
入定之术	Técnica de Meditação
周天神算	Presciência Universal
北斗绝式-北极剑	Estilo Absoluto do Big Dipper - Espada do Ártico
天心正法	Doutrina do Coração Celestial
御木诀	Técnica do Controle de Madeira
玉液炼形诀	Técnica de Forjamento da Forma com Jade Líquido
灵息诀	Técnica da Respiração Espiritual
求雨术	Técnica de Invocação da Chuva
驱云诀	Técnica de Dispersão das Nuvens
微草神视秘要	Segredo da Visão Divina das Ervas
玉京飞流法	Técnica do Voo de Yujing
三世洞真法	Método da Verdade Profunda dos Três Mundos
太和御气诀	Técnica do Qi da Grande Harmonia
