房间	Room
<font color=MYCOLOR>程雪青</font>虽然被<font color=OBJCOLOR>做噩梦</font>的情绪困扰，但他还是把<font color=OBJCOLOR>家常菜</font>做的十分美味。	
9天 04:47	9d 04:47
9天 05:13	9d 05:13
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>整理一下。	
9天 05:44	9d 05:44
<font color=MYCOLOR>程雪青</font>觉得有点无聊。	
9天 16:39	9d 16:39
<font color=MYCOLOR>程雪青</font>突然觉得左眼跳了跳。	
9天 18:27	9d 18:27
<font color=MYCOLOR>程雪青</font>很喜欢<font color=OBJCOLOR>晴天</font>。	
11天 00:40	11d 00:40
破晓时分，<font color=MYCOLOR>程雪青</font>在烹饪<font color=OBJCOLOR>家常菜</font>时，突然流下眼泪。	
12天 06:08	12d 06:08
12天 20:14	12d 20:14
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>寒精弓</font>清洁一下。	
15天 03:19	15d 03:19
<font color=MYCOLOR>程雪青</font>想把<font color=OBJCOLOR>狼皮薄衣衫</font>换掉。	
15天 03:56	15d 03:56
松柏之侧，<font color=MYCOLOR>程雪青</font>在<font color=OBJCOLOR>烹饪</font><font color=OBJCOLOR></font>时，突然心中一动，对耕作一道又有感悟。	
15天 06:51	15d 06:51
16天 06:18	16d 06:18
19天 03:43	19d 03:43
程	Cheng
雪青	Xueqing
胜	Sheng
贺	He
珊	Shan
毕	Bi
绍	Shao
<font color=MYCOLOR>轩辕士</font>踩到了什么东西。	
1天 10:07	1d 10:07
<font color=MYCOLOR>轩辕士</font>打了个嗝。	
3天 06:27	3d 06:27
<font color=MYCOLOR>轩辕士</font>看到<font color=HECOLOR>仰厚</font>打老远过来，就向他挥了挥手，打了个招呼。	
4天 07:18	4d 07:18
<font color=MYCOLOR>轩辕士</font>鞋里进了东西。	
4天 15:45	4d 15:45
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>千里神视符</font>换掉。	
5天 09:25	5d 09:25
<font color=MYCOLOR>轩辕士</font>想把<font color=OBJCOLOR>紫布修行衣衫</font>清洁一下。	
6天 12:38	6d 12:38
华灯初上，<font color=MYCOLOR>轩辕士</font>刚刚吃饱喝足，正满意的拍肚子，看到<font color=HECOLOR>程雪青</font>刚好在旁边，就和她打了个招呼。但没想到<font color=HECOLOR>程雪青</font>却并不想理他，这让<font color=MYCOLOR>轩辕士</font>觉得很尴尬。	
<font color=MYCOLOR>轩辕士</font>揉了揉肚子。	
9天 17:34	9d 17:34
<font color=MYCOLOR>轩辕士</font>在吃<font color=OBJCOLOR>干锅田鸡</font>时，突然想起自己的<font color=OBJCOLOR>父亲轩辕兴业</font>。	
9天 19:53	9d 19:53
<font color=MYCOLOR>轩辕士</font>突然觉得左眼跳了跳。	
14天 17:38	14d 17:38
<font color=MYCOLOR>轩辕士</font>在喝<font color=OBJCOLOR>水</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	
16天 04:59	16d 04:59
17天 08:56	17d 08:56
轩辕	Xuanyuan
士	Shi
兴业	Xingye
言	Yan
诗蕊	Shirui
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>随便看看</font>来放空心灵。	
4天 21:39	4d 21:39
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	
5天 09:54	5d 09:54
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	
6天 02:33	6d 02:33
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	
6天 09:33	6d 09:33
天朗气清，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	
6天 13:08	6d 13:08
天朗气清，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	
7天 10:12	7d 10:12
绿荫之下，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	
7天 14:22	7d 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	
8天 13:02	8d 13:02
万里无云，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	
8天 14:00	8d 14:00
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	
10天 01:01	10d 01:01
人定之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜琴台</font>很有意思……	
10天 22:51	10d 22:51
日中之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	
11天 12:11	11d 12:11
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	
11天 13:09	11d 13:09
夕食之刻，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	
12天 16:02	12d 16:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	
13天 07:46	13d 07:46
14天 01:53	14d 01:53
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>温度舒适</font>心情不错，忍不住来<font color=OBJCOLOR>跳舞</font>抒怀。	
14天 05:15	14d 05:15
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>龟肉</font>。	
14天 11:43	14d 11:43
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	
14天 22:10	14d 22:10
绿荫之下，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	
15天 01:16	15d 01:16
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	
17天 12:45	17d 12:45
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	
18天 13:05	18d 13:05
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>跳舞</font>来放空心灵。	
19天 18:08	19d 18:08
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	
19天 21:13	19d 21:13
董	Dong
之柔	Zhirou
明	Ming
郎	Lang
凌春	Lingchun
陈	Chen
慵醉	Yongzui
江南罩	JiangNan Cover
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	
4天 13:54	4d 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	
5天 07:43	5d 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	
6天 00:09	6d 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	
6天 06:06	6d 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	
7天 00:12	7d 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	
7天 20:50	7d 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	
8天 08:09	8d 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	
8天 12:17	8d 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	
8天 13:14	8d 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	
8天 15:26	8d 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	
8天 22:35	8d 22:35
申时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	
9天 15:29	9d 15:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	
10天 03:36	10d 03:36
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	
10天 04:34	10d 04:34
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>娱乐</font>时，突然领会到<font color=OBJCOLOR>《逍遥危燕玉女妙录》</font>的一丝真意。<font color=MYCOLOR>姜龙</font>当场沉浸在这一化境中，等回过神来，发现修为已然大进。	
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	
10天 23:34	10d 23:34
辰时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	
11天 08:06	11d 08:06
响午之后，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	
11天 15:05	11d 15:05
丑时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，突然发出一声长叹。	
13天 01:52	13d 01:52
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	
13天 06:20	13d 06:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	
13天 16:28	13d 16:28
寅时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	
15天 03:28	15d 03:28
万里无云，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>儿子姜保</font>。	
15天 09:20	15d 09:20
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>浮躁之风</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	
16天 12:12	16d 12:12
暮色怅晚，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>棕石墙</font>很有意思……	
16天 17:36	16d 17:36
夜半时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>炼丹峰</font>看看。	
18天 23:09	18d 23:09
四更时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	
19天 01:04	19d 01:04
姜	Jiang
龙	Long
师父	
赏	Shang
寄瑶	Jiyao
思淼	Simiao
申	Shen
语琴	Yuqin
保	Bao
建	Jian
百里	Baili
眉	Mei
落木尊者	Wood Deity
回春尊者	
结丹下品！	core shaping Lower Tier!
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	
7天 18:34	7d 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	
7天 22:50	7d 22:50
夜深之时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>姜龙</font>的模样。	
10天 23:05	10d 23:05
晨光初露，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	
13天 05:52	13d 05:52
日暮时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	
13天 20:43	13d 20:43
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	
14天 11:50	14d 11:50
四更时分，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	
15天 02:39	15d 02:39
天朗气清，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	
15天 11:20	15d 11:20
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	
17天 05:51	17d 05:51
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	
17天 07:31	17d 07:31
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得莫名烦躁。	
17天 09:41	17d 09:41
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>董之柔</font>的模样。	
18天 10:02	18d 10:02
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>中原</font>看看。	
19天 18:34	19d 18:34
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>灵石墙</font>。	
20天 00:42	20d 00:42
徒弟	
西岭	Xiling
颛孙	Zhuansun
眸微	Mouwei
修罗陀	
傀儡	 Vessel
董之柔	
百里眉	
万里无云，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>七仟坞看看。	
11天 01:09	11d 01:09
万里无云，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	
11天 19:04	11d 19:04
三更时分，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	
12天 00:29	12d 00:29
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	
12天 14:20	12d 14:20
<font color=MYCOLOR>席信</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	
13天 14:25	13d 14:25
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>蛇肉</font>。	
15天 01:31	15d 01:31
辰时，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	
16天 08:44	16d 08:44
大雨倾盆，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	
17天 20:58	17d 20:58
万里无云，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲长孙晓夏</font>。	
18天 00:43	18d 00:43
日禺之时，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>凝神望天</font>，突然思绪万千。	
18天 10:37	18d 10:37
席	Xi
信	Xin
才	Cai
长孙	Zhangsun
晓夏	Xiaoxia
江南散人	JiangNan Cult
阴	Yin
醉柳	Zuiliu
仲	Zhong
梁	Liang
荀	Xun
燕	Yan
谷梁	Guliang
向萍	Xiangping
芮	Rui
淑	Shu
扫地	Sweep Floors
驻扎	Camp
教学	
门	School
存档写入完成	Game Saved	
松豪遇到瓶颈	
食物储量不足	Insufficient food reserves.	
仰厚需要砍伐工具	Yang Hou needs a tool for chopping
药物储量不足	Insufficient medicine reserves.	
轩辕士：受伤	Xuanyuan Shi: hurt.
出现镇物！	
董之柔心境不稳	
姜龙心境不稳	
天下传闻	World Adventure	
天苍246年 春 第18日	
据传七仟坞的大能蓝风在月轮山出没。	
据传昆仑宫的长老在芦墟村附近游历时，巧遇一名丹霞洞天的长老。二人一见如故，于芦墟村坐而论道。讲到玄妙之处，方圆百里异像纷呈，鸟兽成灵，是近日修行界盛传的大事。两派的关系也因此颇有提升。	
据传栖霞洞天派中飞升的尊长突然降下大量恩赐，门派实力大涨。	
据传昆仑宫门中一名闭关千余年的长老严壮成功修成大法出关。昆仑宫再添一名大能。	
丹霞洞天的大能夏泰已在炼丹峰失去了踪迹	
青莲剑宗的大能商瑾已在南屏村失去了踪迹	
天苍246年 春 第19日	
据传极天宫于月轮山击败烛龙，收获大量宝材灵物，门派实力大涨。	
据传百蛮山于炼丹峰击杀凶凤，收获大量宝材灵物，门派实力大涨。	
近日，青莲剑宗最受长辈宠爱的小弟子与七杀魔宫的几名弟子在云台山附近发生了摩擦，之后冲突连续升级，甚至引动双方门派长老叠出，竟演变为一场大规模的斗法。
此役持续月余，死伤无算，青莲剑宗最终失败，其门派实力大损。七杀魔宫却大有所获，门派实力大增。此役之后，两派的关系也大大恶化了。	
天苍246年 春 第20日	
据传紫霄宗的大能罗博在小凉山出没。	
据传百蛮山派中天地灵根成熟，引动天道波动，灵气汇聚。受此泽被，整个门派实力大增。	
据传七杀魔宫的长老在百蛮山附近游历时，遇到几名百蛮山的弟子切磋。七杀魔宫的长老心情不错，指点了一下百蛮山弟子的修行，其中一名弟子竟然当场突破。此事亦在修行界传为美谈，两派的关系也因此略有提升。	
紫霄宗的大能宰璧已在南屏村失去了踪迹	
天苍246年 春 第21日	
据传丹霞洞天于五华村击杀凶凤，收获大量宝材灵物，门派实力大涨。	
据传合欢派优化了派中核心阵法，门派实力大涨。	
据传昆仑宫优化了派中核心阵法，门派实力大涨。	
天苍246年 春 第22日	
据传昆仑宫的大能钟起灵在月轮山出没。	
据传栖霞洞天的大能尤士在小凉山出没。	
据传青莲剑宗在稻香村寻找到一家上古宗派的洞天小世界，一番收获下，门派实力大涨。	
据传昆仑宫于芦墟村击败烛龙，收获大量宝材灵物，门派实力大涨。	
天苍246年 春 第23日	
丹霞洞天的大能霍离已在南屏村失去了踪迹	
极天宫的大能嵇力已在小凉山失去了踪迹	
正一道的大能公羊慕灵已在炼丹峰失去了踪迹	
青莲剑宗的大能毛史定已在铜陵山失去了踪迹	
青莲剑宗的大能宣商震已在铜陵山失去了踪迹	
七仟坞的大能蓝风已在月轮山失去了踪迹	
据传正一道的弟子在雪风原附近游历时，遇到一名极天宫的长老炼法。正一道的弟子陪侍左右，四方奔走，深的极天宫的长老欢心。事成之后竟然得了该长老的一场大机缘。此事在修行界传为一段佳话，两派的关系也因此略有提升。	
近日，丹霞洞天与合欢派同时发现一处平顶山附近的洞府残迹，据说此处留存有上古一名大能的道统，至关重要。双方为争夺此地机缘精锐尽出，展开了激烈的斗法。
几经争斗，合欢派最终成功得到此处仙府，门派实力大涨。丹霞洞天却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	
据传极天宫于小凉山击败烛龙，收获大量宝材灵物，门派实力大涨。	
天苍246年 春 第24日	
据传丹霞洞天的大能伏涛在月轮山出没。	
据传栖霞洞天的大能师美在月轮山出没。	
据传百蛮山的大能段旭在南屏村出没。	
据传七杀魔宫的大能蒙亦瑶在小凉山出没。	
据传青莲剑宗于小凉山击杀凶凤，收获大量宝材灵物，门派实力大涨。	
据传七仟坞的弟子在紫霄宗附近游历时，遇到几名紫霄宗的弟子。双方结伴历练，闯荡一番，在近期修行界也算搅动一些风云，闯出了一些名声。两派的关系也因此略有提升。	
据传合欢派于南屏村击杀凶凤，收获大量宝材灵物，门派实力大涨。	
天苍246年 春 第25日	
紫霄宗的大能罗博已在小凉山失去了踪迹	
据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了青莲剑宗，青莲剑宗因此门派实力大增。	
据传百蛮山于铜陵山击杀蛟龙，收获大量宝材灵物，门派实力大涨。	
据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了栖霞洞天，栖霞洞天因此门派实力大增。	
据传紫霄宗于铜陵山击杀凶凤，收获大量宝材灵物，门派实力大涨。	
不知何故，近日青莲剑宗竟发动大量门下弟子对紫霄宗山门展开围攻，双方于此各布仙阵，搅动数百里方圆天象崩乱，修行界为之震动。
占据地利背靠山门之故，紫霄宗最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。青莲剑宗却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	
天苍246年 春 第26日	
据传七杀魔宫的大能赤丹秋在月轮山出没。	
据传青莲剑宗的大能盛敬在小凉山出没。	
据传合欢派的大能柴滢在炼丹峰出没。	
据传昆仑宫在月轮山寻找到一家上古宗派的洞天小世界，一番收获下，门派实力大涨。	
据传紫霄宗优化了派中核心阵法，门派实力大涨。	
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	
天苍246年 春 第27日	
昆仑宫的大能钟起灵已在月轮山失去了踪迹	
栖霞洞天的大能尤士已在小凉山失去了踪迹	
轩辕士感到危险	
百里眉心境不稳	
百里眉拜董之柔为师	
姜龙拜百里眉为师	
路人需要帮助	
百里眉：受伤	Baili Mei: hurt.
雅艺	Artisanry
席信的技能雅艺升级了	
化形镇神神雷	
丙火金刚真言	
奔烈覆天神雷	
天火飞星神雷	
