ID	Des	Disname
51	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Enorme
52	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Maciça
53	Conceda ao artefato uma pequena quantidade de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Pequena
54	Conceda ao artefato uma pequena quantidade de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Pequena
55	Conceda ao artefato uma quantidade média de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Média
56	Conceda ao artefato uma grande quantidade de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Grande
57	Conceda ao artefato uma enorme quantidade de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Enorme
58	Conceda ao artefato uma enorme quantidade de habilidade, aumentando sua Taxa de Sucesso do Grande Artefato.	Epifania de Habilidade: Maciça
59	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Pequena
60	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Pequena
61	Conceda ao artefato uma quantidade média de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Média
62	Conceda ao artefato uma grande quantidade de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Grande
63	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Enorme
64	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu rendimento de alquimia.	Epifania de Habilidade: Maciça
65	Conceda ao artefato uma pequena quantidade de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Pequena
66	Conceda ao artefato uma pequena quantidade de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Pequena
67	Conceda ao artefato uma quantidade média de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Média
68	Conceda ao artefato uma grande quantidade de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Grande
69	Conceda ao artefato uma enorme quantidade de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Enorme
70	Conceda ao artefato uma enorme quantidade de habilidade, aumentando sua Velocidade de Cultivo.	Epifania de Habilidade: Maciça
71	Conceda ao artefato a habilidade Voo de Artefato. (O original não perderá essa habilidade)	Voo de Artefato
72	Conceda ao artefato um pequeno Escudo de Qi adicional. (O original não perderá essa habilidade)	Escudo de Qi: Pequeno
73	Conceda ao artefato um Escudo de Qi médio adicional. (O original não perderá essa habilidade)	Escudo de Qi: Médio
74	Conceda ao artefato um grande Escudo de Qi adicional. (O original não perderá essa habilidade)	Escudo de Qi: Grande
