拜祖师	Venerar os Ancestrais
灰石砖	Bloco de Pedra Cinzenta
行疆天璇碑	Tabuleta Merak da Jornada
白布清凉下裳	Calças Leves de Verão de Tecido Branco
碧光乾坤御	Armadura do Universo Opalescente
狼皮薄下裳	Calças Finas de Couro de Lobo
木弓	Arco de Madeira
狼皮	Couro de Lobo
坤元障	Capa Vinculada à Terra
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Cria Exorcizante do Mal Sombrio
观音土	Argila de Guanyin
天心庇世灵宝	Tesouro Numinoso de Proteção do Coração Celestial
莲花炼心菇	Cesto de Flor de Lótus da Mente Refinada
灵晶角料	Retalho de Cristal Espiritual
六合钉	Prego das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Manto da Aparição Sombria
狼皮厚制衣衫	Camisa de Inverno de Couro de Lobo
腾岳五行甲	Armadura dos Cinco Elementos de Hill Rise
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
苍龙五色柱	Pilar Prismático do Marinagon
地龙天璇灵宝	Tesouro Numinoso Merak do Dragão Terrestre
肉干	Carne Seca
昙花水梨汤	Sopa de Pera do Outono
可以大幅提高炎热抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao calor.
太阴符	Talismã do Yin Supremo
花布清凉衣衫	Camisa Leve de Verão de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Camisa de Inverno de Tecido Azul
蔽天法衣	Túnica do Véu Celestial
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para esconder sua presença até certo ponto, tornar você menos reconhecível durante aventuras e reduzir as chances de ganhar reputação.
匿踪符	Talismã de Invisibilidade
七巧蒸洪藕	Raiz de Lótus Hong no Vapor dos Sete Engenhos
牛肉丸	Almôndegas de Carne Bovina
干栋	Gan Dong
棕石弓	Arco de Pedra Marrom
昌志用	Chang Zhiyong
灵石墙	Parede de Pedra Espiritual
傀儡停放点	Local de Vasos
灵石灯笼	Lanterna de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石床	Cama de Pedra Espiritual
灵石手工桌	Bancada de Artesanato de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Pedreiro de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Alquimia Forno de Pedra Espiritual
木砍柴处	Bancada de Madeira
灵石炼宝台	Crafting Mesa de Pedra Espiritual
灵石熔炉	Forno de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Quadrada Mesa de Pedra Espiritual
灵石水缸	Água Vat de Pedra Espiritual
练功点	Local de Treino
灵石祖师牌位	Ancestral Altar de Pedra Espiritual
红布蒲团	Almofada de Tecido Vermelho
历练归来点	Ponto de Retorno de Aventuras
灵石置物台	Expositor de Pedra Espiritual
灵石钟	Sino de Pedra Espiritual
灵石门派山门	da Seita Portão de Pedra Espiritual
灵石神鹤灯	Grou Lanterna de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Dragão Lampstand de Pedra Espiritual
灵石琴台	Zither Mesa de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	de Madeira Boneco de Treino de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石烟花-龙歌	Fogos de Artifício (Dragon) de Pedra Espiritual
灵石护山剑阵	Espada Shield de Pedra Espiritual
灵石制药桌	Farmácia Mesa de Pedra Espiritual
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>Tou Shi</font> estava de bom humor porque <font color=OBJCOLOR>o feng shui do quarto está bom</font>, e não resistiu a <font color=OBJCOLOR>dar uma olhada</font> para relaxar.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Perto do meio-dia, <font color=MYCOLOR>Tou Shi</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>Tou Shi</font> estava incomodado pela sensação de <font color=OBJCOLOR>dormir no chão</font>, então só conseguiu <font color=OBJCOLOR>ler livros e pergaminhos</font> para esvaziar a mente.
3天 15:18	3d 15:18
万里无云，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Céu limpo por mil léguas, <font color=MYCOLOR>Tou Shi</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente se sentiu sufocado.
4天 21:33	4d 21:33
春节气氛，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	No clima do Ano-Novo Chinês, <font color=MYCOLOR>Tou Shi</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente começou a chorar.
5天 10:12	5d 10:12
钭	Tou
世	Shi
建立门派	Fundar uma Seita
项飞柏	Xiang Feibai
印新波	Yin Xinbo
史新波	Shi Xinbo
韩福	Han Fu
容子石	Rong Zishi
私塾学子	Estudante de escola particular
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>Yan Chuncui</font> gosta muito de <font color=OBJCOLOR>dias ensolarados</font>.
4天 08:02	4d 08:02
<font color=MYCOLOR>晏春翠</font>看到<font color=HECOLOR>酆刚</font>打老远过来，就向他挥了挥手，打了个招呼。	<font color=MYCOLOR>Yan Chuncui</font> viu <font color=HECOLOR>Feng Gang</font> vindo de longe, acenou e o cumprimentou.
5天 07:32	5d 07:32
5天 08:19	5d 08:19
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Céu limpo por mil léguas, <font color=MYCOLOR>Feng Gang</font> soltou um suspiro diante da paisagem deslumbrante. Ao ver que <font color=HECOLOR>Yan Chuncui</font> estava por perto, puxou conversa com ela. Quando começaram a falar sobre <font color=OBJCOLOR>lanternas de pedra espiritual</font>, os dois se conectaram e a conversa se aprofundou.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	Na seita, <font color=MYCOLOR>Feng Gang</font> percebeu que <font color=HECOLOR>Yan Chuncui</font> parecia entediada, então puxou assunto com ela sobre <font color=OBJCOLOR>gatos</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	Vaso
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>Xian Yuan</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>Xian Yuan</font> enquanto <font color=OBJCOLOR>contemplar o céu</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>Xian Yuan</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente ficou com saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Xian Yuan</font> estava de bom humor porque <font color=OBJCOLOR>mente clara</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Ao pôr do sol, <font color=MYCOLOR>Xian Yuan</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, de repente começou a chorar.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
来自走火入魔	Causado por desvio de Qi
左肋骨	Costela esquerda
落魄贵族	Nobre decadente
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Erudito bonito
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Na seita, <font color=MYCOLOR>Xiong Zishi</font> em silêncio <font color=OBJCOLOR>observar as nuvens</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Murong Shuying</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Xiong Zishi</font> estava de bom humor porque <font color=OBJCOLOR>avanço de nível</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Xiong Zishi</font> estava incomodado pela sensação de <font color=OBJCOLOR>precisar de um quarto</font>, então só conseguiu <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Xiong Zishi</font> estava de bom humor porque <font color=OBJCOLOR>mente clara</font>, e não resistiu a <font color=OBJCOLOR>ler livros e pergaminhos</font> para relaxar.
3天 10:55	3d 10:55
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境无暇</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Xiong Zishi</font> estava de bom humor porque <font color=OBJCOLOR>mente impecável</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
5天 11:02	5d 11:02
新春喜庆，<font color=MYCOLOR>熊子石</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>毛依白</font>的模样。	Com a alegria do Ano-Novo, <font color=MYCOLOR>Xiong Zishi</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, de repente imaginou <font color=OBJCOLOR>Mao Yibai</font>.
5天 15:48	5d 15:48
新春喜庆，<font color=MYCOLOR>熊子石</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Com a alegria do Ano-Novo, <font color=MYCOLOR>Xiong Zishi</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, de repente começou a chorar.
5天 21:10	5d 21:10
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Fatal Root
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Cong Gong</font> estava de bom humor porque <font color=OBJCOLOR>uma paisagem singular</font>, e não resistiu a <font color=OBJCOLOR>ler livros e pergaminhos</font> para relaxar.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	No tempo livre do dia, <font color=MYCOLOR>Cong Gong</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Na seita, <font color=MYCOLOR>Cong Gong</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente começou a chorar.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	No período de Zi, <font color=MYCOLOR>Cong Gong</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>sopa de pera do outono</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	Ao entardecer, <font color=MYCOLOR>Cong Gong</font> enquanto <font color=OBJCOLOR>contemplar o céu</font>, de repente se sentiu inexplicavelmente irritado.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Yin Centipede
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra das árvores, <font color=MYCOLOR>Nanmen Mozhu</font> enquanto <font color=OBJCOLOR>contemplar o céu</font>, de repente começou a chorar.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Céu limpo por mil léguas, <font color=MYCOLOR>Nanmen Mozhu</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>Nanmen Mozhu</font> estava feliz por estar bem vestido(a). Ao ver <font color=HECOLOR>Mao Yibai</font> por perto, puxou conversa sobre <font color=OBJCOLOR>hobbies</font>.
4天 05:24	4d 05:24
<font color=MYCOLOR>南门墨竹</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Nanmen Mozhu</font> estava de bom humor porque <font color=OBJCOLOR>mente clara</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
4天 22:19	4d 22:19
门派中，<font color=MYCOLOR>南门墨竹</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>Nanmen Mozhu</font> sozinho(a) <font color=OBJCOLOR>ler livros e pergaminhos</font>, e de repente a mente se encheu de pensamentos.
5天 01:41	5d 01:41
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Divindade astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>Shao Xing</font> estava de bom humor porque <font color=OBJCOLOR>mente equilibrada</font>, e não resistiu a <font color=OBJCOLOR>contemplar o céu</font> para relaxar.
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Céu claro e ar puro, <font color=MYCOLOR>Shao Xing</font> em silêncio <font color=OBJCOLOR>olhar para o teto</font>, e de repente lembrou de <font color=OBJCOLOR>seu pai Shao Jixian</font>.
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Shao Xing</font> em silêncio <font color=OBJCOLOR>tocar música</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Gou Fengluan</font>.
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Shao Xing</font> estava incomodado pela sensação de <font color=OBJCOLOR>precisar de uma arma</font>, então só conseguiu <font color=OBJCOLOR>jogar go</font> para esvaziar a mente.
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Céu limpo por mil léguas, <font color=MYCOLOR>Shao Xing</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
4天 04:16	4d 04:16
西月微斜，<font color=MYCOLOR>韶兴</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Com a lua do oeste levemente inclinada, <font color=MYCOLOR>Shao Xing</font> sozinho(a) <font color=OBJCOLOR>jogar go</font>, e de repente a mente se encheu de pensamentos.
5天 01:40	5d 01:40
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Senhor da Espada
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Céu claro e ar puro, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, soltou um longo suspiro.
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	Ao cair da tarde, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>observar as estrelas</font>, de repente ficou com saudade de casa.
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	No período de Zi, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente ficou com saudade de casa.
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Na seita, <font color=MYCOLOR>Tao Fei</font> em silêncio <font color=OBJCOLOR>tocar música</font>, e de repente lembrou de <font color=OBJCOLOR>seu pai Tao Jixian</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Na seita, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>sopa de pera do outono</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Na seita, <font color=MYCOLOR>Tao Fei</font> em silêncio <font color=OBJCOLOR>jogar go</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Guo Dai</font>.
4天 15:23	4d 15:23
平旦之时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Ao amanhecer, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>tocar música</font>, não conseguiu evitar e começou a cantarolar em voz baixa.
5天 04:28	5d 04:28
巳时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	No período de Si, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, soltou um longo suspiro.
5天 09:31	5d 09:31
门派中，<font color=MYCOLOR>陶飞</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>Tao Fei</font> sozinho(a) <font color=OBJCOLOR>tocar música</font>, e de repente a mente se encheu de pensamentos.
申时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	No período de Shen, <font color=MYCOLOR>Tao Fei</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>pão achatado</font>.
5天 16:09	5d 16:09
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Senhor das Ondas
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	No período de You, <font color=MYCOLOR>Ge Muer</font> em silêncio <font color=OBJCOLOR>tocar música</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Lu Zhiyu</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Céu limpo por mil léguas, <font color=MYCOLOR>Ge Muer</font> enquanto <font color=OBJCOLOR>jogar go</font>, achou que <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado era bem interessante…
4天 08:47	4d 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>Ge Muer</font> sozinho(a) <font color=OBJCOLOR>jogar go</font>, e de repente a mente se encheu de pensamentos.
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>Ge Muer</font> estava matando o tempo. Ao ver <font color=HECOLOR>Mao Yibai</font> passando, puxou conversa sobre <font color=OBJCOLOR>precisar de um quarto</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	No início da tarde, <font color=MYCOLOR>Ge Muer</font> enquanto <font color=OBJCOLOR>dançar</font>, achou que <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado era bem interessante…
4天 14:38	4d 14:38
