/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Areas.Areas.1.Name	灵植影响范围	1	_ReplaceAreaName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.299._hd.Ss.1	灵石栅栏	299.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.300._hd.Ss.1	灵石栅栏	300.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.301._hd.Ss.1	灵石栅栏	301.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.302._hd.Ss.1	灵石栅栏	302.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.303._hd.Ss.1	灵石栅栏	303.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.304._hd.Ss.1	灵石栅栏	304.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.305._hd.Ss.1	灵石栅栏	305.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.306._hd.Ss.1	灵石栅栏	306.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.307._hd.Ss.1	灵石栅栏	307.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.308._hd.Ss.1	灵石栅栏	308.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.309._hd.Ss.1	灵石栅栏	309.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.310._hd.Ss.1	灵石栅栏	310.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.311._hd.Ss.1	灵石栅栏	311.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.312._hd.Ss.1	灵石栅栏	312.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.313._hd.Ss.1	灵石栅栏	313.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.314._hd.Ss.1	灵石栅栏	314.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.315._hd.Ss.1	灵石栅栏	315.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.316._hd.Ss.1	灵石栅栏	316.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.317._hd.Ss.1	灵石栅栏	317.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.318._hd.Ss.1	灵石栅栏	318.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.319._hd.Ss.1	灵石栅栏	319.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.320._hd.Ss.1	灵石栅栏	320.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.321._hd.Ss.1	灵石栅栏	321.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.322._hd.Ss.1	灵石栅栏	322.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.323._hd.Ss.1	灵石栅栏	323.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.324._hd.Ss.1	灵石栅栏	324.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.325._hd.Ss.1	灵石栅栏	325.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.326._hd.Ss.1	灵石栅栏	326.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.327._hd.Ss.1	灵石栅栏	327.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.328._hd.Ss.1	灵石栅栏	328.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.329._hd.Ss.1	灵石栅栏	329.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.330._hd.Ss.1	灵石栅栏	330.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.331._hd.Ss.1	灵石栅栏	331.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.332._hd.Ss.1	灵石栅栏	332.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.333._hd.Ss.1	灵石栅栏	333.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.334._hd.Ss.1	灵石栅栏	334.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.335._hd.Ss.1	灵石栅栏	335.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.336._hd.Ss.1	灵石栅栏	336.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.337._hd.Ss.1	灵石栅栏	337.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.338._hd.Ss.1	灵石栅栏	338.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.339._hd.Ss.1	灵石栅栏	339.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.340._hd.Ss.1	灵石栅栏	340.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.341._hd.Ss.1	灵石栅栏	341.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.342._hd.Ss.1	灵石栅栏	342.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.343._hd.Ss.1	灵石栅栏	343.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.344._hd.Ss.1	灵石栅栏	344.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.345._hd.Ss.1	灵石栅栏	345.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.346._hd.Ss.1	灵石栅栏	346.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.347._hd.Ss.1	灵石栅栏	347.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.348._hd.Ss.1	灵石栅栏	348.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.349._hd.Ss.1	灵石栅栏	349.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.350._hd.Ss.1	灵石栅栏	350.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.351._hd.Ss.1	灵石栅栏	351.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.352._hd.Ss.1	灵石栅栏	352.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.353._hd.Ss.1	灵石栅栏	353.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.354._hd.Ss.1	灵石栅栏	354.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.355._hd.Ss.1	灵石栅栏	355.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.356._hd.Ss.1	灵石栅栏	356.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.357._hd.Ss.1	灵石栅栏	357.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.358._hd.Ss.1	灵石栅栏	358.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.359._hd.Ss.1	灵石栅栏	359.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.360._hd.Ss.1	灵石栅栏	360.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.361._hd.Ss.1	灵石栅栏	361.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.362._hd.Ss.1	灵石栅栏	362.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.363._hd.Ss.1	灵石栅栏	363.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.364._hd.Ss.1	灵石栅栏	364.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.365._hd.Ss.1	灵石栅栏	365.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.366._hd.Ss.1	灵石栅栏	366.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.367._hd.Ss.1	灵石栅栏	367.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.368._hd.Ss.1	灵石栅栏	368.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.369._hd.Ss.1	灵石栅栏	369.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.370._hd.Ss.1	灵石栅栏	370.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.371._hd.Ss.1	灵石栅栏	371.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.372._hd.Ss.1	灵石栅栏	372.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.373._hd.Ss.1	灵石栅栏	373.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.374._hd.Ss.1	灵石栅栏	374.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.375._hd.Ss.1	灵石栅栏	375.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.376._hd.Ss.1	灵石栅栏	376.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.377._hd.Ss.1	灵石栅栏	377.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.378._hd.Ss.1	灵石栅栏	378.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.379._hd.Ss.1	灵石栅栏	379.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.380._hd.Ss.1	灵石栅栏	380.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.381._hd.Ss.1	灵石栅栏	381.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.382._hd.Ss.1	灵石栅栏	382.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.383._hd.Ss.1	灵石栅栏	383.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.384._hd.Ss.1	灵石栅栏	384.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.385._hd.Ss.1	灵石栅栏	385.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.386._hd.Ss.1	灵石栅栏	386.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.387._hd.Ss.1	灵石栅栏	387.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.388._hd.Ss.1	灵石栅栏	388.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.389._hd.Ss.1	灵石栅栏	389.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.390._hd.Ss.1	灵石栅栏	390.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.391._hd.Ss.1	灵石栅栏	391.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.392._hd.Ss.1	灵石栅栏	392.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.393._hd.Ss.1	灵石栅栏	393.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.394._hd.Ss.1	灵石栅栏	394.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.395._hd.Ss.1	灵石栅栏	395.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.396._hd.Ss.1	灵石栅栏	396.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.397._hd.Ss.1	灵石栅栏	397.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.398._hd.Ss.1	灵石栅栏	398.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.399._hd.Ss.1	上古残迹	399.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.400._hd.Ss.1	上古残迹	400.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.401._hd.Ss.1	上古残迹	401.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.402._hd.Ss.1	上古残迹	402.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.403._hd.Ss.1	上古残迹	403.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.404._hd.Ss.1	上古残迹	404.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.405._hd.Ss.1	上古残迹	405.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.406._hd.Ss.1	上古残迹	406.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.407._hd.Ss.1	棕石凶蛮雕像	407.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.408._hd.Ss.1	灵石凶蛮雕像	408.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.409._hd.Ss.1	灵石灯笼	409.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.410._hd.Ss.1	灵石灯笼	410.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.411._hd.Ss.1	灵石灯笼	411.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.412._hd.Ss.1	灵石灯笼	412.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.413._hd.Ss.1	灵石灯笼	413.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.414._hd.Ss.1	灵石灯笼	414.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.415._hd.Ss.1	灵石灯笼	415.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.416._hd.Ss.1	灵石灯笼	416.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.417._hd.Ss.1	灵石灯笼	417.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.418._hd.Ss.1	灵石灯笼	418.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.419._hd.Ss.1	灵石灯笼	419.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.420._hd.Ss.1	灵石灯笼	420.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.421._hd.Ss.1	灵石灯笼	421.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.422._hd.Ss.1	灵石灯笼	422.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.423._hd.Ss.1	灵石灯笼	423.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.424._hd.Ss.1	灵石灯笼	424.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.425._hd.Ss.1	灵石灯笼	425.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.426._hd.Ss.1	灵石灯笼	426.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.427._hd.Ss.1	灵石灯笼	427.1	_ReplaceThingName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr.PrefixName	乱界	428	_ReplaceNpcNameInPropertyMgr
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr.SuffixName	冤孽	428	_ReplaceNpcNameInPropertyMgr
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.0.PName	双	428.0	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.0.SName	航	428.0	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.1.PName	宗政	428.1	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.1.SName	娅	428.1	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.2.PName	厍	428.2	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Things.Things.428.PropertyMgr._hd.RelationData.Cache.2.SName	辉	428.2	_ReplaceNpcNameInRelationData
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Skills.SkillDefs.TFabaoSkill-84.DisplayName	乙木无形神雷	-1	_ReplaceSkillDisplaceName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Skills.SkillDefs.TDamageSkill-558.DisplayName	碧光飞星咒	-1	_ReplaceSkillDisplaceName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Skills.SkillDefs.TSkillSkill-55.DisplayName	冷月燃灵诀	-1	_ReplaceSkillDisplaceName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	Skills.SkillDefs.TFabaoSkill-85.DisplayName	壬癸五方	-1	_ReplaceSkillDisplaceName
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	RPGInfo.Objects.2.LuaPostProcessing.Param1	哦？你，你终于来了？你是天道派来审判我的？	-1	_ReplaceRPGInfoObjects
/Settings/RPG/Maps/Rpg_Tower_9/map.txt	RPGInfo.Objects.2.LuaPostProcessing.Param2	来！来吧！昔年我炼渊土神碑，遭至此界崩坏，千万年来无时无刻不等待这一天，但我不认为这是我的罪孽，这份罪孽，此界亿万生灵与天道共担！想审判我，我要看看你的斤两！	-1	_ReplaceRPGInfoObjects
