ItemName	Descript
Item_ShuiEssence	Branco, Esférico, Espiritual
Item_HuoEssence	Fogo, Esférico, Espiritual
Item_JinEssence	Marrom, Esférico, Espiritual
Item_MuEssence	Brown, Espiritual, Madeira
Item_TuEssence	Brown, Terra, Espiritual
Item_LifeStream	Fluido, Prolonga a vida, Vermelho
Item_EarthEssence	Fluido, Transparente, Base
Item_SkyStone	Rocha, Espiritual, Terra
Item_StarEssence	Espiritual, Rock, Metal
Item_SoulPearl	Espiritual, Água, Esférico
Item_EarthEssence1	Fundação, Fluido, Vermelho
Item_Dan_LongDan1	Azul, Esférico, Água
Item_Dan_FengDan1	Vermelho, Esférico, Fogo
Item_YanDaoGuo	Realização, Madeira, Roxo
Item_QieDaoGuo	Punição Divina, Madeira, Azul
Item_Dan_TreeEXP	Esférico, Transparente, Inspiração
Item_Dan_ExtremeLofty	Na cabaça, Dourado, Cura a ferida
Item_ExtremeJade	Difícil, Azul, Espiritual
Item_XianDaoShenNian	Esférico, Potencial, Verde
Item_XianDaoXieNian	Esférico, Potencial, Roxo
Item_Dan_HundredRefine	Dourado, Esférico, Cultivo
Item_Dan_ZhuLongDan1	Sub-espírito, Colorido, Esférico
Item_ThunderAir	Tribulação Esférica, Não Comestível e Celestial
Item_XianBone	Osso, Realização, Sem Elementos
Item_ZaoHuaYuZi	Ciano, Sem Elementos, Essência
Item_Dan_LingYuanZhong	Ciano, Espiritual, Sem Elementos
Item_Dan_ReBorn_4	Esférico, Vermelho, Prolonga a vida
Item_BenYuan_None	Sem Elementos, Realização, Essência
Item_BenYuan_Jin	Dourado, Realização, Essência
Item_BenYuan_Mu	Verde, Realização, Essência
Item_BenYuan_Shui	Azul, Realização, Essência
Item_BenYuan_Huo	Vermelho, Realização, Essência
Item_BenYuan_Tu	Brown, Realização, Essência
Item_Yao_RabbitLuck	Água, Fofo
Item_Yao_WolfAtk	Metal, Duro
Item_Yao_SnakeHanLin	Água, Duro
Item_Yao_BearPiMao	Fogo, Fofo
Item_Yao_TurtleKe	Difícil, Terra
Item_BoarMeat	Terra, Marrom, Comida
Item_StrangeMush	Madeira, Marrom, Comida
Item_MillVell	Madeira, Fofo
Item_SewingDefender	Madeira, Duro
Item_PerfumeBag	Madeira, Estado Mental
Item_StoneCutter	Metal, Velocidade
Item_Handkerchief	Fofo, sem elementos
Item_Bracelet	Difícil, sem elementos
Item_SmallBell	Difícil, sem elementos
Item_SysAxe	Difícil, sem elementos
Item_SysPickaxe	Difícil, sem elementos
Item_SysSickle	Difícil, sem elementos
[ANIMAL]	Caixa, Cúbico
Item_BossFeng_TouYu	Fogo, Fofo, Fera Feroz
Item_BossFeng_WeiYu	Fofo, Fera Feroz, Relíquia Espiritual
Item_BossFeng_HongYu	Inspiração, Fera Feroz, Vermelho
Item_BossLong_Jiao	Fera Feroz, Difícil, Domínio da Espada
Item_BossLong_NiLin	Inspiração, Água, Fera Feroz
Item_BossLong_Jing	Difícil, Relíquia Espiritual, Besta Feroz
Item_BossZhuLong_Eye	Fera Feroz, Bolus
Item_BossZhuLong_LongYu	Caos, Resistência, Fera Feroz
Item_BossZhuLong_TianLin	Proteção, Fera Feroz
Item_Dan_FenShen1	Pangeia, Vermelho, Sub-espírito
Item_Dan_FenShen2	Destino, Vermelho, Sub-espírito
Item_Dan_FenShen3	Estado Mental, Vermelho, Sub-espírito
Item_Yao_CatSoul	Bolus, Azul, Sub-espírito
Item_WhiteHair	Livro, Azul, Branco
Item_BossFeng_HuoYu	Espírito Relíquia, Vermelho, Fera Feroz
Item_BossFeng_GangYu	Fogo, Besta Feroz
Item_BossFeng_Gu	Osso, Duro, Fera Feroz
Item_DragonScale	Azul, Relíquia Espiritual, Besta Feroz
Item_BossLong_Zhua	Objeto Afiado, Besta Feroz
Item_BossLong_Lin	Azul, Defesa, Fera Feroz
Item_BossZhuLong_BaiLin	Besta Branca e Feroz
Item_BossZhuLong_HeiLin	Besta Negra e Feroz
Item_BossFeng_Meat	Comida, Fera Feroz, Vermelho
Item_BossLong_Meat	Comida, Colorido, Fera Feroz
Item_BossZhuLong_Meat	Realização, Comida, Fera Feroz
Item_Dan_Restore	Cura, Amarelo, Pó
Item_Dan_SwordBall	Bolus, Azul
Item_Dan_Ling3	em pó, amarelo
Item_Dan_Thin	Pelotas, Azul, Aparência
Item_Dan_FaceLock	Pelotas, Vermelho, Aparência
Item_Dan_FaceUnLock	Pelotas, Terra, Aparência
Item_Dan_Soul1	Pelotas, inspiração, vida útil
Item_Dan_Soul2	Pelotas, Fogo, Inspiração
Item_Dan_Soul3	Pelotas, Terra, Inspiração
Item_Dan_Soul4	Pelotas, Inteligência, Inspiração
Item_QiZhi	Esclarecedor, Engarrafado, Água
Item_Fall_LingZhi	Esclarecedor, Engarrafado, Metal
Item_Winter_LingZhi	Esclarecedor, Engarrafado, Inverno
Item_Spring_LingZhi	Esclarecedor, Engarrafado, Madeira
Item_Summer_LingZhi	Esclarecedor, Engarrafado, Fogo
Item_Earth_LingZhi	Esclarecedor, Engarrafado, Terra
Item_SoulCrystalYou	Jóia da Alma, Sem Elementos, Dor
Item_SoulCrystalNing	Jóia da Alma, Sem Elementos, Tranquilidade
Item_SoulCrystalLing	Jóia da Alma, Sem Elementos, Felicidade
Item_GodPractice_MiJuan	Livro, sem elementos
Item_PurpleGanodermaLucidum	Roxo, Espiritual, Comida
Item_HorseFromFei	Fofo, Sem Elementos, Água
Item_HorseFromLuShu	Fofo, Sem Elementos, Fogo
Item_WuDang_HuangJingFen	Em pó. Branco. Madeira
Item_Dan_WuQiNoHunger2	Esférico. Comida. Madeira
Item_Dan_SanHuaHuangJing	Madeira. Qi. Amarelo
