拜祖师	Culto aos Ancestrais
花布修行下裳	Calças de Cultivador de Tecido Estampado
玄铁锤	Maça de Aço Negro
寒晶锭	Lingote de Cristal de Gelo
惊波磨骨珏	Torre de Trituração de Ossos Turquesa
三才大日枝	Coluna do Grande Dia dos Três Talentos
兔皮修行衣衫	Uniforme de Seita de Pele de Coelho
牛皮薄下裳	Calças Finas de Pele de Touro
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do portador contra danos de água.
水甲符	Talismã de Armadura Aquática
万里落影镇	Estela de Queda de Sombras Viajantes
木角料	Resíduo de Madeira
青龙圣镖	Prego Sábio Azuragon
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Linha de Osso Branco Opalescente
虎皮休闲下裳	Calças Casuais
极光甲	Aurora  Armadura
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Couro da Alma Maligna da Queda da Montanha
蛇蛋	Ovo de Serpente
坤元万魂珠	Ovo de Todas as Almas Terrenas
野猪皮薄下裳	Calças Finas de Pele de Javali
玄机气摄密卷	Pergaminho Secreto de Absorção de Qi Ingenioso
灰石砖	Bloco de Pedra Cinzenta
行疆天璇碑	Torre Merak  Itinerante
白布清凉下裳	Calças de Verão
碧光乾坤御	Vestuário do Universo Opalescente
狼皮薄下裳	Calças Finas de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Pele Terrena
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Bola Exorcizante do Mal Sombrio
观音土	Argila Guanyin
天心庇世灵宝	Tesouro Numinoso Recluso do Coração Celestial
莲花炼心菇	Cesta de Mente Refinada da Flor de Lótus
灵晶角料	Resíduo de Cristal Espiritual
六合钉	Sucata das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Barreira de Aparição Sombria
狼皮厚制衣衫	Camisa de Inverno
腾岳五行甲	Armadura dos Cinco Elementos da Colina Ascendente
花布薄下裳	Calças Finas de Tecido Estampado
棕石锤	Maça de Pedra Marrom
木料	Madeira
苍龙五色柱	Coluna Prismática Marinagon
地龙天璇灵宝	Tesouro Numinoso do Dragão Terrestre Merak
肉干	Carne Seca
昙花水梨汤	Sopa de Pêra de Outono
可以大幅提高寒冷抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao frio.
太阳符	Talismã do Supremo Yang
可以大幅提高炎热抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao calor.
太阴符	Talismã do Supremo Yin
花布清凉衣衫	Camisa de Verão de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Camisa de Inverno de Tecido Azul
龙鳞法衣	Túnica de Escamas de Dragão
阴寰法衣	Túnica Sombria
烬灭法衣	Túnica de Cinzas
蔽天法衣	Túnica do Véu
阳华羽衣	Túnica de Penas
日炎金袍	Túnica Dourada
火浣衣	Túnica de Banho de Fogo
玄海流仙袍	Veste do Fluxo
幽玄法衣	Túnica Espectral
青鹤云裳	Túnica de Garça
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para ocultar sua presença até certo ponto, tornando-o menos identificável durante aventuras e reduzindo as chances de obter reputação.
匿踪符	Talismã da Invisibilidade
七巧蒸洪藕	Sobre o Portão do Dragão
牛肉丸	Ovos Mexidos com Carne de Boi
雌龟粪便	Fezes
干栋	Edifício Seco
灵晶神秘洞穴	Caverna Misteriosa de Cristal Espiritual
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Expositor de Pedra Espiritual
傀儡停放点	Ponto de Vasos
灵石床	Cama de Pedra Espiritual
灵石手工桌	Mesa de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Medicina de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Mesa de Pedreiro de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Forno de Alquimia de Pedra Espiritual
木砍柴处	Estação de Lenha
灵石炼宝台	Mesa de Fabricação de Pedra Espiritual
灵石熔炉	Fornalha de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesinha Quadrada de Pedra Espiritual
灵石水缸	Tanque de Água de Pedra Espiritual
练功点	Ponto de Treinamento
灵石祖师牌位	Santuário Ancestral de Pedra Espiritual
红布蒲团	Almofada de Tecido Vermelho
历练归来点	Ponto de Recompensa
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão da Seita de Pedra Espiritual
灵石神鹤灯	Lanterna de Garça de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Lampião do Dragão de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	Boneco de Madeira de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石烟花-龙歌	Fogo de Artifício de Pedra Espiritual (Dragão)
灵石护山剑阵	Escudo de Espada de Pedra Espiritual
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>钭世</font> por causa de <font color=OBJCOLOR>o bom feng shui da sala</font> estava de bom humor, e não pôde evitar vir <font color=OBJCOLOR>dar uma olhada</font> para expressar seus sentimentos.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Em um recanto, <font color=MYCOLOR>钭世</font> estava <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>钭世</font> foi perturbado pela situação de <font color=OBJCOLOR>dormir no chão</font> e só pôde <font color=OBJCOLOR>ler e apreciar pergaminhos</font> para esvaziar sua mente.
3天 15:18	3d 15:18
钭	Tou
世	Shi
建立门派	Estabelecer uma Seita
私塾学子	Aluno de Escola
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>céu claro</font>。
4天 08:02	4d 08:02
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Num dia sem nuvens, <font color=MYCOLOR>酆刚</font> acabou de soltar um suspiro por causa da beleza absoluta da paisagem ao redor, e vendo que <font color=HECOLOR>晏春翠</font> estava justamente por perto, puxou-a para conversar. Ao falar sobre <font color=OBJCOLOR>灵石灯笼</font>, os dois inesperadamente encontraram grande sintonia, e a conversa se aprofundou cada vez mais.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	No seita, <font color=MYCOLOR>酆刚</font> notou que <font color=HECOLOR>晏春翠</font> parecia entediada, então puxou-a para conversar sobre <font color=OBJCOLOR>gato</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	Vaso
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>olhando casualmente</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>contemplando o céu</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Na meia-noite, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, sentiu muita saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font>, com o espírito claro e de bom humor, não pôde deixar de <font color=OBJCOLOR>tocar música</font> para expressar seus sentimentos.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	No entardecer, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>lendo e apreciando pergaminhos</font> quando, de repente, derramou lágrimas.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
毛依白	Mao Yibai
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Estudante Formoso
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Dentro da seita, <font color=MYCOLOR>熊子石</font> estava silenciosamente <font color=OBJCOLOR>observando as nuvens se desenrolarem</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>mãe 慕容疏影</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font>, por sua ascensão, estava de bom humor e não pôde deixar de <font color=OBJCOLOR>tocar música</font> para expressar seus sentimentos.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font>, perturbado pela emoção de <font color=OBJCOLOR>precisar de um quarto</font>, só pôde <font color=OBJCOLOR>tocar música</font> para esvaziar sua mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font>, com a mente clara e de bom humor, não pôde deixar de <font color=OBJCOLOR>ler e apreciar pergaminhos</font> para expressar seus sentimentos.
3天 10:55	3d 10:55
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Raiz Fatal
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font>, por causa da paisagem singular, estava de bom humor e não pôde deixar de <font color=OBJCOLOR>ler e apreciar pergaminhos</font> para expressar seus sentimentos.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Durante um momento de ócio, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>olhando casualmente</font> quando, de repente, soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Dentro da seita, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>olhando casualmente</font> quando, de repente, lágrimas começaram a escorrer.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	À meia-noite, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, teve vontade de comer <font color=OBJCOLOR>Sopa de Pêra de Outono</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	No crepúsculo, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>contemplando o céu</font> quando, de repente, sentiu uma irritação inexplicável.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Centopéia Yin
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font> estava <font color=OBJCOLOR>contemplando o céu</font> quando, de repente, lágrimas começaram a escorrer.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Sem nuvens por todo o horizonte, <font color=MYCOLOR>南门墨竹</font> enquanto <font color=OBJCOLOR>读书品卷</font> estava lendo e apreciava pergaminhos, de repente soltou um longo suspiro。
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava feliz por estar vestindo algo que lhe caía bem, e vendo que <font color=HECOLOR>毛依白</font> parecia entediado, puxou-a para conversar sobre <font color=OBJCOLOR>爱好</font>。
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>韶兴</font> estava de bom humor por causa de <font color=OBJCOLOR>心境圆润</font>, e não pôde deixar de <font color=OBJCOLOR>凝神望天</font> para expressar seus sentimentos。
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Com o céu límpido, <font color=MYCOLOR>韶兴</font> silenciosamente <font color=OBJCOLOR>看天花板</font>, de repente lembrou de seu <font color=OBJCOLOR>父亲韶寂弦</font>。
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> silenciosamente <font color=OBJCOLOR>奏乐</font>, de repente lembrou de sua <font color=OBJCOLOR>母亲勾凤鸾</font>。
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> foi perturbado pela emoção de <font color=OBJCOLOR>需要武器</font>, e só pôde <font color=OBJCOLOR>下棋</font> para esvaziar sua mente。
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente。
4天 04:16	4d 04:16
韶	Shao
兴	Xing
寂弦	Jixian
勾凤鸾	Fengluan
万剑君	Homem da Espada

天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu límpido, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>读书品卷</font>, de repente soltou um longo suspiro。
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	No momento do pôr do sol, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>夜观星象</font>, de repente sentiu muita saudade de casa。
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente sentiu muita saudade de casa。
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> silenciosamente <font color=OBJCOLOR>奏乐</font>, de repente lembrou de seu <font color=OBJCOLOR>父亲陶寂弦</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>下棋</font>, de repente teve vontade de comer <font color=OBJCOLOR>昙花水梨汤</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> silenciosamente <font color=OBJCOLOR>下棋</font>, de repente lembrou de sua <font color=OBJCOLOR>母亲国黛</font>.
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Homem do Surf
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	Durante o 酉时, <font color=MYCOLOR>葛慕儿</font> silenciosamente <font color=OBJCOLOR>奏乐</font>, de repente lembrou de sua <font color=OBJCOLOR>母亲鲁之玉</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o céu sem nuvens, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>下棋</font>, de repente achou que a <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 08:47	4d 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>葛慕儿</font> jogava xadrez sozinha, de repente ficou tomada por inúmeros pensamentos。
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>葛慕儿</font> estava sem fazer nada, matando o tempo, e ao ver <font color=HECOLOR>毛依白</font> passando, puxou-a para conversar sobre <font color=OBJCOLOR>需要房间</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	No entardecer, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>跳舞</font>, de repente achou que a <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>葛慕儿</font> estava de bom humor por causa da conversa, e não pôde deixar de <font color=OBJCOLOR>看天花板</font> para expressar seus sentimentos.
4天 17:46	4d 17:46
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Origem da Terra
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Ao meio-dia, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve vontade de comer <font color=OBJCOLOR>面饼</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	Durante o período de Shen, <font color=MYCOLOR>奚顺</font> sozinho <font color=OBJCOLOR>观云卷云舒</font>, de repente ficou tomado por inúmeros pensamentos。
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu límpido, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>下棋</font>, de repente teve vontade de comer <font color=OBJCOLOR>公狼粪便</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o sol declinante e o coração pesado, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>书画</font>, de repente se sentiu muito cabisbaixo.
3天 13:34	3d 13:34
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Bambu do Trovão
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve vontade de comer <font color=OBJCOLOR>母牛粪便</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Num canto, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>凝神望天</font>, de repente derramou lágrimas.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>书画</font>, de repente derramou lágrimas.
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	
葛慕儿	
从功	
韶兴	
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Chama Sombria
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	Por estar vestindo algo que lhe caía bem, <font color=MYCOLOR>项辉</font> estava contente ao ver <font color=HECOLOR>毛依白</font> passar, e então a puxou para conversar um pouco sobre <font color=OBJCOLOR>九华村</font>.
3天 05:57	3d 05:57
