ID	Name	Desc
75	Absorção Sanguínea	Absorção Sanguínea feita uma vez
76	Ciclo da Vida	Absorção Sanguínea feita 10 vezes
77	Regra do Yin e Yang	Absorção Sanguínea feita 50 vezes
78	O Rei da Morte	Absorção Sanguínea feita 100 vezes
79	Transgressor	1 sacrifício concluído
80	Fé do Mal	10 sacrifícios concluídos
81	Portador do Mal	50 sacrifícios concluídos
82	Apóstolo do Mal	100 sacrifícios concluídos
83	Possessão da Alma	1 alma de pessoa possuída
84	Alma Morta-Viva	10 almas de pessoas possuídas
85	Alma Eterna	50 almas de pessoas possuídas
86	Violação do Credo	100 almas de pessoas possuídas
87	Aliado	1 artefato maior adquirido
88	Harmonia	10 artefatos maiores adquiridos
89	Viajante	5 novos pontos descobertos durante as aventuras (pontos aprendidos através de livros não incluídos)
90	Explorador	25 novos pontos descobertos durante as aventuras (pontos aprendidos através de livros não incluídos)
91	Grande Viajante	50 novos pontos descobertos durante as aventuras (pontos aprendidos através de livros não incluídos)
1002	Purificação	Prepare uma pílula de Samsara
1003	Cristalização	Prepare uma pílula da eternidade
1004	Meu Destino	Em forma de núcleo dourado
1005	O Escolhido	Nível I em Forma de Núcleo Dourado
1006	Descendente dos Passos Supremos	Cultive a Lei dos Dezesseis Passos Supremos
1007	Treinamento Ortodoxo: Passos Supremos	Cultive a Lei dos Dezesseis Passos Supremos com mais de 150% de compatibilidade
1008	Nível I: Passos Supremos	Molde o Núcleo Dourado Nível I com a Lei dos Dezesseis Passos Supremos
1009	Mestria: Passos Supremos	Ascenda através da Lei dos Dezesseis Passos Supremos
1010	Descendente de Miríades de Artefatos	Cultive a Lei dos Miríades de Artefatos
1011	Treinamento Ortodoxo: Miríades de Artefatos	Cultive a Lei de Miríades de Artefatos com mais de 150% de compatibilidade
1012	Nível I: Miríades de Artefatos	Molde o Núcleo Dourado de Nível I com a Lei de Dezenas de Artefatos
1013	Mestria: Miríades de Artefatos	Ascenda através da Lei de Miríades de Artefatos
1014	Descendente da Espada	Cultive a Espada do Sete Abate
1015	Treinamento Ortodoxo: Espada	Cultive a Espada do Sete Abate com mais de 150% de compatibilidade
1016	Nível I: Espada	Molde o Núcleo Dourado Nível I com a Espada do Sete Abate
1017	Mestria: Espada	Suba pela Espada do Sete Abate
1018	Descendente da Pureza de Jade	Cultive a Lei Imortal da Pureza de Jade
1019	Treinamento Ortodoxo: Pureza de Jade	Cultive a Lei Imortal da Pureza de Jade com mais de 150% de compatibilidade
1020	Nível I: Pureza de Jade	Molde o Núcleo Dourado Nível I com a Lei Imortal da Pureza de Jade
1021	Mestria: Pureza de Jade	Ascenda através da Lei Imortal da Pureza de Jade
1022	Descendente do Roubo do Céu	Cultive a Lei do Roubo do Céu
1023	Treinamento Ortodoxo: Roubo do Céu	Cultive a Lei de Roubo dos Céus com mais de 150% de compatibilidade
1024	Nível I: Roubo do Céu	Molde o Núcleo Dourado Nível I com a Lei de Roubo dos Céus
1025	Mestria: Roubo do Céu	Ascenda através da Lei de Roubo do Céu
1026	Descendente da Alquimia	Cultive a Lei da Alquimia Primordial
1027	Treinamento Ortodoxo: Alquimia	Cultive a Lei da Alquimia Primordial com mais de 150% de compatibilidade
1028	Nível I: Alquimia	Molde o Núcleo Dourado Nível I com a Lei de Alquimia Primordial
1029	Mestria: Alquimia	Ascenda através da Lei da Alquimia Primordial
1030	Descendente da Grande Carruagem	Cultive a Lei da Sabedoria da Grande Carruagem
1031	Treinamento Ortodoxo: Grande Carruagem	Cultive a Lei da Sabedoria da Grande Carruagem com mais de 150% de compatibilidade
1032	Nível I: Grande Carruagem	Molde o Núcleo Dourado Nível I com a Lei da Sabedoria da Grande Carruagem
1033	Mestria: Grande Carruagem	Ascende através da Lei da Sabedoria da Grande Carruagem
1034	Descendente da Reencarnação	Cultive a Lei da Reencarnação dos Seis Caminhos
1035	Treinamento Ortodoxo: Reencarnação	Cultive a Lei de Reencarnação dos Seis Caminhos com mais de 150% de compatibilidade
1036	Nível I: Reencarnação	Molde o Núcleo Dourado de Nível I com a Lei de Reencarnação dos Seis Caminhos
1037	Mestria: Reencarnação	Ascende através da Lei de Reencarnação dos Seis Caminhos
1038	Descendente do Verdadeiro Sol	Cultive a Verdadeira Lei de Refinamento do Sol
1039	Treinamento Ortodoxo: Verdadeiro Sol	Cultive a Lei de Refinamento do Verdadeiro Sol com mais de 150% de compatibilidade
1040	Nível I: Verdadeiro Sol	Molde o Núcleo Dourado de Nível I com a Lei de Refinamento do Verdadeiro Sol
1041	Mestria: Verdadeiro Sol	Ascenda através da Lei de Refinamento do Verdadeiro Sol
1042	Descendente da Refinamento de Girassol	Cultive a Lei de Refinamento de Girassol
1043	Treinamento Ortodoxo: Refinamento de Girassol	Cultive a Lei de Refinamento de Girassol com mais de 150% de compatibilidade
1044	Nível I: Refinamento de Girassol	Molde o Núcleo Dourado de Nível I com a Lei de Refinamento de Girassol
1045	Mestria: Refinamento de Girassol	Ascenda através da Lei de Refinamento de Girassol
1046	Descendente da Separação de Emoções	Cultive a Lei de Separação de Emoções
1047	Treinamento Ortodoxo: Separação de Emoções	Cultive a Lei de Separação de Emoções com mais de 150% de compatibilidade
1048	Nível I: Separação de Emoções	Molde o Núcleo Dourado de Nível I com a Lei de Separação de Emoções
1049	Mestria: Separação de Emoções	Ascenda através da Lei de Separação de Emoções
1050	Não Reconhecido	A reputação da seita chega a 400: Não reconhecido
1051	Visível	A reputação da seita chega a 1.000: Visível
1052	Distingüido	A reputação da seita chega a 5.000: Distinguido
1053	Proeminente	A reputação da seita chega a 10.000: Proeminente
1054	Incomparável	A reputação da seita chega a 40.000: Incomparável
1055	Respeitada	Seita se torna: Respeitada
1056	Honrada	Seita se torna: Honrada
1057	Celebrada	Seita se torna: Celebrada
1058	Sombrio	Seita se torna: Sombrio
1059	Notória	Seita se torna: Notória
1060	Infame	Seita se torna: Infame
1061	Estabelecida	5 discípulos na seita
1062	Expansão	10 discípulos na seita
1063	Florescendo	18 discípulos na seita
1064	Um Novo Começo	1 discípulo interno na seita
1065	Crescendo	4 discípulos internos na seita
1066	Riqueza de Talento	8 discípulos internos na seita
1067	Desastre: Frio Extremo	Sobreviva ao frio extremo
1068	Desastre: Onda de Calor	Sobreviver através da onda de calor
1069	Desastre: Noite Polar	Sobreviver através da noite polar
1070	Psicoquinético	A maestria de artefato atinge o nível 20
1071	Cativante	O feitiço atinge o nível 20
1072	À Prova de Morte	A proteção atinge o nível 20
1073	Médico Imortal	Alquimia atinge o nível 20
1074	Artífice	Criação de artefatos atinge o nível 20
1075	Vindo do Inverno	Passe o 1º ano no jogo
1076	O Tempo Voa	Passe o 5º ano no jogo
1077	Dias que Passaram	Passe o 10º ano no jogo
1078	Iluminado	Primeiro milagre realizado: Iluminado
1079	Carismático	Primeiro milagre realizado: Carismático
1080	Perceptivo	Primeiro milagre realizado: Perceptivo
1081	Resiliente	Primeiro milagre realizado: Resiliente
1082	Reconstrutor	Primeiro milagre realizado: Reconstrução
1083	Fazedor de Chuva	Primeiro milagre realizado: Fazer chuva
1084	Desprovido de Nuvens	Primeiro milagre realizado: Dispersão de Nuvem
1085	Lobotomia	Parte superior do crânio danificada
1086	Tiro na Cabeça!	Cabeça danificada
1087	Vivo Morto	Cérebro danificado
1088	Sem Fígado!	Fígado danificado
1089	Asexual	Esterilizado
1090	Meu Coração Continuará	Coração danificado
1091	Cultivado	O Feng Shui da Seita se torna cultivado
1092	Abençoado	O Feng Shui da Seita é abençoado
1093	Auspicioso	O Feng Shui de um quarto torna-se auspicioso
1094	Ótimo Feng Shui	O Feng Shui de um quarto torna-se muito auspicioso
1095	Imortal Nível I	Um imortal que sobreviveu a uma tribulação permanece na seita
1096	Imortal Nível III	Um imortal que sobreviveu a três tribulações permanece na seita
1097	Imortal Nível V	Um imortal que sobreviveu a cinco tribulações permanece na seita
1098	Imortal Nível IX	Um imortal que sobreviveu a nove tribulações permanece na seita
1099	Raro	Adquira um artefato que passou por 1 reforja celestial
1100	Precioso	Adquira um artefato que passou por 5 reforjas celestiais
1101	Exquisito	Adquira um artefato que tenha passado por 10 reforjas celestiais
1102	Lendário	Adquira um artefato que passou por 20 reforjas celestiais
2000	Habilidoso	Artefato com qualidade 100 criado
2001	Engenhoso	Artefato de Nível XII criado
2002	Tinta Incrível	Talismã com uma qualidade superior a 95 sorteados
2003	Extravagante	Artefato de Nível XII fundido
2004	Triunfante	Sobreviveu à tribulação
2005	Devastador	Falhou a tribulação e morreu
2006	Desesperador	Falhou a tribulação, mas sobreviveu
2007	Excelente	Primeiro avanço
2008	Estabelecimento	Estabeleça uma seita
2009	Desenvolvimento	Seita se expande para a escola
2010	Emergência	Seita se expande em adobe celestial
2011	Humilde	Primeira vez reconhecendo alguém como mestre
2012	Conselheiro	Primeira vez instruindo alguém
2013	Amo	Primeira vez em um relacionamento
2014	Primeiro Passo	Primeira confissão de amor
2015	Memória Doki Doki	Primeira confissão de amor bem sucedida
2016	Cara Legal	Primeira confissão de amor falhou
2017	Corrompido	Primeira vez caindo para o lado do demônio
2018	Coração Frio	Primeira vez banindo um discípulo
2019	Miraculado	Primeira vez desenterrando caixão antigo
2020	Repulsão	Primeira vez comendo fezes
2021	Indiferença	Primeira vez comendo sujeira
2022	Eu Rejeito Minha Humanidade	Possuir um animal
2023	Hora de Dormir!	O jogo está em execução há mais de 4 horas e o horário atual é entre 0:00 e 5:00 AM.
2024	Morto	Matar o Dragão da Inundação
2025	Caído	Matar Fênix
2026	Lei do Yin e Yang	Dragão da tocha morto
2027	Acelerado	Faça o Flood Dragon se transformar em sua verdadeira forma em menos de 60 segundos
2028	Quebra de Chifre	Mate o Flood Dragon depois de destruir seu chifre
2029	Cortador de Cauda	Mate o Flood Dragon depois de destruir sua cauda
2030	Furioso	Mate o Flood Dragon depois de destruir sua Escala Proibida
2031	Enraivecido	Mate o Dragão da Enchente antes que ele conjure Fúria do Dragão
2032	Hidratado	Mate o Dragão da Enchente antes que ele conjure Enchente Mortal
2033	Fogo Celestial	5 pessoas absorvem o derretimento de Phoenix e ninguém fica ferido
2034	Encara	Aguente o Flame Eyes por 20 segundos sem se machucar
2035	Radiando	Mate Phoenix após lançar Cristal do Sol
2036	Beleza da Fera	Mate Phoenix depois de destruir sua pena da coroa
2037	Cauda de Problemas	Mate Phoenix depois de destruir sua pena de cauda
2038	Condensador de Qi	Mantenha um ovo de Phoenix sem incubar nem morrer por mais de 36 dias
2039	Limpeza Completa	Mais de 9 ovos são subjugados derrotando o Dragão da Tocha
2040	Irreverência	Derrote o Dragão da Tocha depois de destruir sua escama divina
2041	Caos	Derrote o Dragão da Tocha depois de destruir seu jade
2042	Paradoxo	Derrote o Dragão da Tocha com um personagem sob Máscara Mental e Fogo Selvagem
2043	Subjugador	Derrote o Dragão da Tocha sem nenhum ovo chocado
2044	De tirar o fôlego	Derrote o Dragão da Tocha sem que ninguém seja atingido por seu sopro
2045	Raiz Espiritual	Primeira vez plantando uma Raiz Espiritual
2046	Coleita	Colher uma raiz de cinco elementos
2047	Extremidade	Raiz dos Cinco Elementos atinge seu limite abençoado ou amaldiçoado
2048	Caminho Natural	Primeira vez compreendendo uma lei natural
2049	Caminho Divergente	Primeira vez compreendendo uma Lei divergente
2050	Descanse em Paz	Mate um sábio antigo
2051	Treinador de Animais	Primeira vez domar um animal
2052	Rebelde!	Primeira vez que um animal se transforma em uma fera
10000	Vale dos Vermes	Aventura especial completa: Vale dos Vermes
10001	Tesouro do Veneno	Aventura especial completa: Tesouro de Veneno
10002	Palácio Celestial	Aventura especial completa: Palácio Celestial
10003	Caverna de Fogo	Aventura especial completa: Caverna de Fogo
10004	Lago do Céu	Aventura especial completa: Lago do Céu
10005	Selo do Diabo	Aventura especial completa: Selo do Diabo
10006	Fora do Céu	Conheça a verdade do mundo
3000	Educação em Primeiro Lugar	Construa um Pavilhão Manual pela primeira vez.
3001	Compartilhamento de Conhecimento	Transcreva um manual usando o Manual Pavilion pela primeira vez.
3002	Estude Muito	Aprenda um manual da coleção do Pavilhão de Manuais pela primeira vez.
3003	Uma Grande Coleção	Atingimento total da coleção do Pavilhão Manual chega a 500.
3004	Uma Vasta Coleção	Atingimento total do acervo do Pavilhão Manual chega a 2000.
3005	Uma Imensa Coleção	Atingimento total do acervo do Pavilhão Manual chega a 5.000.
3006	Uma Coleção Inigualável	Atingimento total do acervo do Pavilhão Manual chega a 10.000.
3007	Libere a Luz	Crie um Artefato Raro pela primeira vez.
3008	Pacto de Sangue	Ative um Artefato Raro pela primeira vez.
3009	Novato em Artefato	Ative 1 Artefato Raro.
3010	Veterano em Artefato	Ative 5 artefatos raros diferentes.
3011	Especialista em Artefato	Ative 10 artefatos raros diferentes.
3012	Mestre em Artefato	Ative 20 artefatos raros diferentes.
3013	Você Acordou?	Ilumine um espírito senciente.
3014	Finalmente em Silêncio	Mate um espírito senciente com Soul Chant.
3015	Escute Meu Coração	Testemunhe o nascimento de um espírito senciente por acompanhar um personagem por muito tempo.
3016	Filho da Natureza	Testemunhe o nascimento de um espírito senciente em ambiente natural.
3017	O Que Você É?	Conheça um espírito senciente selvagem.
3018	Planícies Centrais: Tornando-se Humano	Forje um corpo para um espírito senciente.
3019	Balanço Nutricional	Forje um corpo para um espírito senciente com uma proporção equilibrada de Cinco Elementos.
3020	Cada Um com Seu Cada Um	Forje um corpo para um espírito senciente com 100% de proporção de um determinado elemento, escolha uma Lei compatível para ele e promova-o a Discípulo Interior.
3021	Comida para Todos	Sobreviva por 2 anos sem que o personagem morra com todas as opções Narrow Escape ativadas.
3022	Em Todos os Climas	Sobreviva por 1 ano sem que o personagem morra com todas as opções de clima severo ativadas.
3023	Poder Celestial	Mate todos os monstros no mapa inicial no 1º ano com todos os monstros extras ativados.
3024	Edifícios Intrincados	Construa o Mini Universo no 1º ano com todas as opções de Edifícios Intrincados ativadas.
3025	Autoensinado	Alcance uma seita Heavenly Abode no primeiro ano com todas as opções de Lost Arts ativadas.
3026	Orçamento Rigoroso	Construa o Mini Universo no 1º ano com todas as opções de Recursos Escassos ativadas.
3027	O Melhor Que Você Pode Conseguir	Pegue um personagem com todas as Estatísticas Gerais acima de 5 com todas as opções de Tempos Difíceis ativadas.
3028	Negociação Difícil	Compre um item de Nível 10 ou superior de um Comerciante Viajante no 1º ano com todas as opções de Comerciantes Malvados ativadas.
3029	Vá Com o Fluxo	Ajude um personagem a alcançar o Espírito Primordial ou estados de cultivo equivalentes no primeiro ano com todas as opções de Inordenação do Tao ativadas.
3030	Bom Cachorrinho	Mate um monstro no estado Golden Core ou superior com seu pet espiritual sozinho no primeiro ano com todas as opções Frail Pets ativadas.
3031	Bem Conectado	Alcance 100 Favores com todos os líderes da seita com todas as opções do Mundo Frio ativadas.
3032	Exorcista Taoísta	Mate todos os Yaoguai atacantes no 80º dia.
3033	Mata Cultivadores	Mate o Cultivator Killer atacando no 150º dia.
3034	Não Olhe	Não deixe o Jiao-dragão aparecer nos primeiros 200 dias enquanto a misteriosa caverna aparece no 30º dia, então mate o dragão.
3035	O Fazendeiro e o Dragão	Não deixe o Jiao-dragão aparecer nos primeiros 200 dias com todas as opções Ancient Awe ativadas, então mate o dragão.
3036	Nível Superior = Mais Dignidade	Aprimore os Salões Principais de todas as áreas e cidades para o Nível 3 em 3 anos com todas as opções de Tarefas Mundiais ativadas.
3037	Imortais não acreditam em lágrimas	Compre um item de Nível 12 ou superior de uma seita de cultivo no 1º ano com todas as opções de Imortais Sem Emoções ativadas.
3038	Mata Imortais	Faça todas as seitas se renderem sob a configuração de poder da seita NPC mais alta.
3039	Mata Yin	Mate o Jiao-dragão sob a configuração de poder mais alta do Jiao-dragão.
3040	Mata Yang	Mate Phoenix sob a configuração de energia mais alta de Phoenix.
3041	Exterminador Tao	Derrote o Dragão da Tocha com o nível máximo de poder do Dragão da Tocha.
3042	Confronto Final	Derrote os inimigos atacando no 1000º dia com a opção Fica mais difícil ativada.
3043	Iniciante em Ascensão	Faça um discípulo ascender na dificuldade Tribulação I ou superior.
3046	Profissional em Ascensão	Faça um discípulo subir na dificuldade Tribulação IV ou superior.
3049	Mestre em Ascensão	Faça um discípulo subir na dificuldade Tribulação VII ou superior.
3052	Iniciante em Conquista	Conquiste todas as seitas na dificuldade Tribulação I ou superior.
3055	Profissional em Conquista	Conquiste todas as seitas na dificuldade Tribulação IV ou superior.
3058	Mestre em Conquista	Conquiste todas as seitas na dificuldade Tribulação VII ou superior.
3061	Caminho das Formaçõe	Aprenda com um manual de Formações pela primeira vez.
3062	Formação Antiga	Aprenda uma formação antiga pela primeira vez.
3063	Não Tantos, Mas Como Um	Forme uma formação pela primeira vez.
3064	Lenda Renascida	Forme uma formação antiga pela primeira vez.
3065	Agência Mundana	Atribua uma Agência a um discípulo pela primeira vez.
3066	Explorador do Mundo	Configure e atribua agências em todas as cidades e áreas.
3067	Natureza Excepcional	Construa uma Maravilha.
3068	Apenas Pare	Construa todas as Maravilhas.
3069	Escolha do Povo	Ganhe mais de 20.000 seguidores em um único evento de política.
3070	Religião Maior	Faça com que 40% ou mais da população de uma cidade ou área se torne um seguidor de sua seita.
3071	Missionário	Faça com que 40% ou mais da população de cada cidade ou área se torne um seguidor de sua seita.
3072	Ouça!	Participe do Leilão pela primeira vez.
3073	Não Posso Ter Tudo, Hã?	Compre todos os itens em um leilão.
3074	Aumente a Aposta	Compre o item misterioso no leilão.
3075	Negócio da Sorte	Faça um lance com um preço inferior ao preço de mercado e obtenha o item que está sendo leiloado.
3076	Venci?	Dê um lance com um preço 10 vezes o preço de mercado ou superior e obtenha o item que está sendo leiloado.
3077	Troca Justa	Negocie pela primeira vez com o Mercador Viajante.
3078	Último em Estoque	Compre uma Pedra Espiritual do Comerciante Viajante.
3079	Não Mate a Gansa	Mate o Mercador Viajante.
3080	Apoio Oportuno	Ganhe 1 Conexão de uma seita NPC.
3081	Amigo Para Sempre	Ganhe 10 de Conexão de uma única seita NPC.
3082	Ajudaaa!!!	Peça emprestado um discípulo pela primeira vez.
3083	Tudo por Um	Pegue emprestado 4 discípulos ao mesmo tempo, cada um de uma seita diferente.
3084	Acertou em Cheio	Dê a um líder de seita seu item favorito como presente ao fazer uma visita formal.
3085	Mundo Grande Grande	Entre em um mapa selvagem pela primeira vez.
3086	Apenas Passando	Entre no mapa de uma seita pela primeira vez.
3087	Tudo Meu!	Colete um item em um mapa selvagem pela primeira vez.
3088	Agora ou Nunca	Pegue um tesouro no mapa de uma seita enquanto se esconde.
3089	Conquista: Morada do Guarda-Sol	Conquiste a morada do guarda-sol.
3090	Conquista: Palácio Kunlun	Conquiste o Palácio Kunlun.
3091	Conquista: Palácio da Cúpula Celeste	Conquiste o Palácio da Cúpula Celeste.
3092	Conquista: Templo da Nuvem Púrpura	Conquiste o Templo da Nuvem Púrpura.
3093	Conquista: Seita da Unidade Mística	Conquiste a Seita da Unidade Mística.
3094	Conquista: Templo do Lótus Azul	Conquiste o Templo do Lótus Azul.
3095	Conquista: Morada do Poente	Conquiste a Morada do Poente.
3096	Conquista: Monte dos Cem Insetos	Conquiste o Monte dos Cem Insetos.
3097	Conquista: Abismo da Perdição	Conquiste o Abismo da Perdição.
3098	Conquista: Seita dos Sete Massacres	Conquiste a Seita dos Sete Massacres.
3099	Conquista: Seita Exultante	Conquiste a Seita Exultante.
3100	Conquista: Templo Daemonia	Conquiste o Templo Daemonia.
3101	Conquista	Conquiste todas as seitas de cultivo.
3102	Vencedor do Mundo	Conquiste todas as seitas NPC e faça com que 40% ou mais da população de cada cidade ou área se torne um seguidor de sua seita.
3103	Olá!	Socialize com os outros pela primeira vez.
3104	Nossos Problemas Respectivos	Saiba da obsessão de alguém pela primeira vez.
3105	Brinque com Coração	Derrube a guarda de alguém pela primeira vez.
3106	Deixe-me Mostrar a Você	Convide alguém para sua seita pela primeira vez.
3107	Verdade Revelada	Resolva um mistério.
3108	Pet Espiritual: Cão Divino	Obtenha o Cão Divino.
3109	Pet Espiritual: Raposa Espiritual	Obtenha o Espírito Raposa.
3110	Pet Espiritual: Dragão Flutuante	Obtenha o Dragão Flutuante.
3111	Pet Espiritual: Fênix Negra	Obtenha a Fênix Negra.
3112	Totalmente Crescido	Desperte totalmente um Mascote Espiritual.
3113	Amigo Animal	Ilumine uma fera.
3114	Metamorfose: 5 Fragmentos	Faça um Yaoguai com 5 ou mais Fragmentos de Inteligência sobreviver à Tribulação Metamorfose.
3115	Metamorfose: 7 Fragmentos	Faça um Yaoguai com 7 ou mais Fragmentos de Inteligência sobreviver à Tribulação Metamorfose.
3116	Metamorfose: 9 Fragmentos	Faça um Yaoguai com 9 ou mais Fragmentos de Inteligência sobreviver à Tribulação da Metamorfose.
3117	Sobrevivente do Céu	Sobreviva a 5 tribulações de realização.
3118	Longevidade Inigualável	Sobreviva a 5 tribulações de vida.
3119	Uma Seita Própria	Erga uma estátua de crença em uma cidade e conecte-a a um cultivador Shendao.
3120	Um Guarda Próprio	Nomear um Guarda.
3121	Um Credo Próprio	Obtenha um seguidor principal.
3122	Seguidores Próprios	Conceda o desejo épico de um seguidor.
3123	Uma Relíquia Própria	Suba de nível uma Relíquia Sagrada para o Nível 15.
3124	Um Reino Próprio	Expanda seu reino divino sobrevivendo à tribulação do desapego.
3125	Um Coração Próprio	Alcance o estado mental mais elevado do cultivo Shendao.
3126	Prece: Trovão Celestial	Aprenda o Sutra do Trovão Celestial.
3127	Criação: Trovão Celestial	Estabeleça um Reino Divino usando o Sutra do Trovão Celestial.
3128	Atingimento: Trovão Celestial	Alcance o tamanho máximo possível ao estabelecer o Reino Divino usando o Sutra do Trovão Celestial.
3129	Ascensão: Trovão Celestial	Ascenda estudando o Sutra do Trovão Celestial.
3130	Prece: Oito Cosmos	Aprenda o Sutra dos Oito Cosmos.
3131	Criação: Oito Cosmos	Estabeleça um Reino Divino usando o Sutra dos Oito Cosmos.
3132	Atingimento: Oito Cosmos	Alcance o tamanho máximo possível ao estabelecer o Reino Divino usando o Sutra dos Oito Cosmos.
3133	Ascensão: Oito Cosmos	Ascenda estudando o Sutra dos Oito Cosmos.
3134	Prece: Salvação Etérea	Aprenda o Sutra da Salvação Etérea.
3135	Criação: Salvação Etérea	Estabeleça um Reino Divino usando o Sutra da Salvação Etérea.
3136	Atingimento: Salvação Etérea	Alcance o tamanho máximo possível ao estabelecer o Reino Divino usando o Sutra da Salvação do Nether.
3137	Ascensão: Salvação Etérea	Ascenda estudando o Sutra da Salvação Inferior.
3138	Essência de Ilusão	Ganhe Essência da Ilusão através da respiração.
3139	Essência Nimbus	Ganhe Essência Nimbus através da respiração.
3140	Essência Ignis	Ganhe Essência Ignis através da respiração.
3141	Essência Aqualuna	Ganhe Aqualuna Essence através da respiração.
3142	Corpo Supremo	Ative o corpo secreto pela primeira vez.
3143	Encarcerado em Batalha	Alcance 100 pilhas de Temperado.
3144	Iniciação: Unidade Primordial	Aprenda Corpo da Unidade Primordial.
3145	Ascensão: Unidade Primordial	Ascenda com o Corpo da Unidade Primordial.
3146	Iniciação: Forjamento Bárbaro	Aprenda Corpo de Forjamento Bárbaro.
3147	Ascensão: Forjamento Bárbaro	Ascenda com Corpo de Forjamento Bárbaro.
3148	Iniciação: Yaoguai Ancestral	Aprenda Corpo de Yaoguai Ancestral.
3149	Ascensão: Yaoguai Ancestral	Ascenda com o Corpo de Yaoguai Ancestral.
3150	Iniciação: Obliteração Caída	Aprenda Corpo de Obliteração Caída.
3151	Ascensão: Obliteração Caída	Ascenda com Corpo de Obliteração Caída.
3152	Junte-se a nós e busque a imortalidade!	Adquira animais de estimação Xiuxiu e Xianxian.
3153	Panda Imortal	Transforme um panda em humano e ajude-o a ascender à imortalidade.
3154	Um Peixe	Pegue um peixe.
3155	100 Peixes	Pegue 100 peixes.
3156	1,000 Peixes	Pegue 1,000 peixes.
3157	10,000 Peixes	Pegue 10,000 peixes.
3158	Isca Pegada	Pegue um animal durante a pesca.
3159	Eu Escolho Você!	Pegue um monstro enquanto pesca.
3160	Objeto Brilhante	Pegue uma Pedra Espiritual enquanto estiver pescando.
3161	Pescador Mestre	Pegue todas as espécies de peixes.
3162	Caçador de Kraken	Pegar um peixe pesava mais de 25 catties.
3163	Engenhosidade da Conquista	Obtenha todos os tesouros secretos das estelas em Purple Cloud Palace
