拜祖师	Culto aos Ancestrais
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	Vessel
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente sentiu muita saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font> por estar de <font color=OBJCOLOR>mente clara</font> e de bom humor, não pôde evitar <font color=OBJCOLOR>tocar música</font> para expressar seus sentimentos.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Ao pôr do sol, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente, lágrimas escorreram.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
毛依白	
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Estudante Bonito
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Dentro da seita, <font color=MYCOLOR>熊子石</font> silenciosamente <font color=OBJCOLOR>observava as nuvens se desfazerem</font>, de repente, lembrou-se de sua <font color=OBJCOLOR>mãe Murong Shuying</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font> por ter <font color=OBJCOLOR>alcançado uma elevação de nível</font> e estando de bom humor, não pôde evitar <font color=OBJCOLOR>tocar música</font> para expressar seus sentimentos.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font> foi perturbado pela <font color=OBJCOLOR>necessidade de um quarto</font> e só pôde <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font> por estar de <font color=OBJCOLOR>mente clara</font> e de bom humor, não pôde evitar <font color=OBJCOLOR>ler livros e pergaminhos</font> para expressar seus sentimentos.
3天 10:55	3d 10:55
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Raiz Fatal
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font> por causa da <font color=OBJCOLOR>paisagem única</font> e estando de bom humor, não pôde evitar <font color=OBJCOLOR>ler livros e pergaminhos</font> para expressar seus sentimentos.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Em um momento de tranquilidade, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Dentro da seita, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente, lágrimas escorreram.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	À hora dos ratos, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente quis comer <font color=OBJCOLOR>昙花水梨汤</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	Ao anoitecer, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente sentiu uma irritação inexplicável.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Centopéia Yin
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente derramou lágrimas.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Sem nuvens por todos os cantos, <font color=MYCOLOR>南门墨竹</font> enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava contente por estar vestindo algo que caía bem, e ao ver que <font color=HECOLOR>毛依白</font> parecia entediado, puxou-a para conversar sobre <font color=OBJCOLOR>hobbies</font>.
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>韶兴</font> por estar de <font color=OBJCOLOR>mente serena</font> e de bom humor, não pôde evitar <font color=OBJCOLOR>concentrar-se em olhar para o céu</font> para expressar seus sentimentos.
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Com o céu límpido, <font color=MYCOLOR>韶兴</font> silenciosamente <font color=OBJCOLOR>olhava o teto</font>, de repente lembrou de seu <font color=OBJCOLOR>pai韶寂弦</font>.
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> silenciosamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou de sua <font color=OBJCOLOR>mãe勾凤鸾</font>.
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> foi perturbado pela emoção de <font color=OBJCOLOR>necessitar de armas</font> e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
4天 04:16	4d 04:16
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Homem da Espada
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu límpido, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente soltou um longo suspiro.
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	No momento do entardecer, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>observava os astros à noite</font>, de repente sentiu muita saudade de casa.
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	À hora dos ratos, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente sentiu muita saudade de casa.
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> silenciosamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou de seu <font color=OBJCOLOR>pai陶寂弦</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente quis comer <font color=OBJCOLOR>昙花水梨汤</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> silenciosamente <font color=OBJCOLOR>jogava xadrez</font>, de repente lembrou de sua <font color=OBJCOLOR>mãe国黛</font>.
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Homem do Surf
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	Na hora de 酉时, <font color=MYCOLOR>葛慕儿</font> silenciosamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou de sua <font color=OBJCOLOR>mãe鲁之玉</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o céu sem nuvens, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 08:47	4d 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>葛慕儿</font> sozinho <font color=OBJCOLOR>jogava xadrez</font>, de repente ficou imerso em pensamentos.
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>葛慕儿</font> estava desperdiçando o tempo sem fazer nada, e ao ver <font color=HECOLOR>毛依白</font> passando, puxou-a para conversar sobre <font color=OBJCOLOR>necessidade de um quarto</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Ao entardecer, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>dançava</font>, de repente achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>葛慕儿</font> por estar de bom humor devido à <font color=OBJCOLOR>conversa</font>, não pôde evitar <font color=OBJCOLOR>olhar o teto</font> para expressar seus sentimentos.
4天 17:46	4d 17:46
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Origem da Terra
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Ao meio-dia, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente quis comer <font color=OBJCOLOR>面饼</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	No período de 申时, <font color=MYCOLOR>奚顺</font> sozinho <font color=OBJCOLOR>observava as nuvens se desfazerem</font>, de repente ficou imerso em pensamentos.
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu límpido, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente quis comer <font color=OBJCOLOR>公狼粪便</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o sol se pondo e o coração preguiçoso, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>pintava e escrevia</font>, de repente se sentiu muito abatido.
3天 13:34	3d 13:34
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Bambu Trovão
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente quis comer <font color=OBJCOLOR>母牛粪便</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	No momento em que estava no canto, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente derramou lágrimas.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Sem nuvens por todos os cantos, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>dava uma olhada</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Sem nuvens por todos os cantos, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>pintava e escrevia</font>, de repente derramou lágrimas.
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	
葛慕儿	
从功	
