Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
AtkDizzyInner	Eu jamais atacaria Discípulos Internos inconscientes	Eu raramente ataco Discípulos Internos inconscientes	Eu ocasionalmente ataco Discípulos Internos inconscientes	Eu às vezes ataco Discípulos Internos inconscientes	Eu frequentemente ataco Discípulos Externos inconscientes										
AtkDizzyComing	Eu jamais atacaria convidados inconscientes	Eu raramente ataco convidados inconscientes	Eu ocasionalmente ataco convidados inconscientes	Eu às vezes ataco convidados inconscientes	Eu frequentemente ataco convidados inconscientes										
AtkDizzyVisitor	Eu jamais atacaria visitantes inconscientes	Eu raramente ataco visitantes inconscientes	Eu ocasionalmente ataco visitantes inconscientes	Eu às vezes ataco visitantes inconscientes	Eu frequentemente ataco visitantes inconscientes										
ShitAtShitPlace	Eu jamais defecaria no local	Eu raramente defeco no local	Eu ocasionalmente defeco no local	Eu às vezes defeco no local	Eu frequentemente defeco no local										
ShitAtPlants	Eu jamais defecaria em uma Planta	Eu raramente defeco em Plantas	Eu ocasionalmente defeco em Plantas	Eu às vezes defeco em Plantas	Eu frequentemente defeco em uma Planta										
ShitAtDogHouse	Eu jamais defecaria em ninhos	Eu raramente defeco em ninhos	Eu ocasionalmente defeco em ninhos	Eu às vezes defeco em ninhos	Eu frequentemente defeco em ninhos										
ShitAtStorage	Eu jamais defecaria em depósitos	Eu raramente defeco em depósitos	Eu ocasionalmente defeco em depósitos	Eu às vezes defeco em depósitos	Eu frequentemente defeco em depósitos										
ShitOnBed	Eu jamais defecaria em uma Cama	Eu raramente defeco em Camas	Eu ocasionalmente defeco em Camas	Eu às vezes defeco em Camas	Eu frequentemente defeco em Camas										
ShitInFarm	Eu jamais defecaria em um Campo	Eu raramente defeco em um Campo	Eu ocasionalmente defeco em um Campo	Eu às vezes defeco em um Campo	Eu frequentemente defeco em um Campo										
CarryOuterToBed	Eu jamais moveria Discípulos Externos inconscientes para uma Cama	Eu raramente movo Discípulos Externos inconscientes para uma Cama	Eu ocasionalmente movo Discípulos Externos inconscientes para uma Cama	Eu às vezes movo Discípulos Externos inconscientes para uma Cama	Eu frequentemente movo Discípulos Externos inconscientes para uma Cama										
CarryVisitorToDest	Eu jamais moveria visitantes inconscientes para uma Área de Estágio	Eu raramente movo visitantes inconscientes para uma Área de Estágio	Eu ocasionalmente movo visitantes inconscientes para uma Área de Estágio	Eu às vezes movo visitantes inconscientes para uma Área de Estágio	Eu frequentemente movo visitantes inconscientes para uma Área de Estágio										
CarryEnemyToDest	Eu jamais moveria inimigos inconscientes para uma Área de Estágio	Eu raramente movo inimigos inconscientes para uma Área de Estágio	Eu ocasionalmente movo inimigos inconscientes para uma Área de Estágio	Eu às vezes movo inimigos inconscientes para uma Área de Estágio	Eu frequentemente movo inimigos inconscientes para uma Área de Estágio										
CarryIncomingToDest	Eu jamais moveria mortais inconscientes para uma Área de Estágio	Eu raramente movo mortais inconscientes para uma Área de Estágio	Eu ocasionalmente movo mortais inconscientes para uma Área de Estágio	Eu às vezes movo mortais inconscientes para uma Área de Estágio	Eu frequentemente movo mortais inconscientes para uma Área de Estágio										
CarryEnemyBodyToDest	Eu jamais moveria os corpos dos inimigos para uma Área de Estágio	Eu raramente movo os corpos dos inimigos para uma Área de Estágio	Eu ocasionalmente movo os corpos dos inimigos para uma Área de Estágio	Eu às vezes movo os corpos dos inimigos para uma Área de Estágio	Eu frequentemente movo os corpos dos inimigos para uma Área de Estágio										
CarryVisitorBodyToDest	Eu jamais moveria os corpos dos visitantes para uma Área de Estágio	Eu raramente movo os corpos dos visitantes para uma Área de Estágio	Eu ocasionalmente movo os corpos dos visitantes para uma Área de Estágio	Eu às vezes movo os corpos dos visitantes para uma Área de Estágio	Eu frequentemente movo os corpos dos visitantes para uma Área de Estágio										
CarryIncomingBodyToDest	Eu jamais moveria os corpos dos mortais para uma Área de Estágio	Eu raramente movo os corpos dos mortais para uma Área de Estágio	Eu ocasionalmente movo os corpos dos mortais para uma Área de Estágio	Eu às vezes movo os corpos dos mortais para uma Área de Estágio	Eu frequentemente movo os corpos dos mortais para uma Área de Estágio										
HelpCarry	Eu jamais ajudaria a mover itens	Eu raramente ajudo a mover itens	Eu ocasionalmente ajudo a mover itens	Eu às vezes ajudo a mover itens	Eu frequentemente ajudo a mover itens	0	-1	-1	-1	-1										
HelpTimber	Eu jamais ajudaria a derrubar árvores	Eu raramente ajudo a derrubar árvores	Eu ocasionalmente ajudo a derrubar árvores	Eu às vezes ajudo a derrubar árvores	Eu frequentemente ajudo a derrubar árvores										
HelpMine	Eu jamais ajudaria a minerar	Eu raramente ajudo a minerar	Eu ocasionalmente ajudo a minerar	Eu às vezes ajudo a minerar	Eu frequentemente ajudo a minerar										
HelpFind	Eu jamais procuraria inimigos	Eu raramente procuro inimigos	Eu ocasionalmente procuro inimigos	Eu às vezes procuro inimigos	Eu frequentemente procuro inimigos										
HelpKill	Eu jamais abateria animais	Eu raramente abato animais	Eu ocasionalmente abato animais	Eu às vezes abato animais	Eu frequentemente abato animais										
HelpPlant	Eu jamais urinaria em plantações	Eu raramente urino em plantações	Eu ocasionalmente urino em plantações	Eu às vezes urino em plantações	Eu urino em plantações sempre que posso										
Pee	Eu jamais urinaria em plantações	Eu raramente urino em plantações	Eu ocasionalmente urino em plantações	Eu às vezes urino em plantações	Eu urino em plantações sempre que posso										
CureFreeze	Eu jamais curaria congelamento	Eu raramente curo congelamento	Eu ocasionalmente curo congelamento	Eu às vezes curo congelamento	Eu frequentemente curo congelamento										
CureHot	Eu jamais curaria golpe de calor	Eu raramente curo golpe de calor	Eu ocasionalmente curo golpe de calor	Eu às vezes curo golpe de calor	Eu frequentemente curo golpe de calor										
HelpCook	Eu jamais ajudaria a cozinhar	Eu raramente ajudo a cozinhar	Eu ocasionalmente ajudo a cozinhar	Eu às vezes ajudo a cozinhar	Eu frequentemente ajudo a cozinhar										
HeatEndure	Eu jamais usaria o Feitiço de Renovação em discípulos	Eu raramente uso o Feitiço de Renovação em discípulos	Eu ocasionalmente uso o Feitiço de Renovação em discípulos	Eu às vezes uso o Feitiço de Renovação em discípulos	Eu frequentemente uso o Feitiço de Renovação em discípulos										
ColdEndure	Eu jamais usaria o Feitiço de Fornalha em discípulos	Eu raramente uso o Feitiço de Fornalha em discípulos	Eu ocasionalmente uso o Feitiço de Fornalha em discípulos	Eu às vezes uso o Feitiço de Fornalha em discípulos	Eu frequentemente uso o Feitiço de Fornalha em discípulos										
HelpPlay	Eu jamais divertiria os Discípulos	Eu raramente divirto os Discípulos	Eu ocasionalmente divirto os Discípulos	Eu às vezes divirto os Discípulos	Eu frequentemente divirto os Discípulos										
FeedTongXie	Eu jamais daria Laxante para um Discípulo comer	Eu raramente dou Laxante para os Discípulos comerem	Eu ocasionalmente dou Laxante para os Discípulos comerem	Eu às vezes dou Laxante para os Discípulos comerem	Eu frequentemente dou Laxante para os Discípulos comerem										
CureInner	Eu jamais usaria Panacea para curar uma lesão	Eu raramente uso Panacea para curar lesões	Eu ocasionalmente uso Panacea para curar lesões	Eu às vezes uso Panacea para curar lesões	Eu frequentemente uso Panacea para curar lesões										
HealInner	Eu jamais usaria Panacea para curar uma lesão	Eu raramente uso Panacea para curar lesões	Eu ocasionalmente uso Panacea para curar lesões	Eu às vezes uso Panacea para curar lesões	Eu frequentemente uso Panacea para curar lesões										
PlayToy	Eu jamais brincaria com brinquedos	Eu raramente brinco com brinquedos	Eu ocasionalmente brinco com brinquedos	Eu às vezes brinco com brinquedos	Eu frequentemente brinco com brinquedos										
TrainQiGan	Eu jamais lapidaria meu Qi	Eu raramente lapidaria meu Qi	Eu ocasionalmente lapidaria meu Qi	Eu às vezes lapidaria meu Qi	Eu frequentemente lapidaria meu Qi										
TrainNeiDan	Eu jamais praticaria Core	Eu raramente pratico Core	Eu ocasionalmente pratico Core	Eu às vezes pratico Core	Eu frequentemente pratico Core						0	1	1	1	1
TrainHuTi	Eu jamais lapidaria minha Proteção	Eu raramente lapidaria minha Proteção	Eu ocasionalmente lapidaria minha Proteção	Eu às vezes lapidaria minha Proteção	Eu frequentemente lapidaria minha Proteção										
TrainLingZhi	Eu jamais lapidaria meu Intelecto	Eu raramente lapidaria meu Intelecto	Eu ocasionalmente lapidaria meu Intelecto	Eu às vezes lapidaria meu Intelecto	Eu frequentemente lapidaria meu Intelecto										
TrainShuFa	Eu jamais praticaria meus Feitiços	Eu raramente pratico meus Feitiços	Eu ocasionalmente pratico meus Feitiços	Eu às vezes pratico meus Feitiços	Eu frequentemente pratico meus Feitiços						0	1	1	1	1
HelpPlantD	Eu jamais urinaria em um Jardim de Ervas	Eu raramente urino em Jardins de Ervas	Eu ocasionalmente urino em Jardins de Ervas	Eu às vezes urino em Jardins de Ervas	Eu frequentemente urino em Jardins de Ervas										
CarryOuterBodyToDest	Eu jamais moveria os corpos dos Discípulos Externos para uma Área de Estágio	Eu raramente movo os corpos dos Discípulos Externos para uma Área de Estágio	Eu ocasionalmente movo os corpos dos Discípulos Externos para uma Área de Estágio	Eu às vezes movo os corpos dos Discípulos Externos para uma Área de Estágio	Eu frequentemente movo os corpos dos Discípulos Externos para uma Área de Estágio										
CarryInnerBodyToDest	Eu jamais moveria os corpos dos Discípulos Internos para uma Área de Estágio	Eu raramente movo os corpos dos Discípulos Internos para uma Área de Estágio	Eu ocasionalmente movo os corpos dos Discípulos Internos para uma Área de Estágio	Eu às vezes movo os corpos dos Discípulos Internos para uma Área de Estágio	Eu frequentemente movo os corpos dos Discípulos Internos para uma Área de Estágio										
Feed_Item_Dan_Happiness	Eu jamais daria uma Pílula de Euforia para um Discípulo Interno comer	Eu raramente dou Pílulas de Euforia para os Discípulos Internos comerem	Eu ocasionalmente dou Pílulas de Euforia para os Discípulos Internos comerem	Eu às vezes dou uma Pílula de Euforia para um Discípulo Interno comer	Eu frequentemente dou Pílulas de Euforia para os Discípulos Internos comerem										
Feed_Item_Dan_PracticeSpeed	Eu jamais daria uma Pílula de Broto para um Discípulo Interno comer	Eu raramente dou Pílulas de Broto para os Discípulos Internos comerem	Eu ocasionalmente dou Pílulas de Broto para os Discípulos Internos comerem	Eu às vezes dou uma Pílula de Broto para um Discípulo Interno comer	Eu frequentemente dou Pílulas de Broto para os Discípulos Internos comerem										
Feed_Item_Dan_CalmDown	Eu jamais daria uma Pílula de Pureza para um Discípulo Interno comer	Eu raramente dou Pílulas de Pureza para os Discípulos Internos comerem	Eu ocasionalmente dou Pílulas de Pureza para os Discípulos Internos comerem	Eu às vezes dou uma Pílula de Pureza para um Discípulo Interno comer	Eu frequentemente dou Pílulas de Pureza para os Discípulos Internos comerem										
Feed_Item_LingStone	Eu jamais alimentaria uma Pedra Espiritual para um Discípulo Interno	Eu raramente alimento Pedras Espirituais para os Discípulos Internos	Eu ocasionalmente alimento Pedras Espirituais para os Discípulos Internos	Eu às vezes alimento Pedras Espirituais para os Discípulos Internos	Eu frequentemente alimento Pedras Espirituais para os Discípulos Internos										
Feed_Item_LingCrystal	Eu jamais alimentaria um Cristal Espiritual para um Discípulo Interno	Eu raramente alimento Cristais Espirituais para os Discípulos Internos	Eu ocasionalmente alimento Cristais Espirituais para os Discípulos Internos	Eu às vezes alimento Cristais Espirituais para os Discípulos Internos	Eu frequentemente alimento Cristais Espirituais para os Discípulos Internos										
BiteExpel	Eu jamais atacaria mortais	Eu raramente ataco mortais	Eu ocasionalmente ataco mortais	Eu às vezes ataco mortais	Eu frequentemente ataco e mato mortais										
AtkDizzyExpel	Eu jamais atacaria mortais inconscientes	Eu raramente ataco mortais inconscientes	Eu ocasionalmente ataco mortais inconscientes	Eu às vezes ataco mortais inconscientes	Eu frequentemente ataco mortais inconscientes										
CarryMortalToDest	Eu jamais moveria mortais inconscientes para uma Área de Estágio	Eu raramente movo mortais inconscientes para uma Área de Estágio	Eu ocasionalmente movo mortais inconscientes para uma Área de Estágio	Eu às vezes movo mortais inconscientes para uma Área de Estágio	Eu frequentemente movo mortais inconscientes para uma Área de Estágio										
CarryMortalBodyToDest	Eu jamais moveria os corpos dos mortais para uma Área de Estágio	Eu raramente movo os corpos dos mortais para uma Área de Estágio	Eu ocasionalmente movo os corpos dos mortais para uma Área de Estágio	Eu às vezes movo os corpos dos mortais para uma Área de Estágio	Eu frequentemente movo os corpos dos mortais para uma Área de Estágio										
Eat_Item_SnakeGallbladder	Eu jamais comeria Bílis de Cobra, a menos que me fosse servida	Eu ocasionalmente como Bílis de Cobra quando é útil	Eu talvez coma Bílis de Cobra quando é útil	Eu às vezes como Bílis de Cobra quando é útil	Eu frequentemente como Bílis de Cobra quando é útil										
Eat_Item_BearGallbladder	Eu jamais comeria Bílis de Urso, a menos que me fosse servida	Eu ocasionalmente como Bílis de Urso quando é útil	Eu talvez coma Bílis de Urso quando é útil	Eu às vezes como Bílis de Urso quando é útil	Eu frequentemente como Bílis de Urso quando é útil										
Eat_Item_RedGinseng	Eu jamais comeria Ginseng Vermelho, a menos que me fosse servido	Eu ocasionalmente como Ginseng Vermelho quando é útil	Eu talvez coma Ginseng Vermelho quando é útil	Eu às vezes como Ginseng Vermelho quando é útil	Eu frequentemente como Ginseng Vermelho quando é útil										
Eat_Item_PurpleGanodermaLucidum	Eu jamais comeria Ganoderma Roxo, a menos que me fosse servido	Eu ocasionalmente como Ganoderma Roxo quando é útil	Eu talvez coma Ganoderma Roxo quando é útil	Eu às vezes como Ganoderma Roxo quando é útil	Eu frequentemente como Ganoderma Roxo quando é útil										
Eat_Item_TuEssence	Eu jamais comeria Essência Ocre, a menos que me fosse servida	Eu ocasionalmente como Essência Ocre quando é útil	Eu talvez coma Essência Ocre quando é útil	Eu às vezes como Essência Ocre quando é útil	Eu frequentemente como Essência Ocre quando é útil										
Eat_Item_HuoEssence	Eu jamais comeria Fruta Carmesim, a menos que me fosse servida	Eu ocasionalmente como Fruta Carmesim quando é útil	Eu talvez coma Fruta Carmesim quando é útil	Eu às vezes como Fruta Carmesim quando é útil	Eu frequentemente como Fruta Carmesim quando é útil										
Eat_Item_ShuiEssence	Eu jamais comeria Lótus Prisma, a menos que me fosse servido	Eu ocasionalmente como Lótus Prisma quando é útil	Eu talvez coma Lótus Prisma quando é útil	Eu às vezes como Lótus Prisma quando é útil	Eu frequentemente como Lótus Prisma quando é útil										
Eat_Item_JinEssence	Eu jamais comeria Fruta da Sagacidade, a menos que me fosse servida	Eu ocasionalmente como Fruta da Sagacidade quando é útil	Eu talvez coma Fruta da Sagacidade quando é útil	Eu às vezes como Fruta da Sagacidade quando é útil	Eu frequentemente como Fruta da Sagacidade quando é útil										
Eat_Item_MuEssence	Eu jamais comeria uma Videira Nodosa, a menos que me fosse servida	Eu ocasionalmente como Videira Nodosa quando é útil	Eu talvez coma Videira Nodosa quando é útil	Eu às vezes como Videira Nodosa quando é útil	Eu frequentemente como Videira Nodosa quando é útil										
Eat_Item_LifeStream	Eu jamais beberia a Fonte da Vida, a menos que me fosse servida	Eu ocasionalmente bebo a Fonte da Vida quando é útil	Eu talvez beba a Fonte da Vida quando é útil	Eu às vezes bebo a Fonte da Vida quando é útil	Eu frequentemente bebo a Fonte da Vida quando é útil										
Eat_Item_LongEgg	Eu jamais comeria um Ovo de Dragão da Inundação, a menos que me fosse servido	Eu ocasionalmente como Ovos de Dragão da Inundação	Eu talvez coma Ovos de Dragão da Inundação	Eu às vezes como Ovos de Dragão da Inundação	Eu frequentemente como Ovos de Dragão da Inundação										
Eat_Item_FengEgg	Eu jamais comeria um Ovo de Fênix, a menos que me fosse servido	Eu ocasionalmente como Ovos de Fênix	Eu talvez coma Ovos de Fênix	Eu às vezes como Ovos de Fênix	Eu frequentemente como Ovos de Fênix										
Eat_Item_DragonShit	Eu jamais comeria Fezes de Dragão, a menos que me fossem servidas	Eu ocasionalmente como Fezes de Dragão	Eu talvez coma Fezes de Dragão	Eu às vezes como Fezes de Dragão	Eu frequentemente como Fezes de Dragão										
Eat_Item_Jiaozi	Eu jamais comeria Bolinhos, a menos que me fossem servidos	Eu ocasionalmente como Bolinhos	Eu talvez coma Bolinhos	Eu às vezes como Bolinhos	Eu frequentemente como Bolinhos										
Eat_Item_BossFeng_Meat	Eu jamais comeria Carne de Fênix, a menos que me fosse servida	Eu ocasionalmente como Carne de Fênix	Eu talvez coma Carne de Fênix	Eu às vezes como Carne de Fênix	Eu frequentemente como Carne de Fênix										
Eat_Item_BossLong_Meat	Eu jamais comeria Carne de Dragão, a menos que me fosse servida	Eu ocasionalmente como Carne de Dragão	Eu talvez coma Carne de Dragão	Eu às vezes como Carne de Dragão	Eu frequentemente como Carne de Dragão										
Eat_Item_BossZhuLong_Meat	Eu jamais comeria Carne Primordial, a menos que me fosse servida	Eu ocasionalmente como Carne Primordial	Eu talvez coma Carne Primordial	Eu às vezes como Carne Primordial	Eu frequentemente como Carne Primordial										
Eat_Item_Cake	Eu jamais comeria Pão, a menos que me fosse servido	Eu ocasionalmente como Pão	Eu talvez coma Pão	Eu às vezes como Pão	Eu frequentemente como Pão										
Eat_Item_MonsterBlood	Eu jamais comeria Sangue de Besta, a menos que me fosse servido	Eu ocasionalmente como Sangue de Besta quando é útil	Eu talvez coma Sangue de Besta quando é útil	Eu às vezes como Sangue de Besta quando é útil	Eu frequentemente como Sangue de Besta quando é útil										
Eat_Item_EarthEssence	Eu jamais beberia Fluxo da Terra, a menos que me fosse servido	Eu ocasionalmente bebo Fluxo da Terra quando é útil	Eu talvez beba Fluxo da Terra quando é útil	Eu às vezes bebo Fluxo da Terra quando é útil	Eu frequentemente bebo Fluxo da Terra quando é útil										
Eat_Item_SilverGrit	Eu jamais comeria Pó de Cristal de Gelo, a menos que me fosse servido	Eu ocasionalmente como Pó de Cristal de Gelo quando é útil	Eu talvez coma Pó de Cristal de Gelo quando é útil	Eu às vezes como Pó de Cristal de Gelo quando é útil	Eu frequentemente como Pó de Cristal de Gelo quando é útil										
Eat_Item_CopperGrit	Eu jamais comeria Pó de Igneocobre, a menos que me fosse servido	Eu ocasionalmente como Pó de Igneocobre quando é útil	Eu talvez coma Pó de Igneocobre quando é útil	Eu às vezes como Pó de Igneocobre quando é útil	Eu frequentemente como Pó de Igneocobre quando é útil										
Eat_Item_Cinnabar	Eu jamais comeria Cinnábar, a menos que me fosse servido	Eu ocasionalmente como Cinnábar quando é útil	Eu talvez coma Cinnábar quando é útil	Eu às vezes como Cinnábar quando é útil	Eu frequentemente como Cinnábar quando é útil										
Eat_Item_LingMuXueJie	Eu jamais comeria Essência de Resina, a menos que me fosse servida	Eu ocasionalmente como Essência de Resina quando é útil	Eu talvez coma Essência de Resina quando é útil	Eu às vezes como Essência de Resina quando é útil	Eu frequentemente como Essência de Resina quando é útil										
Eat_Item_EarthEssence_1	Eu jamais comeria Essência Sagrada, a menos que me fosse servida	Eu ocasionalmente como Essência Sagrada quando é útil	Eu talvez coma Essência Sagrada quando é útil	Eu às vezes como Essência Sagrada quando é útil	Eu frequentemente como Essência Sagrada quando é útil										
Eat_Item_EarthEssence1_1	Eu jamais comeria Essência Maligna, a menos que me fosse servida	Eu ocasionalmente como Essência Maligna quando é útil	Eu talvez coma Essência Maligna quando é útil	Eu às vezes como Essência Maligna quando é útil	Eu frequentemente como Essência Maligna quando é útil										
Eat_Item_Healroot	Eu jamais comeria Ervas Curativas, a menos que me fossem servidas	Eu ocasionalmente como Erva Curativa quando é útil	Eu talvez coma Erva Curativa quando é útil	Eu às vezes como Erva Curativa quando é útil	Eu frequentemente como Erva Curativa quando é útil										
Eat_Item_Mint	Eu jamais comeria uma Folha de Pureza, a menos que me fosse servida	Eu ocasionalmente como Folha de Pureza quando é útil	Eu talvez coma Folha de Pureza quando é útil	Eu às vezes como Folha de Pureza quando é útil	Eu frequentemente como Folha de Pureza quando é útil										
Eat_Item_MagicHerb	Eu jamais comeria uma Folha Espiritual, a menos que me fosse servida	Eu ocasionalmente como Folha Espiritual quando é útil	Eu talvez coma Folha Espiritual quando é útil	Eu às vezes como Folha Espiritual quando é útil	Eu frequentemente como Folha Espiritual quando é útil										
Eat_Item_Laxative	Eu jamais comeria Laxante, a menos que me fosse servido	Eu ocasionalmente como Laxante quando é útil	Eu talvez coma Laxante quando é útil	Eu às vezes como Laxante quando é útil	Eu frequentemente como Laxante quando é útil										
ESkill	Eu não tomaria a iniciativa de usar feitiços nos Inimigos	Eu usarei Habilidades no Inimigo com o Qi mais baixo	Eu usarei Habilidades no Inimigo com a menor porcentagem de Qi	Eu usarei Habilidades no Inimigo com o Qi mais alto	Eu usarei Habilidades em um Inimigo aleatório										
FSkill	Eu não tomaria a iniciativa de usar feitiços nos Aliados	Eu usarei Habilidades no Aliado com o Qi mais baixo	Eu usarei Habilidades no Aliado com a menor porcentagem de Qi	Eu usarei Habilidades no Aliado com o Qi mais alto	Eu usarei Habilidades em um Aliado aleatório										
Eat_Item_Bamboo	Eu jamais comeria bambus, a menos que me fossem servidos.	Eu ocasionalmente como bambus.	Eu talvez coma bambus.	Eu às vezes como bambus.	Eu frequentemente como bambus.										
Eat_Item_BambooShoot	Eu jamais comeria brotos de bambu, a menos que me fossem servidos.	Eu ocasionalmente como brotos de bambu.	Eu talvez coma brotos de bambu.	Eu às vezes como brotos de bambu.	Eu frequentemente como brotos de bambu.										
Eat_Item_WuDang_HuangJingFen	Eu jamais comeria um Pó de Essência do Solo, a menos que me fosse servido	Eu ocasionalmente como Pó de Essência do Solo quando é útil	Eu talvez coma Pó de Essência do Solo quando é útil	Eu às vezes como Pó de Essência do Solo quando é útil	Eu frequentemente como Pó de Essência do Solo quando é útil										
Eat_Item_Dan_WuQiNoHunger2	Eu jamais comeria uma Pílula de Jejum de Qi, a menos que me fosse servida	Eu ocasionalmente como Pílula de Jejum de Qi quando é útil	Eu talvez coma Pílula de Jejum de Qi quando é útil	Eu às vezes como Pílula de Jejum de Qi quando é útil	Eu frequentemente como Pílula de Jejum de Qi quando é útil										
Eat_Item_Dan_SanHuaHuangJing	Eu jamais comeria uma Pílula de Essência Trimerosa, a menos que me fosse servida	Eu ocasionalmente como Pílula de Essência Trimerosa quando é útil	Eu talvez coma Pílula de Essência Trimerosa quando é útil	Eu às vezes como Pílula de Essência Trimerosa quando é útil	Eu frequentemente como Pílula de Essência Trimerosa quando é útil										
