talk	notarget	thing	int
DoTalkEatPear		Eu estou atualmente comendo {0}	
DoTalkEatMeat		Eu estou atualmente comendo {0}	
DoTalkEatCook		Eu estou atualmente comendo {0}	
DoTalkEat		Eu estou atualmente apreciando {0}	
DoTalkBiteBuilding		Estou rangendo os dentes com {0}	
DoTalkBiteClothes		Eu estou atualmente atacando {0}	
DoTalkBiteOuter		Eu estou atualmente atacando {0}	
DoTalkBiteInner		Estou mordendo visitante {0}	
DoTalkBiteVisitor		Estou mordendo convidado {0}	
DoTalkBiteIncoming		Estou mordendo {0}	
DoTalkBiteBuildingEx		Estou impiedosamente mordendo {0}	
DoTalkBiteClothesEx		Estou tentando mastigar {0}	
DoTalkBiteOuterEx		Estou mordendo {0} com toda a força que posso	
DoTalkBiteInnerEx		Estou mordendo {0} com toda a força que posso	
DoTalkBiteVisitorEx		Estou mordendo Visitante {0} com toda a força que posso	
DoTalkBiteIncomingEx		Estou mordendo convidado {0} com toda a força que posso	
DoTalkAtkEnemy		Estou atualmente atacando {0}!	
DoTalkShitAtShitPlace		Estou usando o banheiro	
DoTalkShitAtPlants		Estou defecando ao lado de {0}	
DoTalkShitAtDogHouse		Estou defecando ao lado da minha cama	
DoTalkShitAtStorage		Estou defecando em um Depósito	
DoTalkShitOnBed		Estou defecando em uma Cama	
DoTalkShitInFarm		Estou defecando em um Campo	
DoTalkCarryOuterToBed		Estou movendo {0} inconscientes para uma Cama	
DoTalkCarryVisitorToDest		Estou atualmente movendo visitante inconsciente {0} para uma Área de Estágio	
DoTalkCarryEnemyToDest		Estou atualmente movendo inimigo inconsciente {0} para uma Área de Estágio	
DoTalkCarryIncomingToDest		Estou atualmente movendo convidado inconsciente {0} para uma Área de Estágio	
DoTalkCarryEnemyBodyToDest		Estou atualmente movendo o cadáver de {0}'s para uma Área de Estágio	
DoTalkCarryVisitorBodyToDest		Estou atualmente movendo o cadáver de {0}'s para uma Área de Estágio	
DoTalkCarryIncomingBodyToDest		Estou atualmente movendo o cadáver de {0}'s para uma Área de Estágio	
DoTalkHelpCarry		Estou ajudando a organizar itens	
DoTalkHelpTimber		Estou ajudando a derrubar árvores	
DoTalkHelpMine		Estou ajudando a minerar	
DoTalkHelpFind		Estou furtando itens	
DoTalkHelpKill		Estou abatendo animais	
DoTalkHelpPlant		Estou fertilizando plantas	
DoTalkCureFreeze		Estou curando o congelamento de {0}	
DoTalkCureHot		Estou curando o golpe de calor de {0}	
DoTalkHelpCook		Estou ajudando a cozinhar	
DoTalkHeatEndure		Estou ajudando a aumentar a Resistência ao Calor	
DoTalkColdEndure		Estou ajudando a aumentar a Resistência ao Frio		
DoTalkHelpPlay		Estou me divertindo com {0}	
DoTalkPlayToy		Estou brincando com {0}	
DoTalkPlaySelf		Estou me divertindo sozinho	
DoTalkTrainQiGan	Estou praticando habilidades baseadas em Qi		
DoTalkTrainNeiDan	Estou praticando Core		
DoTalkTrainHuTi	Estou praticando habilidades baseadas em Proteção		
DoTalkTrainLingZhi	Estou praticando habilidades baseadas em Intelecto		
DoTalkTrainShuFa	Estou praticando habilidades baseadas em Feitiços		
DoTalkFollow			
DoTalkLay			
DoTalkWander			
CantEatShit	Eu não tenho fezes para comer		
CantEatEssence	Não há material raro para eu comer		
CantEatDrug	Não há Elixir para eu tomar		
CantEatWheat	Não há Trigo para eu comer		
CantEatDryMeat	Não há Carne Seca para eu comer		
CantEatPear	Não há Peras para eu comer		
CantEatMeat	Não há Carne Crua para eu comer		
CantEatCook	Não há Carne Cozida para eu comer		
CantBiteBuilding	Não há edifícios para eu morder		
CantBiteClothes	Não há roupas para eu morder		
CantBiteOuter	Não há Discípulos Externos para eu morder		
CantBiteInner	Não há Discípulos Internos para eu morder		
CantBiteVisitor	Não há visitantes para eu morder		
CantBiteIncoming	Não há mortais para eu morder		
CantAtkEnemy	Não há inimigos para eu atacar		
CantShitAtShitPlace	Não há banheiros para usar		
CantShitAtPlants	Não há plantas para eu defecar sobre		
CantShitAtDogHouse	Não há ninhos para eu defecar		
CantShitAtStorage	Não há Depósitos para eu defecar em		
CantShitOnBed	Não há Camas para eu defecar em		
CantShitInFarm	Não há Campos para eu defecar em		
CantCarryOuterToBed	Não há Discípulos para eu mover para uma Cama		
CantCarryVisitorToDest	Não há visitantes para eu mover para uma Área de Estágio		
CantCarryEnemyToDest	Não há inimigos para eu mover para uma Área de Estágio		
CantCarryIncomingToDest	Não há mortais para eu mover para uma Área de Estágio		
CantCarryEnemyBodyToDest	Não há cadáveres de inimigos para eu mover para uma Área de Estágio		
CantCarryVisitorBodyToDest	Não há cadáveres de visitantes que possam ser movidos para uma Área de Estágio		
CantCarryIncomingBodyToDest	Não há cadáveres de visitantes que possam ser movidos para uma Área de Estágio		
CantHelpCarry	Não há itens para eu ajudar a organizar		
CantHelpTimber	Não há árvores para eu ajudar a derrubar		
CantHelpMine	Não há minas para eu ajudar a minerar		
CantHelpFind	Não há ninguém para eu furtar		
CantHelpKill	Não há inimigos para eu abater		
CantHelpPlant	Não há culturas para eu regar		
CantCureFreeze	Não há ninguém com congelamento para eu curar		
CantCureHot	Não há ninguém com golpe de calor para eu curar		
CantHelpCook	Eu ainda não estou pronto para ajudar a cozinhar		
CantHeatEndure	Eu ainda não estou pronto para aumentar a Resistência ao Calor		
CantColdEndure	Eu ainda não estou pronto para aumentar a Resistência ao Frio		
CantHelpPlay	Não há Discípulos para eu brincar		
CantPlayToy	Não há brinquedos para eu brincar		
NoParam2CarryVisitorToDest		Não encontrei uma Área de Estágio para a qual o visitante {0} pudesse ser movido	
NoParam2CarryEnemyToDest		Não encontrei uma Área de Estágio para a qual o inimigo {0} pudesse ser movido	
NoParam2CarryIncomingToDest		Não encontrei uma Área de Estágio para a qual o mortal {0} pudesse ser movido	
NoParam2CarryEnemyBodyToDest		Não encontrei uma Área de Estágio para a qual o cadáver do inimigo {0} pudesse ser movido	
NoParam2CarryVisitorBodyToDest		Não encontrei uma Área de Estágio para a qual o cadáver do visitante {0} pudesse ser movido	
NoParam2CarryIncomingBodyToDest		Não encontrei uma Área de Estágio para a qual o cadáver do mortal {0} pudesse ser movido	
NoParam2HelpCarry	Eu ainda não estou pronto para ajudar a mover nada		
NoParam2HelpTimber	Eu ainda não estou pronto para ajudar a derrubar árvores		
NoParam2HelpMine	Eu ainda não estou pronto para ajudar a minerar		
NoParam2HelpPlant	Eu ainda não estou pronto para ajudar a espalhar fertilizante		
NoParam2CureFreeze	Eu ainda não estou pronto para curar o congelamento		
NoParam2CureHot	Eu ainda não estou pronto para curar o golpe de calor		
NoParam2HelpCook	Eu ainda não estou pronto para ajudar a cozinhar		
DrinkTalk1	Eu quero beber um pouco de água		
DrinkTalk2	Estou com sede		
DrinkTalk3	Eu estou bebendo água		
NotAtkDizzyOuter	Eu não atacaria Discípulos Internos inconscientes		
NotAtkDizzyInner	Eu não atacaria Discípulos Internos inconscientes		
NotAtkDizzyComing	Eu não atacaria um mortal inconsciente		
NotAtkDizzyVisitor	Eu não atacaria um visitante inconsciente		
NoTongXie	Não consigo encontrar nenhum laxante		
WannaAtkDizzyOuter		Quero acabar com o sofrimento do Discípulo Externo {0}	
WannaAtkDizzyInner		Quero acabar com o sofrimento do Discípulo Interno {0}	
WannaAtkDizzyComing		O convidado inconsciente {0} tem uma costura estourada, felizmente estou aqui	
WannaAtkDizzyVisitor		O visitante inconsciente {0} parece estar com dor, gostaria de fazer algo a respeito	
DoTalkAtkDizzyOuter		Estou atualmente atacando o Discípulo Externo inconsciente {0}	
DoTalkAtkDizzyInner		Estou atualmente atacando o Discípulo Interno inconsciente {0}	
DoTalkAtkDizzyComing		Estou atualmente atacando o mortal inconsciente {0}	
DoTalkAtkDizzyVisitor		Estou atualmente atacando o visitante inconsciente {0}	
CantAtkDizzyOuter	Não há Discípulos Externos inconscientes que eu possa atacar		
CantAtkDizzyInner	Não há Discípulos Internos inconscientes que eu possa atacar		
CantAtkDizzyComing	Não há mortais inconscientes que eu possa atacar		
CantAtkDizzyVisitor	Não há visitantes inconscientes que eu possa atacar		
NotFeedTongXie	Eu não daria laxante para os Discípulos Externos comerem		
NotCureInner	Eu não consigo curar as feridas dos Discípulos Internos		
WannaFeedTongXie	Eu quero dar um laxante para os Discípulos Externos comerem	Eu quero dar um laxante para o Discípulo Externo {0} comer	
WannaCureInner	Eu não consigo curar as feridas dos Discípulos Internos	Eu quero curar as feridas do Discípulo Interno {0}	
DoTalkFeedTongXie		Estou dando laxante para o Discípulo Externo {0} comer	
DoTalkCureInner		Estou curando as feridas do Discípulo Interno {0}	
CantFeedTongXie	Não há Discípulos Externos para os quais eu possa dar laxante		
CantCureInner	Não há Discípulos Internos para eu curar		
NoParam2FeedTongXie		Gostaria de dar laxante para o Discípulo Externo {0} comer, mas não tenho nenhum	
NoParam2CureInner		Quero curar as feridas do Discípulo Interno {0}, mas não é o momento	
NotHelpPlantD	Eu não urinaria em um Jardim de Ervas		
WannaHelpPlantD	Eu quero ajudar a regar um Jardim de Ervas		
DoTalkHelpPlantD	Estou ajudando a regar um Jardim de Ervas		
CantHelpPlantD	Não há como eu ajudar a regar Jardins de Ervas		
NoParam2HelpPlantD	Ainda não estou pronto para regar		
NotCarryOuterBodyToDest	Eu não vou mover os cadáveres dos Discípulos Externos para uma Área de Estágio		
NotCarryInnerBodyToDest	Eu não vou mover os cadáveres dos Discípulos Internos para uma Área de Estágio		
WannaCarryOuterBodyToDest	Eu quero mover os cadáveres dos Discípulos Externos para uma Área de Estágio		
WannaCarryInnerBodyToDest	Eu quero mover os cadáveres dos Discípulos Internos para uma Área de Estágio		
DoTalkCarryOuterBodyToDest	Estou atualmente movendo o cadáver do Discípulo Externo {0} para uma Área de Estágio		
DoTalkCarryInnerBodyToDest	Estou atualmente movendo o cadáver do Discípulo Interno {0} para uma Área de Estágio		
CantCarryOuterBodyToDest	Não há como eu mover os cadáveres dos Discípulos Externos para uma Área de Estágio		
CantCarryInnerBodyToDest	Não há como eu mover os cadáveres dos Discípulos Internos para uma Área de Estágio		
Sleep1	Eu quero dormir		
Sleep2	Eu mal consigo manter os olhos abertos		
Sleep3	Eu posso ouvir o chamado do mundo dos sonhos		
Wonder1	Olhe ao redor		
Wonder2	Olhe a paisagem		
Wonder3	Saindo para um passeio!		
Lay1	Aproveite a brisa		
Lay2	Hora de descansar		
Lay3	Eu não quero me mover		
Follow1	Veja o que essa pessoa está fazendo		
Follow2	Essa pessoa tem um cheiro estranho		
Follow3	Essa pessoa chamou minha atenção		
Eat1	Estou morrendo de fome		
Eat2	Estou com tanta fome que não consigo dar outro passo		
Eat3	Hora de comer		
NotFeed_Item_Dan_Happiness	Eu ocasionalmente dou Pílulas de Euforia para os Discípulos Internos tomarem		
NotFeed_Item_Dan_PracticeSpeed	Eu não daria Pílulas de Broto para os Discípulos Internos tomarem		
NotFeed_Item_Dan_CalmDown	Eu não daria Pílulas de Pureza para os Discípulos Internos tomarem		
NotFeed_Item_LingStone	Eu não daria Pedras Espirituais para os Discípulos Internos tomarem		
NotFeed_Item_LingCrystal	Eu não daria Cristais Espirituais para os Discípulos Internos tomarem		
WannaFeed_Item_Dan_Happiness	Eu quero dar Pílulas de Euforia para os Discípulos Internos tomarem		
WannaFeed_Item_Dan_PracticeSpeed	Eu quero dar Pílulas de Broto para os Discípulos Internos tomarem		
WannaFeed_Item_Dan_CalmDown	Eu quero dar Pílulas de Pureza para os Discípulos Internos tomarem		
WannaFeed_Item_LingStone	Eu quero dar Pedras Espirituais para os Discípulos Internos tomarem		
WannaFeed_Item_LingCrystal	Eu quero dar Cristais Espirituais para os Discípulos Internos tomarem		
DoTalkFeed_Item_Dan_Happiness	Eu estou dando Pílulas de Euforia para os Discípulos Internos tomarem		
DoTalkFeed_Item_Dan_PracticeSpeed	Eu estou dando Pílulas de Broto para os Discípulos Internos tomarem		
DoTalkFeed_Item_Dan_CalmDown	Eu estou dando Pílulas de Pureza para os Discípulos Internos tomarem		
DoTalkFeed_Item_LingStone	Eu estou dando Pedras Espirituais para os Discípulos Internos tomarem		
DoTalkFeed_Item_LingCrystal	Eu estou dando Cristais Espirituais para os Discípulos Internos tomarem		
CantFeed_Item_Dan_Happiness	Não tem como eu dar Pílulas de Euforia para os Discípulos Internos tomarem		
CantFeed_Item_Dan_PracticeSpeed	Não tem como eu dar Pílulas de Broto para os Discípulos Internos tomarem		
CantFeed_Item_Dan_CalmDown	Não tem como eu dar Pílulas de Pureza para os Discípulos Internos tomarem		
CantFeed_Item_LingStone	Não tem como eu dar Pedras Espirituais para os Discípulos Internos tomarem		
CantFeed_Item_LingCrystal	Não tem como eu dar Cristais Espirituais para os Discípulos Internos tomarem		
NoParam2Feed_Item_Dan_Happiness	Eu não consigo encontrar nenhuma Pílula de Euforia		
NoParam2Feed_Item_Dan_PracticeSpeed	Eu não consigo encontrar nenhuma Pílula de Broto		
NoParam2Feed_Item_Dan_CalmDown	Eu não consigo encontrar nenhuma Pílula de Pureza		
NoParam2Feed_Item_LingStone	Eu não consigo encontrar nenhuma Pedra Espiritual		
NoParam2Feed_Item_LingCrystal	Eu não consigo encontrar nenhum Cristal Espiritual		
QiGanResult_Low	A habilidade de Qi aumentou um pouco		
NeiDanResult_Low	O Núcleo aumentou um pouco		
HuTiResult_Low	A habilidade de Proteção aumentou um pouco		
LingZhiResult_Low	A habilidade de Inteligência aumentou um pouco		
ShuFaResult_Low	A habilidade de Conjuração aumentou um pouco		
QiGanResult_Mid	A habilidade de Qi aumentou consideravelmente		
NeiDanResult_Mid	O Núcleo aumentou consideravelmente		
HuTiResult_Mid	A habilidade de Proteção aumentou consideravelmente		
LingZhiResult_Mid	A habilidade de Inteligência aumentou consideravelmente		
ShuFaResult_Mid	A habilidade de Conjuração aumentou consideravelmente		
QiGanResult_High	A habilidade de Qi aumentou significativamente		
NeiDanResult_High	O Núcleo Interno aumentou significativamente		
HuTiResult_High	A habilidade de Proteção aumentou significativamente		
LingZhiResult_High	A habilidade de Inteligência aumentou significativamente		
ShuFaResult_High	A habilidade de Conjuração aumentou significativamente		
NotBiteExpel	Eu não posso morder mortais que eu não conheço		
WannaBiteExpel		Eu quero morder o mortal desconhecido {0}!	
DoTalkBiteExpel		Eu estou mordendo o mortal desconhecido {0}	
CantBiteExpel	Não tem como eu morder mortais que eu não conheço!		
NotCarryMortalToDest	Eu não vou mover mortais inconscientes para uma Área de Estágio		
NotCarryMortalBodyToDest	Eu não vou mover os corpos dos mortais para uma Área de Estágio		
WannaCarryMortalToDest		O mortal {0} desmaiou, eu quero movê-lo	
WannaCarryMortalBodyToDest		O mortal {0} morreu, eu quero movê-lo	
DoTalkCarryMortalToDest		Eu estou movendo o mortal inconsciente {0} para uma Área de Estágio	
DoTalkCarryMortalBodyToDest		Eu estou movendo o corpo do mortal {0} para uma Área de Estágio	
CantCarryMortalToDest	Não tem como eu mover mortais inconscientes para uma Área de Estágio		
CantCarryMortalBodyToDest	Não tem como eu mover os corpos dos mortais para uma Área de Estágio		
Nothing	Nada aconteceu		
No_NutritionQiGan	Não há nutrição para Qi, não adianta praticar		
No_NutritionNeiDan	Não há nutrição para o Núcleo Interno, não adianta praticar		
No_NutritionHuTi	Não há nutrição para Proteção, não adianta praticar		
No_NutritionLingZhi	Não há nutrição para Inteligência, não adianta praticar		
No_NutritionShufa	Não há nutrição para Conjuração, não adianta praticar		
WannaEat		De acordo com meu plano alimentar, decidi comer algo	
WannaTrainShuFa	Eu quero praticar habilidades baseadas em Conjuração		
WannaTrainLingZhi	Eu quero praticar habilidades baseadas em Inteligência		
WannaTrainHuTi	Eu quero praticar habilidades baseadas em Proteção		
WannaTrainNeiDan	Eu quero praticar o Núcleo Interno		
WannaTrainQiGan	Eu quero praticar habilidades baseadas em Qi		
NothingToEat	Não há nada para comer! Eu estou morrendo de fome		
NotEat_Item_SnakeGallbladder	Eu não comeria Vesícula Biliar de Cobra		
NotEat_Item_BearGallbladder	Eu não comeria Vesícula Biliar de Urso		
NotEat_Item_RedGinseng	Eu não comeria Ginseng Vermelho		
NotEat_Item_PurpleGanodermaLucidum	Eu não comeria Ganoderma Púrpura		
NotEat_Item_TuEssence	Eu não comeria Essência de Ocre		
NotEat_Item_HuoEssence	Eu não comeria Fruto Carmesim		
NotEat_Item_ShuiEssence	Eu não comeria Lótus Prismático		
NotEat_Item_JinEssence	Eu não comeria Fruto da Sagacidade		
NotEat_Item_MuEssence	Eu não comeria Videira Retorcida		
NotEat_Item_LifeStream	Eu não beberia Fonte da Vida		
NotEat_Item_LongEgg	Eu não comeria Ovos de Dragão das Inundações		
NotEat_Item_FengEgg	Eu não comeria Ovos de Fênix		
NotEat_Item_DragonShit	Eu não comeria Fezes de Dragão		
NotEat_Item_Jiaozi	Eu não comeria Jiaozi		
NotEat_Item_BossFeng_Meat	Eu não comeria Carne de Fênix		
NotEat_Item_BossLong_Meat	Eu não comeria Carne de Dragão		
NotEat_Item_BossZhuLong_Meat	Eu não comeria Carne Primordial		
NotEat_Item_Cake	Eu não comeria Pão		
NotEat_Item_MonsterBlood	Eu não comeria Sangue de Monstro		
NotEat_Item_EarthEssence	Eu não beberia Fluxo da Terra		
NotEat_Item_SilverGrit	Eu não comeria Pó de Cristal de Gelo		
NotEat_Item_CopperGrit	Eu não comeria Pó de Cobre Igniógeno		
NotEat_Item_Cinnabar	Eu não comeria Cinnabar		
NotEat_Item_LingMuXueJie	Eu não comeria Essência de Resina		
NotEat_Item_EarthEssence_1	Eu não comeria Essência Sagrada		
NotEat_Item_EarthEssence1_1	Eu não comeria Essência Maléfica		
NotEat_Item_Healroot	Eu não comeria Erva Curativa		
NotEat_Item_Mint	Eu não comeria Folha de Pureza		
NotEat_Item_MagicHerb	Eu não comeria Folha Espiritual		
NotEat_Item_Laxative	Eu não comeria Laxante		
WannaEat_Item_SnakeGallbladder		Eu realmente quero comer Vesícula Biliar de Cobra	
WannaEat_Item_BearGallbladder		Eu realmente quero comer Vesícula Biliar de Urso	
WannaEat_Item_RedGinseng		Eu realmente quero comer Ginseng Vermelho	
WannaEat_Item_PurpleGanodermaLucidum		Eu realmente quero comer Ganoderma Púrpura	
WannaEat_Item_TuEssence		Eu realmente quero comer Essência de Ocre	
WannaEat_Item_HuoEssence		Eu realmente quero comer Fruto Carmesim	
WannaEat_Item_ShuiEssence		Eu realmente quero comer Lótus Prismático	
WannaEat_Item_JinEssence		Eu realmente quero comer Fruto da Sagacidade	
WannaEat_Item_MuEssence		Eu realmente quero comer Videira Retorcida	
WannaEat_Item_LifeStream		Eu realmente quero beber Fonte da Vida	
WannaEat_Item_LongEgg		Eu realmente quero comer Ovos de Dragão das Inundações	
WannaEat_Item_FengEgg		Eu realmente quero comer Ovos de Fênix	
WannaEat_Item_DragonShit		Eu realmente quero comer Fezes de Dragão	
WannaEat_Item_Jiaozi		Eu realmente quero comer Jiaozi	
WannaEat_Item_BossFeng_Meat		Eu realmente quero comer Carne de Fênix	
WannaEat_Item_BossLong_Meat		Eu realmente quero comer Carne de Dragão	
WannaEat_Item_BossZhuLong_Meat		Eu realmente quero comer Carne Primordial	
WannaEat_Item_Cake		Eu realmente quero comer Pão	
WannaEat_Item_MonsterBlood		Eu realmente quero comer Sangue de Monstro	
WannaEat_Item_EarthEssence		Eu realmente quero beber Fluxo da Terra	
WannaEat_Item_SilverGrit		Eu realmente quero comer Pó de Cristal de Gelo	
WannaEat_Item_CopperGrit		Eu realmente quero comer Pó de Cobre Igniógeno	
WannaEat_Item_Cinnabar		Eu realmente quero comer Cinnabar	
WannaEat_Item_LingMuXueJie		Eu realmente quero comer Essência de Resina	
WannaEat_Item_EarthEssence_1		Eu realmente quero comer Essência Sagrada	
WannaEat_Item_EarthEssence1_1		Eu realmente quero comer Essência Maléfica	
WannaEat_Item_Healroot		Eu realmente quero comer Erva Curativa	
WannaEat_Item_Mint		Eu realmente quero comer Folha de Pureza	
WannaEat_Item_MagicHerb		Eu realmente quero comer Folha Espiritual	
WannaEat_Item_Laxative		Eu realmente quero comer Laxante	
DoTalkEat_Item_SnakeGallbladder		Eu estou comendo Vesícula Biliar de Cobra	
DoTalkEat_Item_BearGallbladder		Eu estou comendo Vesícula Biliar de Urso	
DoTalkEat_Item_RedGinseng		Eu estou comendo Ginseng Vermelho	
DoTalkEat_Item_PurpleGanodermaLucidum		Eu estou comendo Ganoderma Púrpura	
DoTalkEat_Item_TuEssence		Eu estou comendo Essência de Ocre	
DoTalkEat_Item_HuoEssence		Eu estou comendo Fruto Carmesim	
DoTalkEat_Item_ShuiEssence		Eu estou comendo Lótus Prismático	
DoTalkEat_Item_JinEssence		Eu estou comendo Fruto da Sagacidade	
DoTalkEat_Item_MuEssence		Eu estou comendo Videira Retorcida	
DoTalkEat_Item_LifeStream		Eu estou bebendo Fonte da Vida	
DoTalkEat_Item_LongEgg		Eu estou comendo Ovos de Dragão das Inundações	
DoTalkEat_Item_FengEgg		Eu estou comendo Ovos de Fênix	
DoTalkEat_Item_DragonShit		Eu estou comendo Fezes de Dragão	
DoTalkEat_Item_Jiaozi		Eu estou comendo Jiaozi	
DoTalkEat_Item_BossFeng_Meat		Eu estou comendo Carne de Fênix	
DoTalkEat_Item_BossLong_Meat		Eu estou comendo Carne de Dragão	
DoTalkEat_Item_BossZhuLong_Meat		Eu estou comendo Carne Primordial	
DoTalkEat_Item_Cake		Eu estou comendo Pão	
DoTalkEat_Item_MonsterBlood		Eu estou comendo Sangue de Monstro	
