Key	Value
[NAME]选择无视对面，可[SCHOOL]的几名弟子却相视一眼，大喊一声魔头受死，就祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] chose to ignore the opposing side, but some of the disciples of [SCHOOL] glanced at each other, yelled, drew their artifacts, and launched a ferocious attack on [NAME].
[SCHOOL]的长老见到[NAME]，只得按照规矩行礼拜见，而后离去。	[SCHOOL]'s Elder saw [NAME] and greeted them reluctantly.
[NAME]上前同[SCHOOL]的长老打了声招呼，两人结伴同游[SCHOOL]附近的几处胜地，品风论道，畅谈许久。临分别时，[SCHOOL]的这名长老送你一个自己炼制的小法宝作为纪念。	[NAME] stepped forward and greeted , the elder of [SCHOOL]. The two travelled around together to the scenic spots around the [SCHOOL] and had a nice, long chat. When it was time to part ways, the elder of [SCHOOL] presented [ENHIM] with an artifact that he had forged on [ITS] own as a keepsake.
[NAME]上前恭敬的拜见了[SCHOOL]的长老，长老很开心的同[NAME]聊了两句，并指点了他几句修行法诀。	[NAME] stepped forward and respectfully greeted the elder of [SCHOOL]. The elder was quite glad to have had the time to chat with [NAME] and passed along some advice on how to build one's character.
[NAME]和[SCHOOL]的长老打了声招呼，大家聊了两句，[SCHOOL]的长老说有事在身，匆匆离去了。	[NAME] and the elder of [SCHOOL] said hello and everyone had a nice chat. The elder said that [HE] had matters to attend to and made off hastily.
[NAME]向这名[SCHOOL]的长老打了个招呼，对方看了[NAME]一眼，微不可察的点了点头。	[NAME] greeted the elder of [SCHOOL]. The elder looked [NAME] over and nodded in acknowledgement.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，重创了对方。	[NAME] greeted the elder of [SCHOOL] with a grin and surreptitiously struck a lethal blow, dealing a heavy blow to the opposing side.
[SCHOOL]的长老不敢置信的看着[NAME]，奋起反击，但最终还是被[NAME]接二连三的狠招夺去了性命。	The elder of [SCHOOL] looked at [NAME] in disbelief before striking back. In the end though [ITS] life was taken by [NAME] in a series of blows.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，[SCHOOL]的长老在最后关头察觉到了这次偷袭，险之又险的躲过了这招并发起凌厉的反击。	[NAME] greeted the elder of [SCHOOL] with a grin and surreptitiously struck a lethal blow, yet the elder was able to sense the surprise attack at the last moment. [HE] narrowly escapes and then struck back with a blow of [ITS] own.
[NAME]偷袭失败，心神一乱，被长老的绝招命中。最后使尽浑身解数，侥幸脱身。	[NAME]'s sneak attack was a failure. [IT] was caught off guard, and was struck by the elder's unique skill. In the end, [IT] made every effort [IT] could and was able to escape with [ITS] life as luck would have it.
[SCHOOL]的长老不敢置信的看着[NAME]，刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	The elder of [SCHOOL] looked at [NAME] in disbelief and prepared to flee, yet in the end [ITS] life was taken by [NAME] in a series of blows.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，直接重创了对方。	[NAME] was short on words, the advantage goes to the one that strikes first though, so [IT] greeted the elder of [SCHOOL] with a vicious fist that hit him like a ton of bricks.
[SCHOOL]的长老猝不及防，慌忙刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	The elder of [SCHOOL] was caught off guard, [HE] was hurriedly making preparations to flee when [NAME] took [ITS] life in a flurry of blows.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，[SCHOOL]的长老临危不乱，险之又险的躲过了这招并发起凌厉的反击。	[NAME] was short on words, the advantage goes to the one that strikes first though, so [IT] greeted the elder of [SCHOOL] with a raised fist, but the elder was calm and collected in the face of danger, so [HE] was able to narrowly escape and then struck back with a blow of [ITS] own.
[SCHOOL]的长老看[NAME]装作没看到自己，对你的无礼略感不满。	The elder of [SCHOOL] saw [NAME] pretend not to notice him, felt it rude, and was discontented as a result.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。一时间空中两道流光如惊龙横空斗作一团。	The elder of [SCHOOL] boiled over with rage, and launched a vicious attack of the [SCHOOL] on [NAME]. [NAME] grimaced and brought [ITS] artifact to bear against the enemy. For a time the fighting was like a storm of swords.
两人瞬息间已过手数十招，[NAME]看重一个破绽，拼着自己受伤一招打碎了[SCHOOL]的长老的天灵盖，[SCHOOL]的长老死状惨烈，神形俱灭。	In the blink of an eye, their weapons had clashed dozens of times. [NAME] looked for an opening and took it as [IT] got injured, catching the elder of [SCHOOL] with a swipe at the head. It was a tragic end.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。但却错估了对方杀招的威力，竟然被瞬间破去了法宝。	The elder of [SCHOOL] boiled over with rage, and launched a vicious attack of the [SCHOOL] on [NAME]. [NAME] grimaced and brought [ITS] artifact to bear against the enemy. [IT] underestimated the might of the enemy though and [ITS] weapon was broken in a flash.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老打中致命的一击。	[NAME] turned pale with fright for the advantage was lost. Although [IT] was fleeing desperately, the elder of [SCHOOL] struck a lethal blow.
法术轰击	Magic Bombardment
[SCHOOL]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAME]使出[SCHOOL]的绝杀秘术，想不费吹灰之力夺取[NAME]性命。	The elder of [SCHOOL] frowned, turned, and departed with a look like [HE] did not want to stir up trouble. However, [HE] discreetly used a vicious technique of [SCHOOL] in an effort to take [NAME]'s life without any trouble.
[NAME]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SCHOOL]的长老打成飞灰。	[NAME] had already sensed it, feigned injury and struck with all [ITS] force while the enemy's back was turned in celebration. In an instant, like a flash of light, [IT] struck the unguarded elder of [SCHOOL].
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老的致命的一击打中了心脏。	[NAME] turned pale with fright for the advantage was lost. Although [IT] was fleeing desperately, the elder of [SCHOOL] dealt a lethal blow to [ITS] heart.
[SCHOOL]的长老皮笑肉不笑的看了你一样，似乎想动手，但最终掉转方向离去。	The elder of [SCHOOL] looked at [NAME] with a fake smile, as if wanting to make a move, but in the end, [HE] turned and left.
[NAME]选择无视对面，可[SCHOOL]的长老却不准备放过他，他目露凶光，挥手就拦住[NAME]的去路，并发动了猛烈的攻击。	[NAME] chose to ignore the opposing side, but the elder of [SCHOOL] was not ready to let [ENHIM] go. With conviction in [ITS] eye, [HE] moved to cut off [NAME]'s escape and lashed out with a vicious attack.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[SCHOOL]的长老招招夺命，[NAME]拼尽全力才逃脱了[SCHOOL]的长老的追杀。	They fought for many rounds. [NAME] felt a lapse of their Qi, and in a moment of carelessness, [ITS] spell was broken. The elder of [SCHOOL] did everything [HE] could to end it right then and there. [NAME] did all [IT] could to put a stop to the elder of [SCHOOL]'s pursuit.
[SCHOOL]的长老看到[NAME]神色不忿，但是想了想[NAME]在修行界的凶威还是啐了一口，扭头离去。	The elder of [SCHOOL] could tell by the look on [NAME]'s face that [IT] was not about to give in. [HE] thought about [NAME]'s reputation as possessing ferocious might, spat, turned around, and departed.
[SCHOOL]的长老大喝一声歪门邪道，人人得而诛之，挥手祭出随身法宝，对[NAME]发起凌厉的攻势。	The elder of [SCHOOL] rebuked [NAME]'s crooked ways, drew [ITS] weapon and launched an attack on [ENHIM].
[NAME]见对方招数精奇，先失了胆气。只得卖了个破绽，付出受了几处伤的代价借遁光逃离。	[NAME] saw the flurry of moves that the other side performed and promptly lost [ITS] courage. [IT] had to take some hits as a price to be able to make an escape.
[SCHOOL]为迎接[NAME]来临，派遣诸多弟子相迎。恭敬的无以复加。[NAME]乐得自在，在[SCHOOL]逍遥了几天，而后离去。	[SCHOOL] had all of the Disciples come and greet [NAME]. They were as respectable as can be. [NAME] was at ease, stayed at [SCHOOL] for a few days, then left.
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将镇派法宝赠与[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] visited the head of [SCHOOL], who thanked [ENHIM] profusely for [ITS] school's care for the disciples of [NAME] over the years. [HE] presented an Artifact to [NAME] on [SCHOOL]'s behalf. It is [ITS] hope that the two schools can continue to maintain a spirit of cooperation and friendship for many a year to come.
红云神砂	Red Cloud Cinnabar
丹霞宗镇派法宝，以万年朱砂炼制，破一切邪秽。	The top-notch Artifact of Sunshade Abode, refined from cinnabar over the course of ten thousand years, it can take out any and all evil.
天莲剑	White Lotus
昆仑宫镇派法宝，以五色金莲为胎铸成剑形，深具灵性。	The best Artifact of the Kunlun Palace, it was formed from a Prism Lotus and is deeply imbued with spiritual essence.
天极神针	Divine Needle
极天宫镇派法宝，以天地灵药琅琊果为材料制成针体，又用天雷淬炼百年而成。	A divine armament whose needle is refined from a Sage Fruit for a hundred years.
紫霞锁云镯	Twilight Bracelet
紫霄宗镇派法宝，以天地灵药木枯藤打造而成，威力不凡。	This bracelet is the top-notch Artifact devised by the Purple Cloud Temple from the Gnarled Vine of a medicinal tree in a remote local village.
五雷镇狱神符	Thunder Talisman
玄一道镇派之宝，以太古陨星为原料制成的法宝，上面刻五雷天心正法，威力惊人。	Mystic Unity Sect's most valued heirloom. An artifact made from ancient metallic meteorites with the Way of Celestial Heart ingrained onto it, its power is jawdropping.
青索剑	Azure Blade
青莲剑宗镇派之宝，以陨星之铁锻造，锋利无匹。	The azure blade is a treasure forged from a fallen meteorite whose sharpness is without compare.
寒织五云帕	Frostcloud Scarf
栖霞宗镇派之宝，以冰蚕丝织成，神妙非常。	The treasure of the Evenfall Abode, this scarf was sewn from frostsilk. Its weave is exquisite.
百灵腐仙剑	Spirit Corruption Sword
百蛮山镇派邪剑，以数百妖兽内丹铸成，一旦祭出，邪气滔天。	The corrupted sword of Mt. Hundred Insects, forged from the Inner Core of several hundred demons. Once drawn, this sword renders the air replete with an evil aura.
元磁两心环	Dual Magnetic Core Bracers
七仟坞镇派之宝，威力惊人且深具灵性，传说法宝有自我意识，只要认主，哪怕是白痴都可以使用。	The treasure of Pit of Doom, this relic's might shocks people and it is replete with spiritual essence. It is said that this relic has its own consciousness.
七杀剑	Blade of the Seven Deaths
黑山镇派之宝，历经数次正邪大战，无物不斩。	The treasure of Mt. Blackstone, this blade has seen various wars suffused with evil.
合欢铃	Exultant Bell
合欢派镇派法宝，用千棱神玉制成，细看之下有神光流转其中。	The treasure of the Exultant Sect, crafted from Divine Jade, a closer look reveals the divine light flowing out from it.
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将一本上古时期人类炼体大能所创的功法赠予[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] visited the head of [SCHOOL], who thanked [NAME] profusely for [ITS] care for the disciples of [SCHOOL] over the years. On behalf of [SCHOOL], [HE] gifted a book of Law created by an ancient Physical cultivator master to [NAME] as a gesture of goodwill, in hopes of that the two schools can continue to maintain a spirit of cooperation and friendship for many a year to come.
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将一枚玄武灵玉赠予[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] visited the head of [SCHOOL], who thanked [NAME] profusely for [ITS] care for the disciples of [SCHOOL] over the years. On behalf of [SCHOOL], [HE] gifted a Black Tortoise Jade to [NAME] as a gesture of goodwill, in hopes of that the two schools can continue to maintain a spirit of cooperation and friendship for many a year to come.
[NAME]此次来极天宫，无意间看到极天宫一名刚入门的弟子正喃喃自语的阅读一本书册。[NAME]十分好奇，遂上前询问。那名弟子考虑到[NAME]的宗门也是名满天下的大派且与本派交好，于是便笑着解释了一番。	On this trip to the Skydome Palace, [NAME] inadvertently saw a new disciple muttering to himself while reading. [NAME]'s curiosity was piqued and decided to investigate further. The disciple considered that [NAME]'s school was an important sect and it did have a good relationship with this one, so thereupon [HE] smiled and explained things.
原来极天宫开派宗师开宗立派后便游历人间，最后下落不明。只有古代留下的孤本《群仙录》记载其最后游戏人间的传说故事。历代极天宫弟子无事之时都会翻阅此册，一方面瞻仰祖师，一方面也希望都在据此寻找开派宗师的遗蜕线索。	As it turns out, the master of the Skydome Palace decided to roam the realm after establishing the school, and where he ended up is not presently known. It is only in the single extant copy of "Record of the Immortals" that it has been recorded where exactly it is that his journeys took him. Disciples at the Skydome Palace have been reading this volume for generations, on one hand one can learn about revered masters, on the other it gives clues to those that hope to track down the founder.
[NAME]心中一动，便问这名弟子讨要了一份副本好回去研读。	[NAME] felt that trying to find clues as to the founder's whereabouts was of interest and asked if [IT] could make a copy, which [IT] would take back and investigate.
[NAME]拜访了[SCHOOL]，[SCHOOL]上下十分欢迎你的来访，他们盛情邀请[NAME]在此小住了几天，并带他游览了[SCHOOL]附近。在这些日子里，[NAME]与诸位同道切磋道法，谈天说地，十分尽兴。	[NAME] visited [SCHOOL], the [SCHOOL] welcomed [ENHIM] with open arms and asked [ENHIM] to stay a few days. While there, [IT] took a tour around [SCHOOL]. [NAME] learned from everyone over the course of just a few days about a great many things.
临走之时，[SCHOOL]送了[NAME]一份珍贵的礼物，希望两派的友谊可以长存。	When it came time to go, the [SCHOOL] presented [NAME] with a precious gift with the hope that the two sects could enjoy mutual friendship for years to come.
[NAME]拜访了[SCHOOL],[SCHOOL]派中的几个弟子奉命接待了[NAME]。双方愉快的谈了一个下午，[NAME]看看天色已晚，便告辞而去。	[NAME] visited [SCHOOL], some of the disciples of [SCHOOL] received[NAME], as ordered. Both parties had a riveting discussion that lasted until evening. [NAME] noticed that it was getting late, said [ITS] farewells and departed.
[NAME]拜访了[SCHOOL]，但[SCHOOL]的看门弟子表示派中有突发急事，不便待客。	[NAME] visited [SCHOOL], but the disciple at the gate of [SCHOOL] said that something urgent had come up and that it would not be a good time to receive guests.
