Key	Value
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404]Related work:[/color]\nRites\nMoving people to beds\nCarrying fuel\nBurying people\nTransporting characters\nCarrying water\nTransporting items\nTransporting raw material.\nSweeping floors
[color=#9e6404]相关工作：[/color]\n扫地	[color=#9e6404]Related work:[/color]\nSweeping floors
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]Related work:[/color]\nCooking\nTransporting cooking ingredients
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]Related work:[/color]\nChopping firewood\nCarrying firewood\nChopping trees\nHarvesting plants
[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料	[color=#9e6404]Related work:[/color]\nCutting stone\nTransporting stone\nHandcrafting\nCarrying crafting materials
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]Related work:[/color]\nButchering\nHunting\nExploring
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404]Related work:[/color]\nMining
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]Related work:[/color]\nExtinguishing fires
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404]Related work:[/color]\nHarvesting\nFarming
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404]Related work:[/color]\nResting in bed
[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料	[color=#9e6404]Related work:[/color]\nSewing clothes\nTransporting raw materials for clothes
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]Related work:[/color]\nForging items\nTransporting forging materials
[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药	[color=#9e6404]Related work:[/color]\nCuring ordinary diseases\nMaking medicine
筑工	Builder
照顾	Caretaker
苦力	Peon
膳夫	Chef
木客	Logger
猎户	Hunter
石工	Miner
救灾	Firefighter
农人	Farmer
休养	Patient
衣匠	Tailor
铁匠	Smith
郎中	Healer
筑基	Foundation Training
木材	Wood
木料	Timber
石头	Rock
石块	Stone Block
金属	Metal
植物	Plant
植物产物	Plant Product
食物原料	Ingredients
肉类	Meat
皮毛	Fur
布	Fabric
骨骼	Bone
角料	Offcut
武器	Weapon
法宝	Artifact
奇物	Fortuitous Treasure
披风	Mantle
衣服	Coat
裤子	Pants
食物	Food
药物	Medicine
灵丹	Pill
符咒	Talisman
符纸	Talisman Paper
工具	Tool
金属锭	Bar
秘籍	Manual
灵石	Spirit Stone
垃圾	Rubbish
其他	Misc
珀	Soul Gem
宝物	Treasure
竹子	Bamboo
灵契	Spirit contract
正邪未明	Unknown
正道魁首	Celebrated
正道中流	Honored
名门正派	Respected
亦正亦邪	Controversial
邪门歪道	Shady
邪道砥柱	Notorious
魔门巨擘	Infamous
祖师殿	Founder's Hall
坐北朝南	Facing South
炼宝阁	Artifact Pavilion
坐西朝东	Facing East
卧房	Bedroom
炼丹房	Alchemy Lab
厨房	Kitchen
坐东朝西	Facing West
仓库	Storage
坐南朝北	Facing North
工坊	Workshop
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	Perception (PER): A character's ability to explore and gather intelligence from the outside world. Affects a character's field of vision and their efficiency of fine work.
角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。	Constitution (CON): The strength of a character's body. Affects a character's lifespan, cold and heat resistance and efficiency when it comes to physical labor.
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	Charisma (CHA): A character's ability to gain favor from others, including their appearance and disposition. Affects a character's social ability.
角色思考的能力，影响角色的学习速度等属性。	Intelligence (INT): A character's ability to think. Affects the speed of learning.
角色受上天眷顾的程度，影响角色概率相关的属性。	Luck (LUK): The extent to which a character is favored by the Heaven. Affects stats related to chance.
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Potential (POT): A character's training potential. Potential is related to the age and background of a character. Once a character becomes an inner disciple, this will be locked and cannot be changed further.
灵气	Qi
历练值	Skill
领悟值	Comprehension
修为	Experience
寿元	Lifespan
任意	Any
皮肉	Flesh
器官	Organ
(吃饭)	(Eating)
(练功)	(Training)
(睡觉)	(Sleeping)
无	None
练气期	Qi Shaping
结丹期	Core Shaping
金丹期	Golden Core
元神期	Primordial Spirit
在世真仙	Demi-God
苦行境	Ascetic State
传道境	Pilgrim State
神国境	Divine State
圆满境	Attainment State
在世神灵	Demi-God
淬体期	Remold Phase
洗髓期	Marrow-cleansing Phase
脱胎期	Incubation Phase
混元期	Chaos Phase
不朽金身	Immortal Body
练习御物	Practice Artifact Mastery
练习功法	Practice Law
炼制法宝	Refine Artifact
练习术法	Practice Spell
进行调心	Mind
练习护体	Train Protection
炼制丹药	Create Elixir
男人	Male
女人	Female
修炼	Cultivation
过往	Past
美景	Scenery
动物	Animal
功法	Law
厨艺	Cooking
农事	Agriculture
玄学	Metaphysics
邪教	Evil Sect
正派	Just Sect
秘密	Secret
天气	Weather
门派	Sects
昨天	Yesterday
爱好	Hobby
猫	Cat
狗	Dog
早饭	Breakfast
金	Metal
木	Wood
水	Water
火	Fire
土	Earth
混元	Hybrid
心境崩溃	Breakdown
心境不稳	Unstable
心境中正	Stable
心境圆润	Composed
心境通明	Harmony
心境无暇	Pristine
弟子	Disciple
精英	Elite
长老	Elder
\n温度不适	\nUnsuitable Temperature
\n灵气不适	\nUnsuitable Qi
\n肥沃不适	\nUnsuitable Fertility
\n季节不适	\nUnsuitable Season
\n五行不适	\nUnsuitable Element
\n灵气不足	\nInsufficient Qi
上午	Morning
下午	Afternoon
无滤镜	No filters
岁月	Years
铭记	Remembrance
幽冥	Netherworld
水墨	Ink painting
人间	Mortal World
红尘	Mortal Realm
缥缈	Misty
古卷	Ancient Scroll
日升	Sunrise
夏意	Summer
妙趣	Witty
[{0}](禁止)	[{0}] (Forbidden)
(热爱)	(Passionate)
(着迷)	(Obsessed)
[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}	[{8}] {6}\nAbility Rating: {0:N0}/{1:N0} ({9:N0}%)\n\tLevel: {2}/{11} ({5})\n\tXP:{3}{4}\n{7}\n\n{10}
{0:F0}秒	{0:F0} sec
{0:F0}天	{0:F0}d
({0:F1}天)	({0:F1}d)
{0}的{1}	{0}'s {1}
采集或者历练	Gather or adventure
水上建筑	Building on Water
<font color=#B65704>可选主材料(或):\n</font>	<font color=#B65704>Available main material (or):\n</font>
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000](None in inventory)[/color]\n[color=#604343]Source:{0}[/color]
<font color=#B65704>必须材料:\n</font>	<font color=#B65704>Materials required:\n</font>
神乎其技	Marvelous Skill
大师	Master
精通	Experienced
入门	Novice
外行	Amateur
她的	her
他的	his
她	she
他	he
天苍{0}年第{1}天	Day {1}, year {0} of Tiancang Era
它的	Its
它	It
大吉	Very Auspicious
吉	Auspicious
小吉	Slightly Auspicious
小凶	Slightly Ominous
凶	Ominous
大凶	Very Ominous
仙家洞天	Blessed
修行宝地	Cultivated
灵秀之地	Auspicious
冲煞之所	Ominous
逆运之局	Sinister
九幽绝地	Dire
山寨	Fortress
洞天	Heavenly Abode
精品	Exquisite
优秀	Excellent
一般	Common
糟糕	Poor
无品质	No Quality
华丽	Magnificent
精美	Beautiful
普通	Common
丑陋	Ugly
圣物	Sacred Relic
神物	Divine Relic
灵物	Spirit Relic
凡物	Mortal Relic
土壤肥沃	Rich Soil
土壤丰饶	Fertile Soil
土壤良质	Healthy Soil
土壤贫瘠	Poor Soil
宛如仙境	Wonderland
景色绝美	Impressive
景观优美	Beautiful
景观不错	Nice
环境平常	Normal
环境脏乱	Filthy
环境恶劣	Horrendous
极热	Scorching
炎热	Hot
温度适宜	Moderate
寒冷	Cold
极寒	Freezing
刺眼	Dazzling
晃眼	Bright
光线适宜	Sunlit
昏暗	Dim
漆黑	Dark
卓越	Expert
擅长	Skilled
中庸	Mediocre
勉强	Amateur
不擅	Inept
巨大	Huge
大	Large
中	Medium
小	Small
拥挤	Full
恰当	Normal
空旷	Empty
豪华	Luxurious
精致	Refined
简陋	Bareboned
美轮美奂	Magnificent
满目凋敝	Devastated
极度危险	Lethal
致命绝境	Deadly
危机四伏	Perilous
暗藏波澜	Dangerous
略有风险	Risky
任人宰割	Vulnerable
不为人知	Anonymous
籍籍无名	Unknown
素门凡流	Unrecognized
略有耳闻	Common
小有名气	Acknowledged
初见江湖	Visible
名声渐传	Recognized
广为人知	Well-known
大名鼎鼎	Famous
闻名遐迩	Distinguished
名扬天下	Renown
声震寰宇	Prominent
百年流传	Acclaimed
名震千古	Celebrated
旷古绝今	Unprecedented
万载留名	Unparalleled
非常满意	Satisfactory
还算不错	Adequate
平淡乏味	Bland
非常糟糕	Awful
灵性澎湃	Major Blessing
灵性充沛	Moderate Blessing
灵性隐隐	Minor Blessing
煞性隐隐	Minor Curse
煞性凝练	Moderate Curse
煞性凌冽	Major Curse
自身生长速度很慢，对周边环境产生极大的正面增益。	Very slow growth rate; major positive effect on the surrounding environment.
自身生长速度较慢，对周边环境产生较大的正面增益。	Slow growth rate; medium positive effect on the surrounding environment.
自身生长速度略慢，对周边环境产生略微的正面增益。	Somewhat slow growth rate; minor positive effect on the surrounding environment.
自身生长速度略快，对周边环境产生略微的负面影响。	Somewhat fast growth rate; minor negative effect on the surrounding environment.
自身生长速度较快，对周边环境产生较大的负面影响。	Fast growth rate; medium negative effect on the surrounding environment.
自身生长速度很快，对周边环境产生极大的负面影响。	Very fast growth rate; major negative effect on the surrounding environment.
空	Empty
鼎炉潜力尚未开发，炼精化气效率极高。	Undeveloped Inner Cauldron potential; very high Stamina conversion efficiency.
始	Sparse
鼎炉潜力开发伊始，炼精化气效率较高。	Recently developed Inner Cauldron potential; high Stamina conversion efficiency.
鼎炉潜力开发泰半，炼精化气效率正常。	Half-developed Inner Cauldron potential; normal Stamina conversion efficiency.
盈	Full
鼎炉潜力几尽枯竭，炼精化气效率较慢。	Inner Cauldron potential near depletion; low Stamina conversion efficiency.
满	Bursting
鼎炉潜力开发至极限，需结丹以突破鼎炉之限。	Extremely developed Inner Cauldron potential; very slow Stamina conversion efficiency.
护御	Protection
修行	Practice
仇恨	Hatred
敌视	Hostile
冷淡	Indifferent
友好	Friend
尊敬	Respect
影响值是处理代理点事务的资源。主要用于建设重要建筑比如奇观和主殿，以及各种政策的消耗。主殿每日会产出影响值，在某些事件中使用处世手段也可以获得。	Influence is a resource used to manage any agency's business. For example, building wonders and main halls, implementing policies and so on. Influence will be produced by the main hall every day, or acquired through social skills in certain events.
略有灵韵	Mild Spirit
灵韵天生	Natural Spirit
灵韵澎湃	Strong Spirit
任意大小的	Any Size
极小的	Tiny
狭小的	Narrow
大小适中的	Medium sized
宽大的	Large
极大的	Huge
极小	Tiny
狭小	Narrow
适中	Medium
宽大	Large
极大	Huge
金属性	Metal Element
木属性	Wood Element
水属性	Water Element
火属性	Fire Element
土属性	Earth Element
混元属性	Hybrid Element
极其利于	Extremely Beneficial
特别利于	Very Beneficial
较为利于	Moderately Beneficial
稍微利于	Slightly Beneficial
位于墙角	and At a corner
三面为墙	and Against three walls
贴墙而放	and Against a wall
不贴墙	and Not touching any walls
位于门旁	and Located next to the Door
位于床第蒲团之侧	and Located next to a Cushion or Bed
位于祖师牌位之侧	and Located next to Grandmaster's Shrine
位于工坊台案之侧	and Located next to a kind of workshop table
位于炼宝台之侧	and Located next to the Crafting Table
位于炼丹炉之侧	and Located next to the Alchemy Furnace
位于炉灶之侧	and Located next to the Stove
远离床第蒲团	and Away from Cushion or Bed
远离祖师牌位	and Away from Grandmaster's Shrine
远离工坊台案	and Away from a kind of workshop table
远离炼宝台	and Away from the Crafting Table
远离炼丹炉	and Away from the Alchemy Furnace
远离炉灶	and Away from the Stove
你的情感依然很丰富，依然会被喜怒哀乐所动。这些凡人的情感让你对神力的掌握倍加艰难，但也正因如此，就算是很平凡很微小的信仰你都能感受并收取。	You still have many human emotions such as joy, anger and sorrow. These human emotions have made it difficult for you to master divine powers, but at the same time, you can feel and absorb even the slightest mortal belief.
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	You have less human emotions and can hardly feel extreme joy or sorrow. You have become more attuned to divine powers, but can no longer perceive all the mortal and small beliefs.
凡人的喜怒哀乐对你的影响越来越少，而你对神力的运用也渐入佳境。但逐渐失去凡人心态的你也越发难以吸收那些平凡而普通的信仰。	Human emotions affect you less and less, and you begin to master divine powers. But your loss of humanity has rendered you less perceptive to human beliefs.
你的情感已经十分淡漠，很少有什么事可以让你动容。你对神力的运用越发自如，但来自诸多平凡信众的信仰对你而言已近乎尘砾。	You have become very indifferent toward people and worldly affairs. You are more in tune with divine powers, but ordinary people's beliefs are almost nothing to you.
你几乎没有了人类的情感，众生在你眼中皆无不同。你对神力的运用已达巅峰，但绝大部分普通的信仰对你已经毫无意义。	You have lost nearly all human emotions and see no difference between any lifeform. You have mastered the ultimate divine powers, but at the same time, most people's beliefs have become meaningless in your eyes.
杀戮	Killing
杀死{0}({1:N0})个生灵	Kills {0} ({1:N0}) creatures
被杀戮之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时专注杀戮而战法激进，因此御器技能突破极限2级，术法技能突破极限2级，护体技能降低5级。	Haunted by the intent to kill. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will focus on killing, thus improving their battle skills. Breakthroughs 2 levels of Artifact Mastery and Spell, and lowers 5 levels of Protection.
自弃	Giving Up
失败累积{0}({1:N0})次（炼丹，炼器，突破，战斗中倒地）	Fails {0} ({1:N0}) times. This includes failing in alchemy, artifact crafting and breakthrough, or being knocked down during battles.
被自弃之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时自暴自弃而奋不顾死，因此御器技能突破极限2级，术法技能突破极限2级，护体技能降低5级。	Ready to give up. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will give up hope, thus risking everything they have. Breakthroughs 2 levels of Artifact Mastery and Spell, and lowers 5 levels of Protection.
贪婪	Greedy
食用12阶的物品累积{0}({1:N0})次	Eats {0} ({1:N0}) Tier 12 items
被贪婪之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时不舍珍宝而倍加惜命，因此御器技能，术法技能降低2级，护体技能突破极限3级。	Driven by greed. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will value their treasures too much to risk dying. Lowers 2 levels of Artifact Mastery and Spell, and breakthroughs 3 levels of Protection.
享乐	Hedonistic
情绪高于150累计{0}({1:N0})秒	Mood remains higher than 150 for {0} ({1:N0}) sec
被享乐之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时贪图享乐而倍加惜命，因此御器技能，术法技能降低2级，护体技能突破极限3级。	Becomes hedonistic. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be too hedonistic to risk dying. Lowers 2 levels of Artifact Mastery and Spell, and breakthroughs 3 levels of Protection.
傲慢	Arrogant
获得成功{0}({1:N0})次（炼丹，炼器，突破，击败相同或更高境界的敌人）	Succeeds {0} ({1:N0}) times (During alchemy, artifact crafting, breakthrough, and battles against enemies in the same or a higher state)
被傲慢之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时傲慢自得而心态优越，因此御器技能，术法技能，护体技能均突破极限1级。	Becomes arrogant. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be very arrogant, thus gaining the confidence to fight. Breakthroughs 1 level of Artifact Crafting, Spell and Protection.
悲悯	Sympathetic
累计获得{0}({1:N0})点功德	Gain {0} ({1:N0}) virtue
被悲悯之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时心怀悲悯而心态优越，因此御器技能，术法技能，护体技能均突破极限1级。	Becomes Sympathetic. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will become very Sympathetic, thus gaining the confidence to fight. Breakthroughs 1 level of Artifact Crafting, Spell and Protection.
焦虑	Anxious
处在瓶颈状态不突破累积{0}({1:N0})秒	Remain at a breakthrough state without performing breakthrough for {0} ({1:N0}) sec
被焦虑之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时焦躁惶恐而急进难安，因此御器技能突破极限4级，术法技能，护体技能降低3级。	Troubled by anxiety. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be too anxious to think before they act. Breakthroughs 4 levels of Artifact Mastery, and lowers 3 levels of Spell and Protection.
抑郁	Depressed
情绪低于50累计{0}({1:N0})秒	Mood remains lower than 50 for {0} ({1:N0}) sec
被抑郁之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时情绪低沉而心静消极，因此术法技能突破极限4级，御器技能，护体技能降低3级。	Troubled by depression. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be too depressed to think positively. Breakthroughs 4 levels of Spell, and lowers 3 levels of Artifact Mastery and Protection.
动	Move
神修在心境为“动”时，心境会自然提高，情绪越好，提高速度越快。	When the mental state is 'move', it will be naturally raised, as a better mood means a faster rise.
欲动中求静，需在放纵之下保持心境为100，持续{0:N1}天。	To seek a 'steady' mind, keep the mental state at 100 during indulgence for {0:N1} days.
静	Calm
神修在心境为“静”时，心境会匀速自然提高，不收任何外部条件影响。	When the mental state is 'steady', it will be naturally raised at a steady pace, not affected by outside factors.
欲静中求寂，需在心斋之下保持心境200，且心绪低于50，持续{0:N1}天。角色悟性越高，需要持续的时间越长。	To seek a 'still' mind, keep the mental state at 200 and distress lower than 50 during mind fasting for {0:N1} days. The greater the character's intelligence, the longer it takes to achieve the mental state.
寂	Still
神修在心境为“寂”时，心境只有在心绪低于100时才会增加。心绪越低，增加速度越快。反之则会减少。	When the mental state is 'still', it will only be raised if the distress is lower than 100. A lower distress means a faster rise. Otherwise it will be reduced.
欲寂中求圣，必须达神国境后，在克己状态下保持心境300，神性大于20，持续{0:N1}天。角色悟性越高，需要持续的时间越长。	To seek a 'sacred' mind, keep the mental state at 300 and divinity higher than 20 during self-restraining after reaching the Divine State for {0:N1} days. The greater the character's intelligence, the longer it takes to achieve the mental state.
圣	Sagely
神修在心境为“圣”时，心境只有在神性大于50的情况下才会增加，神性越高，增加速度越快。反之则会减少。	When the mental state is 'sacred', it will only be raised if the divinity is higher than 50, as a higher divinity means a faster rise. Otherwise it will be reduced.
欲圣中求慧，必须保持心境400，持续{0:N1}天。角色悟性越高，需要持续的时间越短。	To seek a 'wise' mind, keep the mental state at 400 for {0:N1} days. The greater the character's intelligence, the faster it is to achieve the mental state.
慧	Wise
神修在心境为“慧”时，心境只有在悟性大于8的情况下才会增加，悟性越高，增加速度越快。反之则会减少。	When the mental state is 'wise', it will only be raised if the intelligence is greater than 8, as a greater intelligence means a faster rise. Otherwise it will be reduced.
欲慧中求空，必须达圆满境后，在心斋之下保持心境500，且心绪低于10，持续{0:N1}天。	To seek an 'empty' mind, keep the mental state at 500 and distress lower than 10 during mind fasting after reaching the Attainment State for {0:N1} days.
神修在心境为“空”时，心境只有在心绪低于50的情况下才会增加，心绪越低，增加速度越快。反之则会减少。	When the mental state is 'empty', it will only be raised if the distress is lower than 50, as a lower distress means a faster rise. Otherwise it will be reduced.
欲空中求灵，必须在纵欲状态下，保持心境600，且人性大于60，持续{0:N1}天。角色机缘越高，需要持续时间越短。	To seek a 'spiritual' mind, keep the mental state at 600 and humanity higher than 60 during self-indulgence for {0:N1} days. The greater the character's luck, the faster it is to achieve the mental state.
灵	Spirit
神修在心境为“灵”时，心境已然圆满，将持续上升，不收任何外部条件影响。	When the mental state is 'spiritual', it will be fulfilled and raised at a steady pace, not affected by outside factors.
已然圆满，不可突破。	No breakthrough for an attained mind.
心咆意哮	Raging Anger
心猿意马	Absent Mind
心念芜杂	Troubled Soul
心宁气静	Tranquility
心如止水	Good-tempered
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	Your persuasion is going to be [color=#ffa900]a wake-up call[/color] to this person, resonating with them.
可以预见，此人对你的劝化[color=#f700ff]颇有兴致[/color]，应该有所共鸣	This person is going to be [color=#f700ff]quite interested[/color] in and possibly resonates with your persuasion.
可以预见，此人对你的劝化[color=#0099ff]略有思索[/color]，也许会有所触动	This person is going to [color=#0099ff]think about[/color] and possibly be moved by your persuasion.
可以预见，此人对你的劝化[color=#33cc00]不屑一顾[/color]，不太能听得进去	This person is going to be [color=#33cc00]indifferent[/color] toward and ignore your persuasion.
可以预见，你对此人的劝化如[color=#ffffff]对牛弹琴[/color]，完全没用	Your persuasion is going to be [color=#ffffff]preaching to deaf ears[/color] to this person, completely meaningless.
{0:F2}/秒	{0:F2}/sec
防御成功: {0:P3}	Defense Success: {0:P3}
防御坚韧: {0:F0}	Defense Endurance: {0:F0}
法宝镇压: {0:P3}	Artifact Suppression: {0:P3}
攻击穿透: {0:P3}	Attack Penetration: {0:P3}
攻击命中: {0:P3}	Attack Accuracy: {0:P3}
攻击威力: {0:F0}	Attack Power: {0:F0}
真炁恢复: {0:F2}/秒	True Qi Recovery: {0:F2}/sec
真炁消耗: {0:F2}/秒	True Qi Consumption: {0:F2}/sec
金属性伤害减免: {0:P3}	Metal Damage Reduction: {0:P3}
木属性伤害减免: {0:P3}	Wood Damage Reduction: {0:P3}
水属性伤害减免: {0:P3}	Water Damage Reduction: {0:P3}
火属性伤害减免: {0:P3}	Fire Damage Reduction: {0:P3}
土属性伤害减免: {0:P3}	Earth Damage Reduction: {0:P3}
防御成功\n尝试使用此秘体承担伤害时的成功几率。	Defense Success\nThe chance of success when attempting to use this Secret Body to withstand damage.
防御坚韧\n此秘体承受攻击时抵抗伤害的程度。	Defense Endurance\nThe ability to resist damage when this Secret Body withstands attacks.
法宝镇压\n使用此秘体与法宝进行缠斗时，直接将法宝捕获镇压的几率。敌人御器能力越强，捕获法宝后真炁消耗速度就越大。	Artifact Suppression\nThe chance of suppressing and capturing an artifact directly when using this Secret Body against artifacts. The stronger the enemy's Artifact Mastery, the faster it consumes True Qi after capturing an artifact.
攻击穿透\n使用此秘体攻击拥有灵气护盾的目标时，攻击穿透灵气护盾的比率。	Attack Penetration\nThe chance of penetrating the Qi Barrier when using this Secret Body to attack targets with Qi Barriers.
攻击命中\n尝试使用此秘体进攻时的成功几率。	Attack Accuracy\nThe chance of success when attempting to use this Secret Body to attack.
攻击威力\n此秘体发动攻击时造成伤害的强度。	Attack Power\nThe magnitude of the damage caused by this Secret Body when attacking.
真炁恢复\n在启用该秘体时，会持续的恢复真炁。	True Qi Recovery\nThe amount of True Qi you continuously recover when this Secret Body is activated.
真炁消耗\n在启用该秘体时，会持续的消耗真炁。	True Qi Consumption\nThe amount of True Qi you continuously consume when this Secret Body is activated.
金属性伤害减免	Metal Damage Reduction
木属性伤害减免}	Wood Damage Reduction}
水属性伤害减免	Water Damage Reduction
火属性伤害减免	Fire Damage Reduction
土属性伤害减免	Earth Damage Reduction
攻击	Attack
防御	Defense
效果	Effect
参与动机	Participation Motive
参与者	Partaker
证据	Evidence
行踪	Traces
性格	Personality
绝学	Secret Knowledge
弱点	Weakness
执念	Weakness
心仪之物	Favorites
厌恶之物	Dislikes
隐秘	Mystery
随身宝物	Personal Treasure
软弱	Weak
天真	Naive
坚韧	Tough
冷漠	Withdrawn
平淡	Dull
初始化..	Initializing...
最后的准备.	Final preparations.
_结局	_The End
