ID	Content	WholeContent	TipDesc	Desc
65	{0} tried to transcribe {1} _and succeeded/but failed.	Stored in the Manual Pavilion		
66	{0}'s mental state was raised to [{1}] and also improved their divinity.			
67	{0} lost control over their obsession and will face Belief Tribulation.	Obsessed		
68	{0} crafted the sacred relic {1} _and succeeded/but failed.	Crafting Sacred Relic		
69	{0}'s obsession of {1} appeared.	Obsession Appears		
70	{0} has reached full divinity and will soon ascend.	Ascension		
71	{0} severed their obsession: [{1}]			
72	{0}'s divine title has changed.	Divine Title		
73	{0} tried to study {1} _and succeeded/but failed.	Study		
74	{1} found a piece of {0} while eating dumplings.			
75	{0} becomes illuminated	Taoist Animism		
76	{0} possesses self-consciousness and has becomes a Sentient Spirit	Sentient Spirit Awakening		
77	{0} Channeling failed	Channeling failed		
78	{0} appeared	Sentient Spirits Passing By		
79	{0}'s {1} has already been remolded			
80	Yin Yang Rock has regained its power.	Yin Yang Rock has regained its power.		
81	Earthmother Stele has regained its power.	Earthmother Stele has regained its power.		
82	An item has flown out of the Otherworld Rift.	An item has flown out of the Otherworld Rift.		
83	{0}： Fish took the bait!	Fishing		
84	{0} has learnt {1}	Training		
10001	Mysterious Cavern			The increasingly frequent earthquakes in your sect suddenly stopped recently, and at the same time, a mysterious cavern appeared in the ground. You can sense a strong but obscure will of a being from within the cave. You have no idea what it might be. \n Ancient cultivators are starting to appear in this realm more often. Maybe you can ask them for information.
10002	Threatening			The mysterious cavern suddenly became menacing, and it wanted you to [TXT].
10003	Threatening			The mysterious cavern suddenly became menacing, and it wanted you to [TXT].
10004	Threatening			The mysterious cavern suddenly became menacing, and it wanted you to [TXT].
10005	Sacrificed			You completed the rite in front of the cavern, and the mysterious being was very much satisfied.
10006	Natural Disaster			The mysterious being within the cavern was very angry, and brought about a disaster: [TXT].
10007	Disaster of Beasts			The mysterious being within the cavern was very angry, and it attracted a few monsters to attack your sect.
10008	Disaster of Destruction			The mysterious being within the cavern was very angry, and it spurted out a gush of water that broke through the surface of the ground.
10009	Out of Ashes			The enraged dragon broke through the ground and emerged.
10010	Slain			After a long and difficult fight, the Dragon was finally slain.
10011	Extreme Heat			For unknown reasons, the average temperature in this realm suddenly increased quite a bit. This rise in temperature has been far beyond normal changes in weather. It might indicate something unusual.
10012	Unhinged Monster			The extreme drought has driven monsters mad, and a couple of unhinged monsters have shown up near the sect.
10013	Blazing Wing Falling			A wave of heat swept across the sky, and something strange fell down.
10014	Prolonged Drought			The continuing heat has brought along a drought. You felt that the temperature was rising higher and higher. If you don't take action now, the situation might worsen.
10015	Unhinged Beast			A few monsters went crazy out of fear, and they even left their own territory so as to wreak havoc all over!
10016	Blazing Wing Falling			A wave of heat swept across the sky, and something strange fell down.
10017	Shrilling Sound			After casting a spell to drive away the prolonged drought, you found that the world seemed to become eerily quiet for an hour. A few moments later, a large flock of birds suddenly flew up from some remote mountains. A shrill and sinister sound broke the silence.
10018	Phoenoxica Arrives			A ferocious Phoenix draws near.
10019	Phoenoxica Falls			After a long and difficult fight, the Phoenix was finally slain.
10020	Polar Night Begins			For unknown reasons, the realm suddenly lost its balance of Yin and Yang. The area around your sect becomes enveloped in a pitch black, as if it were nighttime.
10021	Egg of Yin			A few strange eggs suddenly appeared near your sect in the middle of the night. There is something hatching inside them...
10022	Polar Day Begins			For unknown reasons, the realm suddenly lost its balance of Yin and Yang. It suddenly became high noon in the area around your sect... You don't know how long this chaos will continue.
10023	Egg of Yang			A few strange eggs suddenly appeared near your sect in the middle of the day. There is something hatching inside them...
10024	Torch Dragon's Chaos			The continued chaos of Yin and Yang finally reached its limit. With a drawn-out sigh, a giant creature began to manifest within the realm!
10025	Egg Hatching			As the strange eggs began to hatch, the Yin and Yang of the realm slowly lost balance!
10026	Egg Breaking			As the strange eggs were destroyed, the Yin and Yang of this realm slowly lost balance!
10027	Drastic Change			There was a sudden burst of Qi in the Central Plains. At first, no one paid much attention to it, thinking that it was another normal change in the flow of Qi. As time goes by, people started to realize that the scale and intensity of the burst was beyond all expectations. It has been spreading from the epicenter for more than a month, proving that ultimately it was a drastic change that would affect all cultivators.\n Now, the influence of the burst has reached your sect. As everyone enjoys the overflowing Qi, you wonder what this drastic change could mean for all of you...
10028	Thousand-year Tide			It has been days since the burst of Qi finished spreading across the realm. From reading old documents, the famous sects eventually decided that it was the tide of Qi that surges every 3,000 years. Ancient cultivators that were in slumber for various reasons started to be revived one by one by the Thousand-year Tide.\n Without the current order and rules, cultivators in ancient times believed in the law of the jungle. These cultivators with ancient beliefs and significant experience in cultivation has caused chaos in the world of cultivators in just a few days' time...
10029	Disaster in the Wild South			A mysterious disaster happened recently on the mountains of the northern borderland. It was said that the ground and mountains shook for a minute, and the sound was so loud that it spread across thousands of miles. When the nearby cultivators arrived, they only found all the mountains drowned in water, with strong ominous Qi permeating the area.\n It seems that a few rare and elusive ancient beasts that hide in the mountains and lakes are affected by the Thousand-year Tide and have become active again.
10030	Underground Noise			The Thousand-year Tide has passed. In a little more than a month, ancient cultivators were revived, and ancient beasts started to become active again... The world of cultivators was faced with drastic change. As time goes by, the world of cultivators has gradually regained its peace and balance. Everything seems to be back on track. \n However, underground quakes started to happen frequently in your sect. You don't know what is going on...
10031	Tribulation of Dragons			The power of the Heavenly Tribulation has killed all the unborn Flood Dragons...
10032	Threatening			The mysterious cavern suddenly became menacing, and it wanted you to [TXT].
10033	Achievement ({0}) failed	Achievements		Achievement Failed
20001	Rumor in the World			    [TXT]
20002	Disturbance of the Otherworld			There were talks that the Rift to the other world suddenly opened up lately and several gleaming treasures flew out of it, scattering across the world. You sensed something strange going on. It seems that you have a spiritual connection with these treasures and a careful search is warranted.
30001	Agent {0} has arrived in {1}.	Agent has reached		Arrival Successful
30002	Successfully assigned {0}.	Assignment succseful		Assignment Successful
30003	Completed building {0}.	Completed building		Completed building
30004	Completed upgrading the main hall of {0}.	Main Hall Upgrade		Upgrade Complete
30005	{0}	An event happened.		Event happened
30006	{0}	A disaster happened.		Disaster happened
30007	Merchant {0} has arrived.	Merchant Arrives		Traveling Merchant has arrived
30008	We have built {0}!	Building Finished		Wonder Constructed
40000	The Merchant Union has announced their condemnation!	Condemnation from the Merchant Union	Because of your rude behavior, the Merchant Union has decided to ban you from their trade list forever.	
30009	{0}'s beliefs are full.	Beliefs Full	{0} has gathered enough beliefs. Please dispatch disciples to collect them.	
30010	{0}'s storage is full.	's storage is full.	{0}'s storage is full, please claim it manually.	
30011	{0}	Choose Policy		
31001	Strange Little Elf	Strange Little Elf	Strange Little Elf has arrived.	
31002	Mutated Torch Dragon	Mutated Torch Dragon	Mutated Torch Dragon has appeared.	
32001	A puppy has appeared nearby!	A puppy has appeared nearby!	A puppy has appeared nearby!	    
32002	A fox has appeared nearby!	A fox has appeared nearby!	A fox has appeared nearby!	    
32003	{0} is being used for teeth grinding	The Sect is being attacked	The Sect is being attacked	
32004	A black tortoise has appeared nearby!	A black tortoise has appeared nearby!	A black tortoise has appeared nearby!	    
33001	{0} has not yet passed the Shapeshifting Heavenly Tribulation	Shapeshifting Heavenly Tribulation failed	{0} has not yet passed the Shapeshifting Heavenly Tribulation, meeting their maker	
33002	{0} has not yet passed the Shapeshifting Heavenly Tribulation	Shapeshifting Heavenly Tribulation failed	{0} has not yet passed the Shapeshifting Heavenly Tribulation, becoming a Monster	
34001	{0} is in dire need of Thinking	Urgent need of Thinking	Has already obtained enough Thought, go ahead and get to Thinking.	    
34002	{0} entered Awakening State	Awakening State		    
34003	{0} began learning	Learning Stage		
34004	{0} has matured	Mature Stage		
34005	{0} is hesitating	Hesitate		
34006	{0}'s Intelligence has already been maxed out	Exercise		
34007	{0}'s Qi has already been maxed out	Exercise		
34008	{0}'s Spells have already been maxed out	Exercise		
34009	{0}'s Core has already been maxed out	Exercise		
34010	{0}'s Protection has already been maxed out	Exercise		
34011	A divine panda has appeared nearby!	A divine panda has appeared nearby!	A divine panda has appeared nearby!	    
34101	Spirit Stones from the Heaven Echo Altar have arrived	Spirit Stones from the Heaven Echo Altar have arrived		
34102	Spirit Stones in the Heaven Echo Altar wait to be collected	Spirit Stones in the Heaven Echo Altar wait to be collected		
34103	Spirit Stone Crystallized Complete!	Spirit Stone Crystallized Complete!		
34200	Unlock Mantle: {0}	Unlock Mantle.	Can be produced on a sewing table.	
