ID	Name	Desc
51	Vagabundo(a)	O pai de [NAME] matou acidentalmente o filho de um valentão local e, portanto, teve que levar sua família a uma vida em fuga para escapar da retribuição. As memórias de infância de \n[NAME] consistem em ter comida suficiente ou passar fome enquanto fugia.
52	Batedor de carteira	[NAME] teve que fazer algumas coisas desagradáveis ​​para sobreviver, mas isso não manchou a consciência deste. \n[NAME] raramente rouba de pessoas que não são bem de vida e frequentemente compartilha despojos com crianças que eram ainda menores que [ENHIM].
53	Bandido	[NAME] era membro de um bando de ladrões. Devido à [ITS] idade e falta de jeito, [NAME] foi alvo frequente de espancamentos e broncas e muitas vezes foi deixado de volta em seu esconderijo para lidar com a logística. \nComo resultado, [NAME] sobreviveu a um ataque da corte imperial.
54	Saddleborn	[NAME] faz parte de uma tribo de nômades. [NAME] cresceu na sela e assim viajou pelas pastagens com a tribo. \nEm um dia típico, [NAME] vigiava os cavalos e pegava seu esterco. [NAME] não gostava muito desse trabalho. O sonho de [NAME] era se tornar o mais forte dos caçadores.
55	Noiva criança	[NAME] foi vendido a um senhorio para se casar com seu filho mais burro. Devido à beleza física inata, essa criança tinha uma compreensão aguçada dos caminhos do mundo e era profundamente amada pelos outros. \n[NAME] recebeu excelente treinamento como parte da casa do senhorio e, portanto, era sábio nas maneiras de manter uma casa. Este tipo de ambiente incutiu uma elegância ao discurso deste.
56	Filho(a) do Pastor	[NAME] fazia parte da tribo pelo mar ocidental. [NAME] cuidava dos rebanhos com as outras crianças. \nHavia ruínas perto do pasto que diziam ser assombradas. [NAME] frequentemente ia explorar as ruínas enquanto o rebanho estava no pasto.
57	Órfão do campo de batalha	[NAME] nasceu numa cidade da fronteira. Quando [NAME] era muito pouco, os estrangeiros invadiram e massacraram aqueles na [ITS] cidade. [NAME] teve sorte de sobreviver. \n[NAME] prometeu desde jovem se juntar ao exército para se vingar. Com isso em mente, [NAME] foi capaz de passar por um treinamento extremo.
58	Carniceiro	[NAME] perdeu tudo graças à guerra. E então não havia escolha a não ser viver vasculhando para sobreviver. O corpo de \n[NAME] é magro, mas ágil, graças a ter que fugir de distritos ricos que não queriam que ninguém vasculhasse seu lixo em busca de tesouro ou comida. Isso permitiu [ENHIM] acumular uma boa quantia desde o início e, assim, tornar-se um discípulo artesão.
59	Filho de Buda	[NAME] cresceu em um templo e foi responsável pelas velas ao pé dos Budas. Muitos anos ouvindo mantras budistas cheios [ENHIM] de conhecimento e compreensão espiritual, mas isolados [ENHIM] do resto do mundo.
60	Filho do Tao	[NAME] é um seguidor do Tao desde a infância. A criança seguiu o Mestre ao longo dos anos e levou uma vida observando os elementos. \n[NAME] é um prodígio cheio de potencial que se libertou desde jovem e que ainda não é autoconsciente.
61	Criança monge	[NAME] era um monge criança que cresceu no templo. [NAME] sempre foi uma criança ativa que tinha apetite. A vida no templo deixou [ENHIM] querendo. \n[NAME] tentou fugir do templo várias vezes, mas foi pego por monges guerreiros todas as vezes.
62	Gênio poéta	[NAME] é um orador talentoso com uma memória incrível. [NAME] era um prodígio: aos três a leitura não era problema, aos cinco a criança sabia escrever poemas, e aos sete [NAME] era conhecido nos círculos poéticos. Nem um único literato no tribunal não tinha ouvido [ITS] nome.
63	Menino(a) da rua	[NAME] foi um canalha desde o início. Esse patife era famoso em toda a área... como sendo um pé no saco #$%, não importava se você perguntasse a um adulto ou a uma criança, a resposta era a mesma. \nUma vez, [NAME] fugiu para as montanhas. No final [NAME] foi encontrado vivendo com uma tropa de macacos.
64	Juventude rebelde	O pai de [NAME] era um acadêmico e foi rigoroso com [ITS] escolaridade desde o início. Este encheu [ENHIM] de um espírito rebelde e tentou pensar em todas as formas possíveis de provocar [ITS] o pai. Como tal, [NAME] foi repreendido a cada dois dias.
65	Juventude animada	[NAME] é uma criança animada e extrovertida. Este não tinha medo de estranhos e era bastante hábil uma vez um pouco mais velho. [NAME] tinha um dom para gab e os adultos eram mais do que um pouco vocais sobre como eles estavam cansados ​​de ter seus ouvidos falados. \n[NAME] tinha uma boa reputação entre as crianças que moravam nas proximidades como alguém que levava outras crianças junto para causar problemas no campo.
66	Juventude introvertida	[NAME] era um introvertido desde muito jovem. [NAME] não falava com ninguém que não fosse da família imediata. A criança ficaria imensamente nervosa e fora de controle se alguém se aproximasse. \n[NAME] até desmaiou na primeira vez que estudou em casa porque essa criança ficou tão agitada por ter falado com um colega de classe desconhecido que o tutor trouxe.
67	Cobaia	[NAME] foi levado por uma Seita do Mal desde tenra idade e usado como alvo para a prática de magia. \n[NAME] foi salvo mais tarde quando uma Seita Justa atacou e eliminou os membros da Seita do Mal. Infelizmente, o corpo [ITS] nunca mais foi o mesmo por ser submetido a tantos feitiços mágicos.
68	Arruaceiro	O pai de [NAME] era como um déspota local e um valentão. [NAME] aprendeu com o pai querido e percebeu o quanto a vida poderia ser divertida usando os truques do pai. \n[NAME] formou um bando de valentões com a idade de sete ou oito anos e andava assediando o campo como o querido pai. E assim nasceu um novo terror das massas.
69	Criança psíquica	[NAME] nasceu com visão astral, concedendo a capacidade de ver o que os outros não podiam. Mas isso fez com que [ENHIM] passasse a usar muita vitalidade no processo. [NAME] adoeceu com frequência e, portanto, fragilizou-se. \nAos dez anos de idade, [NAME] encontrou um curandeiro viajante que usava Acupuntura para selar [ITS] os olhos, o que permitiu que [ITS] o corpo lentamente se tornasse saudável novamente.
70	Simpático	[NAME] nasceu com um talento incomum, especificamente a capacidade de sentir a alma do outro. Isso permitiu que [ENHIM] respondesse como a outra pessoa queria. \nAprendeu a usar essa habilidade para ganhar a afeição das pessoas ao redor desde muito jovem.
71	Buddhist Aid	[NAME] nasceu em uma pequena aldeia que foi atacada quando a criança tinha apenas sete anos. Um velho monge salvo [ENHIM], passou adiante alguns conselhos instruindo [NAME] a praticar o Cultivo todos os dias e não contar a uma alma.
72	Stunted Genius	[NAME] era um gênio nascido em uma família de artistas marciais. Infelizmente [NAME] adoeceu de alguma estranha aflição aos onze anos de idade. A criança ficou debilitada e praticar o Cultivo tornou-se extremamente desgastante. A garota que havia concordado em se casar [ENHIM] também mudou de ideia. \nA mudança no destino fez com que [ENHIM] ficasse cansado, mas [ENHIM] prometeu recuperar tudo o que havia perdido.
73	Exam Genius	[NAME] foi um gênio no exame imperial e se tornou um tutor para ajudar os outros a fazerem o mesmo. Infelizmente, depois de várias vezes não ser admitido. [NAME] foi espancado e repreendido com frequência em raiva cega. \n[NAME] não aguentou e então finalmente decidiu fugir em uma noite chuvosa.
74	Wealthy Elite Child	Os pais de [NAME] são famosos em todo o país como bem sucedidos nos negócios. Os negócios estavam ocupados e eles estavam frequentemente fora e cuidando dos assuntos, então eles simplesmente saíram [ENHIM] com algum dinheiro para cuidar dos assuntos diários. \n[NAME] tornou-se arrogante e dominador desde o início e não respeitava a autoridade.
75	The King of Games	[NAME] tinha um intelecto de nível genial e adorava todos os tipos de jogos. Quando [NAME] tinha dez anos de idade, essa criança era especialista em qualquer jogo que se conhecesse. A luta de críquete era um jogo de interesse particular. [ITS] tinha um olho afiado para escolher grilos que venceriam.
76	Bookworm	O pai de [NAME] havia passado no exame imperial, mas nunca conseguiu se tornar um oficial provincial e assim viveu vicariamente [ENHIM], em quem todas as suas esperanças estavam depositadas. \nOs livros eram o único companheiro da criança desde pequena. E foi assim que essa criança se tornou um leitor ávido esquelético.
77	Slingshot Master	[NAME] era natural com o estilingue desde tenra idade e frequentemente o usava nas galinhas da tribo. \nUma vez [IT] um pouco mais velho, a tribo despachou a criança para os campos para usar essa habilidade com o estilingue para se proteger contra animais que roubavam suas colheitas.
78	Innate Affliction	[NAME] teve uma estranha aflição desde tenra idade que colocou os Meridianos da criança em desordem, impossibilitando a prática do Cultivo. Além disso, a criança também era propensa a desmaios. Cada vez que [NAME] desmaiava, um aroma estranho se espalhava, mas ao acordar a doença sempre parecia ser mais grave à medida que a criança ficava ainda mais fraca. \n[NAME] não pôde se envolver em nenhum trabalho pesado como resultado dessa estranha aflição.
79	Child from the West	[NAME] nasceu numa cidade fronteiriça de uma família de bárbaros. Aos sete anos, a tribo de [ENHIM] foi conquistada pelos da Planície Central e transformada em escravos. A posição de \n[NAME] era a mais baixa possível, e não ser capaz de entender a linguagem daqueles da Planície Central não ajudou, apenas criou mais obstáculos. Isso tornou [ENHIM] ainda mais introvertido.
80	Prince	[NAME] é um dos príncipes da atual dinastia. Como tal, a educação e o treinamento extenuantes para entender as lutas internas eram comuns. \nNa adolescência, [NAME] foi incriminado pelo filho mais velho do Imperador. Para escapar vivo do palácio [NAME] fingiu-se de morto.
81	Puppet Emperor	[NAME] subiu ao trono aos três anos de idade antes de passar anos se aquecendo na adulação dos bajuladores da corte. O tempo todo, seu regente controlava tudo nos bastidores. \nQuando [NAME] atingiu a idade de treze [ITS] regente encenou um golpe. [NAME] escapou com ajuda... Mas [ITS] a vida de luxo chegou ao fim.
82	Child Soldier	[NAME] nasceu em um mundo de caos, abundavam senhores da guerra que não deixavam nem uma criança ficar livre. E foi assim que [NAME] foi forçado a entrar em serviço. \n[NAME] acompanhou a tropa sobre a terra, atendendo às tarefas necessárias. O senhor da guerra acabou sendo derrotado e esta criança foi finalmente livre.
83	Orphan of the Mine	Os pais de [NAME] eram mineiros e então [NAME] cresceu em um galpão de mineração. \nAté que houve um acidente de mineração, ou seja, que tirou os amores do pai e da mãe dessa criança. Para sobreviver, [NAME] foi forçado a entrar em serviço na mina com uma picareta na mão.
84	Pickpocket	O pai de [NAME] era um gangster que viveu sua vida jogando e roubando. Crescer cercado pelo ambiente proporcionado por esse tipo de modelo naturalmente levou [NAME] a esperar algo por nada e, assim, também a roubar. A aparência de \n[NAME] engana os outros e faz com que eles baixem a guarda. Como resultado, [IT] tem muita prática desde tenra idade.
85	Pickpocket	[NAME] foi sequestrado e vendido a um bando de ladrões ainda jovem. \nEnquanto roubava uma vez, [NAME] colocou uma nota pedindo ajuda no bolso de um alvo e as autoridades foram alertadas. O bando de ladrões foi pego e [NAME] foi salvo.
86	Disabled Youth	[NAME] perdeu uma orelha e um braço para um javali quando era apenas uma criança. [NAME] teve a sorte de sobreviver, mas nunca mais seria o mesmo. \n[NAME] não foi desencorajado por isso, mas tomou essa experiência como uma desculpa para treinar ainda mais. Aos dez anos, [NAME] achava que [ITS] Treinar era suficiente para partir para as montanhas em busca de vingança contra o javali. Infelizmente [IT] não saiu das montanhas sem ter [ITS] as pernas quebradas primeiro. [IT] não conseguiu se recuperar desse revés.
87	Disabled Youth	[NAME] sofria de uma estranha doença que fazia com que, aos dez anos de idade, a criança não continuasse a crescer e, assim, para sempre parecesse criança. \nIsso deu [ENHIM] alguns problemas, pois [ENHIM] era incapaz de cuidar de si mesmo como um adulto normal faria.
88	Mute	[NAME] teve febre alta uma vez quando jovem que saiu [ENHIM] com danos cerebrais. Isso deixou [ENHIM] com algumas deficiências mentais, como a perda da capacidade de falar. \n[NAME] se sentia deprimido como resultado e assim passava todos os dias perdido em caligrafia e jogos para atenuar a dor da perda.
89	Scapegoat	[NAME] era filho do guarda do portão da casa de um general. Aos dez anos, o general foi pego em turbulência política e acabou sendo perseguido. Para continuar a linhagem, o general teve [NAME] ir em vez do Jovem Mestre. \n[NAME] não estava disposto a morrer por isso e assim matou o Jovem Mestre durante o caos e fugiu.
90	Cultivator Youth	[NAME] nasceu em uma pequena vila que tinha uma seita próxima conhecida como o Portão Negro. [NAME] foi escolhido para servir como discípulo externo desde tenra idade. \nEmbora [IT] tenha sido posteriormente expulso, mas aqueles anos passados ​​como discípulo externo deixaram [ENHIM] com uma base de conhecimento da Prática que se revelaria bastante útil.
91	Medicine Child	[NAME] acompanhava um velho curandeiro e era responsável por buscar remédios e anotar prescrições. \nUma vez [NAME] pegou a dosagem errada e o paciente quase perdeu a vida. Como resultado [NAME] foi abandonado pelo curador.
92	Chronic Invalid	[NAME] nasceu prematuro e, portanto, frágil. A criança ficava doente com frequência e demorava a se curar, não importando a doença. Como resultado, [NAME] passou [ITS] a infância tomando remédios.
93	Tundra Child	[NAME] faz parte de uma tribo que reside na fronteira norte. A neve pesada cobre a terra no inverno e a pesca no gelo e a caça são os únicos meios pelos quais a tribo pode subsistir. \n[NAME] exibiu um talento para a caça desde tenra idade. [NAME] freqüentemente ia caçar lebres, raposas e outros pequenos animais na tundra.
94	Gobi Vagabond	[NAME] nasceu em uma cidade no deserto de Gobi. Quando pequena, uma grande tempestade de areia engoliu a cidade. [IT] seguiu alguns sobreviventes enquanto vagavam. \nAlguns anos na estrada tornaram a vida e a morte, bem como a amargura da existência humana, uma visão familiar e assim [IT] perdeu [ITS] a sensação de esperança para o mundo.
95	One with the Water	[NAME] nasceu em uma área ao sul do rio Yangtze, onde abundam rios e lagos. A cidade natal de [NAME] ficava em um desses mesmos rios. As casas eram conectadas por hidrovias e isso conferia uma singularidade aos costumes dos que ali viviam. A família de \n[NAME] administrava uma loja geral. [NAME] andava de barco pela cidade tentando vender as mercadorias da loja.
96	Mountain Youth	[NAME] nasceu em uma grande montanha e viajou com [ITS] irmão mais velho. \nO que [NAME] mais gostava era sair procurando cogumelos depois que chovia, que a criança sempre encontrava mais que [ITS] irmão mais velho era a cereja do bolo.
97	Young General	[NAME] era um jovem general do Exército da Chama Vermelha e possuía proezas militares excepcionais desde tenra idade. \nInfelizmente todo o exército pereceu ironicamente em um incêndio. [IT] conseguiu escapar, mas acabou envenenado.
98	A Life of Godliness	A mãe de [NAME] teve complicações durante o parto e morreu. Assim que [NAME] nasceu, havia uma fragrância misteriosa que abundava e, embora fosse primavera, todas as flores da cidade murcharam aparentemente sem causa. \nComo a constituição de [NAME] era única, fantasmas e monstros eram facilmente atraídos. [NAME] encontrou um monge uma vez quando jovem que deu [ENHIM] algumas contas de Buda e uma capa preta para carregar, não importa onde [NAME] vá. Finalmente [NAME] conheceu a paz.
99	Kung Fu Aristocrat	O pai de [NAME] era o especialista da família, mas em uma partida importante, ele fez um sacrifício pela família e acabou inválido. O pai então colocou todas as suas esperanças nos ombros do filho. Infelizmente, os talentos de [NAME] eram medianos e, portanto, o progresso era lento. \nDurante uma aventura fortuita, [NAME] encontrou um amuleto de pedra em uma misteriosa piscina de água. Com a ajuda do amuleto, [ITS] Cultivo cresceu aos trancos e barrancos e assim [NAME] tornou-se o gênio da família.
100	Divine Gift	Os talentos naturais de [NAME] pareciam ilimitados e aos oito [ITS] a força era páreo para um adulto. A criança podia empunhar uma maça de ferro e mover grandes pedras. \n[NAME] viveu até o nome [ITS] e ainda treinou ainda mais, apesar do poder [ITS] superar em muito o de [ITS] colegas.
501	Storied Warrior	As habilidades de artes marciais de [NAME] eram impressionantes e, portanto, entre os plebeus, essa era uma figura parecida com a do robinhood. Durante uma batalha uma vez, [NAME] ficou com uma cicatriz longa e estreita no rosto [ITS] que deixou este com uma visão cruel.
502	Swordswoman	As habilidades de artes marciais de [NAME] eram impressionantes e, portanto, entre os plebeus, essa era uma figura parecida com a do robinhood. Enquanto viajava pela terra, [ITS] companheiro tentou salvar [NAME] e morreu no processo. [NAME] ficou muito desanimado com isso e assim deixou o mundo do guerreiro.
503	Retired Bodyguard	[NAME] era guarda-costas até levar uma flechada no joelho enquanto guardava um alvo.
504	Landlord's Evil Slave	[NAME] era o escravo malvado de um senhorio. Muitos anos intimidando os fracos e temendo os fortes fizeram com que [NAME] entendesse a importância de aceitar completamente uma situação primeiro. \nNo entanto, no final, houve uma vez em que [NAME] enfrentou a pessoa errada e teve que viver fugindo.
505	Butcher	[NAME] costumava ser um açougueiro que matava todos os tipos de animais para ganhar a vida. Uma vida tão dura deu [NAME] um físico robusto. Tantos anos de abate também fizeram [NAME] se acostumar com o cheiro de sangue e morte.
506	Farmer	[NAME] era agricultor e estava bem acostumado ao trabalho duro. Mas esse trabalho duro teve seu preço no corpo e na mente.
507	Craftsman	[NAME] estava acostumado a criar obras de arte tendo feito isso para ganhar a vida. Como resultado do trabalho envolvido [NAME] teve notável destreza.
508	Bandit	[NAME] foi forçado pela vida a se tornar um bandido e a viver uma vida que endurece o coração de quem o segue. Mas, esse tipo de estilo de vida também cobrou seu preço [ENHIM]. [IT] perdeu um braço uma vez para permitir que [ENHIM] escapasse de ser capturado por oficiais.
509	Teahouse Lurker	[NAME] era um espreitador em uma casa de chá. A vida no fundo levou [ENHIM] a se familiarizar bastante com as maneiras de agradar os outros. Este tipo de ambiente também inculcou alguém com algumas habilidades culinárias.
510	Storyteller	[NAME] herdou o legado de um contador de histórias e contou [ITS] sua própria história da seguinte forma: Um burro vagando, contando histórias para ganhar a vida.
