书	Escritura
戊己七魄屎	Estrume das Sete Almas Centrais
垃圾	Lixo
行疆阴魂散	Veneno de Aparição Errante
长生涤心线	Cordão de Purificação da Mente da Longa Vida
琴谱	Partitura
长生莲花卷	Pergaminho da Flor de Lótus da Longa Vida
野猪皮	Pele de Javali
地龙七星革	Capa das Sete Estrelas do Dragão Terrestre
断岳炼魔珏	Tablete de Fundição Demoníaca da Montanha Quebrada
万里散	Pó de Longa Marcha
地龙极光散	Pó de Aurora do Dragão Terrestre
棕石	Pedra Marrom
戊己阴魂石	Rocha de Aparição Central
石髓	Essência de Pedra
己土紫霞珏	Estela do Brilho Matinal Roxo Sombrio Central
黑布清凉下裳	Calças Refrescantes de Tecido Preto
引魂衣	Camisa de Atração da Alma
五雷天枢珏	Tablete Dubhe dos Cinco Trovões
熊皮	Pele de Urso
麒麟涤心革	Capa de Purificação da Mente de Kirin
火铜矿石	Minério de Igneocobre
万骨金	Estela de Todos os Ossos
木针灸	Agulha de Acupuntura
碧光七魄刺	Espinho das Sete Almas Opalescentes
灰石砖	Bloco de Pedra Cinzenta
万里珏	Dualjade de Longa Marcha
红布	Tecido Vermelho
青龙斩魄纱	Gaze de Abate de Almas de Azuragon
铁农具	Ferramenta Agrícola de Ferro
震雷锄	Enxada do Trovão
彩云魔骨碑	Rocha Demoníaca de Ossos de Nuvem Iridescente
兔肉	Carne de Coelho
己土千魂糜	Agregado de Mil Almas Sombrio Central
木矿镐	Picareta de Madeira
苍龙冲虚镐	Picareta de Marinagon Frente ao Vazio
龟蛋	Ovo de Tartaruga
腾岳道德卵	Ovo Moral da Colina Ascendente
道德毒	Veneno Moral
长生天心衣	Camisa do Coração Celestial da Longa Vida
白布	Tecido Branco
碧光阴魂帛	Têxtil de Aparição Opalescente
肉干	Carne Seca
腾岳炽魂干	Carne Seca de Espírito Flamejante da Colina Ascendente
黄布伞	Guarda-chuva Amarelo
太极灵血伞	Guarda-chuva do Sangue Espiritual Supremo
奇怪的蘑菇	Cogumelo Estranho
彩云斩仙菇	Cesta de Abate Imortal de Nuvem Iridescente
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
五云苍穹御	Vestuário do Firmamento dos Cinco Nuvens
黄布	Tecido Amarelo
碧光万骨罗	Têxtil de Todos os Ossos Opalescente
寒晶锭	Barra de Cristal de Gelo
修蛇流星碑	Dualjade da Estrela Cadente da Serpente
甲乙彩云纱	Gaze de Nuvem Iridescente Oriental
甲乙灵血弓	Arco de Sangue Espiritual Oriental
灵木料	Madeira Espiritual
苍龙灵骨木	Madeira de Ossos Espirituais de Marinagon
野猪皮修行衣衫	Traje de Cultivador de Pele de Javali
五行神甲	Camisa Divina dos Cinco Elementos
靛蓝布厚制衣衫	Traje de Inverno de Tecido Índigo
苍莽极光衫	Camisa de Aurora Colossal
腾岳驱邪散	Pó de Expulsão do Mal da Colina Ascendente
苍莽三清卷	Partida de Tríplice Pureza Colossal
五行罩	Barreira dos Cinco Elementos
黑布	Tecido Preto
苍龙四象纱	Têxtil dos Quatro Elementos de Marinagon
万象斩仙局	Partida de Abate Imortal de Todos os Fenômenos
青龙灵血桩	Coluna de Sangue Espiritual de Azuragon
甲乙万骨罗	Têxtil de Todos os Ossos Oriental
观音土	Argila de Guanyin
戊己斩仙灵宝	Tesouro Numinoso de Abate Imortal Central
腾岳飞星御	Camisa de Estrelas Voadoras da Colina Ascendente
苍龙卷	Volume de Marinagon
灵石砖	Bloco de Pedra Espiritual
万世环空石	Dualjade do Chakram de Vácuo de Todas as Gerações
蓝布	Tecido Azul
大日天璇罗	Têxtil do Grande Merak Solar
花布修行下裳	Calças de Cultivador de Tecido Floral
苍龙炼心御	Vestuário de Mente Refinada de Marinagon
星髓角料	Resíduo do Núcleo Luminífero
驱邪碎	Fragmento de Expulsão do Mal
庇世石	Torre Seclusa de Pedra
己土饮血圭	Selo de Drenagem de Sangue Sombrio Central
金丝木环	Chakram de Madeira Dourada
千光环	Chakram dos Mil Raios
寒晶剑	Espada de Cristal de Gelo
逆浪七魄剑	Espada das Sete Almas Marinhas
兔皮厚制下裳	Calças de Inverno de Pele de Coelho
麒麟道德甲	Armadura Moral de Kirin
木	Madeira
蓝布厚制衣衫	Camisa de Inverno
苍莽魂衣	Colossal Soul Shirt
牛皮	Pele de Touro
坤元魔骨革	Barreira Demoníaca Terrestre
金丝木针灸	Agulha de Acupuntura
长生玄光针	Agulha de Luz Escura da Longa Vida
己土异骨碑	Estela de Osso Incomum Sombrio
野猪皮手帕	Lenço
万里妖帛	Lenço Demoníaco Marchante
天岭灵骨石	Estela de Osso Espiritual da Cordilheira
断岳天地钉	Fragmento de Demolição do Céu e da Terra
地龙七魄粪	Fezes das Sete Almas do Dragão Terrestre
青龙极光木	Coluna de Aurora de Azuragon
大理石	Mármore
坤元玄光珏	Pedra de Luz Escura Terrestre
碧光磨骨柱	Galho de Trituração Óssea Opalescente
行疆五行陀	Toalha dos Cinco Elementos Itinerante
灰石	Pedra Cinzenta
地龙霓光石	Selo de Luz Neon do Dragão Terrestre
冲虚极光珏	Torre de Aurora Frente ao Vazio
流星开阳珏	Estela de Mizar da Estrela Cadente
木铃铛	Sino
青龙斩仙铃	Sino de Abate Imortal de Azuragon
甲乙涤心碎	Fragmento de Mente Limpa Oriental
狼皮厚制衣衫	Camisa de Inverno
麒麟天心甲	Camisa do Coração Celestial de Kirin
神珀符	Talismã Sagrado
苍莽问心禁	Proibição da Consciência Clara Colossal
紫布	Tecido Roxo
青龙万象帛	Fio de Todos os Fenômenos de Azuragon
野猪皮休闲下裳	Calças Casuais de Pele de Javali
坤元极光御	Veste Aurora Terrestre
坤元障	Capa Terrestre
红烧熊肉	Refeição Simples
极光灵宝	Tesouro Numinoso Aurora
万里七星散	Veneno das Sete Estrelas de Longa Marcha
天心珏	Metal do Coração Celestial
五雷炼魔珏	Metal de Fundição Demoníaca dos Cinco Trovões
灵木骰子	Dados
青龙炼魔骰	Dados de Fundição Demoníaca de Azuragon
碧光禁	Talismã Opalescente
地龙摇光镇	Pedra Alkaid do Dragão Terrestre
兔皮	Pele de Coelho
坤元白骨革	Couro de Osso Branco Terrestre
苍龙魂帛	Têxtil da Alma de Marinagon
蓝布薄衣衫	Camisa Fina de Tecido Azul
神衫	Camisa Divina
环空斩魔符	Talismã de Abate Demoníaco do Chakram
苍龙道德纱	Fio Moral de Marinagon
惊波斩魔金	Metal de Abate Demoníaco Turquesa
五云镇	Dualjade dos Cinco Nuvens
万里幻空罩	Capa do Éon Marchante
莲藕	Raiz de Lótus
凝光藕	Raiz de Lótus Água
长生千光册	Volume dos Mil Raios da Longa Vida
熊皮修行下裳	Calças de Cultivador de Pele de Urso
腾岳炼魔甲	Veste de Fundição Demoníaca da Colina Ascendente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
碧光斩魔衣	Veste de Abate Demoníaco Opalescente
木长枪	Lança de Madeira
天璇引魂枪	Lança de Atração da Alma de Merak
长生炼心柱	Madeira do Coração Refinado da Longa Vida
苍穹镇	Dualjade do Firmamento Celestial
灵血符	Talismã de Sangue Espiritual
苍龙魔骨咒	Encantamento Demoníaco de Ossos de Marinagon
甲乙炼魂桩	Estaca de Refino da Alma Oriental
神符	Talismã Divino
天玄赤血罩	Couro de Sangue Carmesim Daroth
熊皮休闲衣衫	Camisa Casual de Pele de Urso
行疆道德甲	Camisa Moral Itinerante
碧光阴魂碎	Fragmento de Aparição Opalescente
阴魂灵宝	Tesouro Numinoso de Aparição
昙花水梨汤	Refeição Simples
凝光千光灵宝	Tesouro Numinoso dos Mil Raios Água
玉石骰子	Dados de Jade
万里问心骰	Dados de Consciência Clara de Longa Marcha
紫云流光阙	Estela do Tempo de Nuvem Roxa
震雷七魄珏	Roca dos Sete Espíritos do Trovão
木环	Chakram de Madeira
青龙问心环	Chakram de Consciência Clara de Azuragon
碧光灵血咒	Encantamento de Sangue Espiritual Opalescente
幻空千魂木	Madeira dos Mil Espíritos do Éon
戊己千光幕	Ensopado dos Mil Raios Central
碳烤牛腿	Refeição Simples
先天鬼灵宝	Tesouro Numinoso do Fantasma da União Celestial
蘑菇高汤浇饭	Refeição Refinada com Caldo de Cogumelo
紫云灵宝	Tesouro Numinoso de Nuvem Roxa
苍莽诛神纱	Fio de Castigo Divino Colossal
地龙庇世糜	Toalha Seclusa do Dragão Terrestre
地龙魔印	Dualjade Demoníaco do Dragão Terrestre
戊土飞羽革	Capa de Pena Sinistra Terrestre
天龙砂	Fezes de Dragão
万里庇世粪	Fezes Seclusas de Longa Marcha
摇光天心局	Partida do Coração Celestial Alkaid
地龙天罡渣	Veneno do Grande Carro do Dragão Terrestre
灵血衣	Camisa de Sangue Espiritual
蛇蛋	Ovo de Serpente
万里万骨球	Geração de Todos os Ossos Marchante
冲虚恶魄印	Estela de Alma Maléfica Frente ao Vazio
熊肉	Carne de Urso
斩魔幕	Agregado de Abate Demoníaco
木农具	Ferramenta Agrícola de Madeira
苍龙炼魔锄	Enxada de Fundição Demoníaca de Marinagon
面粉	Farinha
环空辟邪粉	Pó de Repulsão do Mal do Chakram
玉石	Jade
己土碑	Tablete Sombrio
花布厚制衣衫	Camisa de Inverno
长生七星甲	Veste dos Sete Estrelas da Longa Vida
行疆七魄罩	Couro das Sete Almas Itinerante
青龙索	Corda de Azuragon
玉石角料	Resíduo de Jade
天岭冲虚钉	Prego de Frente ao Vazio da Cordilheira
黄布厚制下裳	Calças de Inverno
青龙鬼甲	Armadura Fantasma de Azuragon
震雷赤血珏	Metal de Sangue Carmesim do Trovão
龟肉	Carne de Tartaruga
万象阴魂幕	Ensopado de Aparição de Todos os Fenômenos
玉石砖	Bloco de Jade
行疆赤血碑	Rocha de Sangue Carmesim Itinerante
大理石手镯	Bracelete de Mármore
腾岳鬼镯	Bracelete Fantasma da Colina Ascendente
地龙炼心渣	Pó de Mente Refinada do Dragão Terrestre
甲乙六合线	Cordão dos Seis Sentidos Oriental
镇岳天心阙	Pedra do Coração Celestial da Colina Caída
地龙彩云障	Barreira de Nuvem Iridescente do Dragão Terrestre
紫布厚制下裳	Calças de Inverno
七杀诛神衣	Camisa de Punição Divina das Sete Mortes
长生魂绫	Cordão da Alma da Longa Vida
腾岳饮血砂	Fezes de Drenagem de Sangue da Colina Ascendente
面饼	Pão
地龙饼	Panqueca do Dragão Terrestre
白虹斩魔绫	Cordão de Abate Demoníaco do Arco Branco
镇岳流光圭	Tablete do Tempo da Colina Caída
寒精刀	Lâmina de Gelo
玄武天璇刀	Lâmina de Merak da Tartaruga Negra
兔皮休闲衣衫	Camisa Casual de Pele de Coelho
妖衣	Vestuário Demoníaco
天雷碑	Dualjade do Trovão Celestial
地龙大日石	Estela do Grande Dia do Dragão Terrestre
黑布休闲衣衫	Camisa Casual de Tecido Preto
碧光无上甲	Veste Suprema Opalescente
虎皮休闲衣衫	Camisa Casual de Pele de Tigre
幻空斩仙衫	Camisa de Abate Imortal do Éon
苍穹流光木	Coluna do Tempo do Firmamento Celestial
六合桩	Estaca dos Seis Sentidos
牛肉	Carne de Touro
坤元千光幕	Ensopado dos Mil Raios Terrestres
碧光斩魔纱	Têxtil de Abate Demoníaco Opalescente
靛蓝布修行下裳	Calças de Cultivador de Tecido Índigo
青龙三清衫	Armadura de Tríplice Pureza de Azuragon
苍莽禁	Talismã Colossal
甲乙妖卷	Pergaminho Demoníaco Oriental
坤元斩魄砂	Pó de Abate de Almas Terrestre
蛙肉	Carne de Rã
天岭陀	Ensopado da Cordilheira
己土饮血散	Veneno de Drenagem de Sangue Sombrio
天机涤心甲	Veste de Mente Limpa de Phecda
断岳荡魔碎	Fragmento de Exorcismo do Mal da Demolição da Montanha Quebrada
金丝木角料	Resíduo de Madeira Dourada
合天万骨镖	Dardo de Todos os Ossos da União Celestial
戊己球	Bola Central
狼皮休闲衣衫	Camisa Casual de Pele de Lobo
坤元恶魄甲	Armadura de Alma Maléfica Terrestre
青龙合天枪	Lança da União Celestial de Azuragon
青龙饮血纱	Fio de Drenagem de Sangue de Azuragon
猪妖的精肉	Carne Nobre de Porco Demônio
戊土千光干	Seco dos Mil Raios Sinistro Terrestre
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
苍龙极光衣	Veste de Aurora de Marinagon
紫霞霓光陀	Toalha de Neon de Brilho Matinal Roxo
千棱神玉	Jade Divino
镇岳饮血石	Dualjade de Drenagem de Sangue da Colina Caída
狼皮	Pele de Lobo
戊己罩	Couro Central
己土魔骨罩	Couro Demoníaco Sombrio
梧桐木料	Madeira de Parasol
苍龙魔骨柱	Coluna de Ossos Demoníacos de Marinagon
苍莽三清符	Encantamento de Tríplice Pureza Colossal
玄铁矿石	Minério de Ferro Escuro
四象玄光印	Estela de Luz Escura dos Quatro Elementos
腾岳云浪毒	Pó de Nuvem do Mar da Colina Ascendente
甲乙五色帛	Fio Prismático Oriental
天岭斩魔袋	Pó de Abate Demoníaco da Cordilheira
棕石手镯	Bracelete de Pedra Marrom
坤元圣镯	Bracelete Sagrado Terrestre
戊土斩魄散	Resíduo de Abate de Almas Sinistro Terrestre
幻空万魂纱	Fio de Todas as Almas do Éon
紫布清凉下裳	Calças de Verão de Tecido Roxo
魔甲	Armadura Demoníaca
苍龙五色线	Corda Prismática de Marinagon
棕石长枪	Lança de Pedra Marrom
戊己枪	Lança Central
白布清凉衣衫	Camisa de Verão de Tecido Branco
碧光彩云衫	Armadura de Nuvem Iridescente Opalescente
青龙紫云柱	Coluna de Nuvem Roxa de Azuragon
长生索	Corda da Longa Vida
幻空极光印	Estela de Aurora do Éon
金丝木农具	Ferramenta Agrícola de Madeira Dourada
甲乙锄	Enxada Oriental
腾岳千魂毒	Resíduo de Mil Almas da Colina Ascendente
靛蓝布	Tecido Índigo
天枢天心纱	Têxtil do Coração Celestial de Dubhe
先天苍穹散	Resíduo do Firmamento Celestial da União Celestial
冰银炼魂阙	Estela de Refino da Alma de Prata Gelada
苍穹粪	Fezes do Firmamento Celestial
腾岳斩魄圭	Dualjade de Abate de Almas da Colina Ascendente
苍龙极光桩	Madeira de Aurora de Marinagon
青龙魂局	Partida da Alma de Azuragon
戊土斩魄革	Barreira de Abate de Almas Sinistro Terrestre
清炒蘑菇	Refeição Simples de Cogumelos Salteados
碧光极光灵宝	Tesouro Numinoso de Aurora Opalescente
野猪皮厚制衣衫	Camisa de Inverno de Pele de Javali
九宫炽魂御	Camisa de Espírito Flamejante dos Nove Palácios
己土万魂毒	Pó de Todas as Almas Sombrio Terrestre
青龙流光书	Livro do Tempo de Azuragon
震雷斩仙阙	Metal de Abate Imortal do Trovão
天罡恶魄毒	Pó de Alma Maléfica do Grande Carro
镇岳魔骨砂	Guano Demoníaco da Colina Caída
寒晶角料	Resíduo de Cristal de Gelo
归源万魂碎	Fragmento de Todas as Almas Primordial
佳肴	Refeição Refinada
镇岳霓光灵宝	Tesouro Numinoso de Luz Neon da Colina Caída
天柱石砖	Bloco de Pedra Sagrada
坤元万魂镇	Estela de Todas as Almas Terrestre
地龙渣	Veneno do Dragão Terrestre
寒晶弓	Arco de Cristal de Gelo
惊波万世弓	Arco de Todas as Gerações Turquesa
碧光神绳	Cordão Divino Opalescente
圣绳	Fio Sagaz
黄布修行下裳	Calças de Cultivador de Tecido Amarelo
碧光鬼甲	Armadura Fantasma Opalescente
天雷驱邪阙	Dualjade de Expulsão do Mal do Trovão Celestial
兔皮修行下裳	Calças de Cultivador de Pele de Coelho
镇岳天权甲	Camisa de Megrez da Colina Caída
水	Água
百汇水	Água Convergente
苍龙圣线	Fio Sagaz de Marinagon
地龙六合阙	Estela dos Seis Sentidos do Dragão Terrestre
青龙炼魂罗	Gaze de Refino da Alma de Azuragon
小麦	Trigo
腾岳冲虚索	Fio Frente ao Vazio da Colina Ascendente
万里三清碑	Torre de Tríplice Pureza de Longa Marcha
苍龙赤血图	Quadro de Sangue Carmesim de Marinagon
麒麟障	Capa de Kirin
甲乙斩魄卷	Imagem de Abate de Almas Oriental
青龙紫云线	Cordão de Nuvem Roxa de Azuragon
苍莽五色桩	Estaca Prismática Colossal
腾岳阙	Dualjade da Colina Ascendente
碧光荡魔禁	Encantamento de Exorcismo do Mal Opalescente
长生炼魂图	Pergaminho de Refino da Alma da Longa Vida
青龙天地索	Corda de Céu e Terra de Azuragon
行疆天地石	Estela de Céu e Terra Itinerante
断岳印	Tablete de Demolição
坤元七魄革	Couro das Sete Almas Terrestres
地龙炼魔障	Barreira de Fundição Demoníaca do Dragão Terrestre
戊土散	Resíduo Sinistro Terrestre
蓝布厚制下裳	Calças de Inverno de Tecido Azul
长生斩魔御	Camisa de Abate Demoníaco da Longa Vida
腾岳炽魂石	Selo de Espírito Flamejante da Colina Ascendente
青龙白骨桩	Madeira de Osso Branco de Azuragon
甲乙桩	Madeira Oriental
狼皮薄衣衫	Camisa Fina de Pele de Lobo
戊土御	Veste Sinistra Terrestre
麒麟磨骨印	Rocha de Trituração Óssea de Kirin
金丝灵木	Madeira de Ouro
青龙落影枝	Galho de Sombras Caídas de Azuragon
坤元问心陀	Agregado de Consciência Clara Terrestre
碧光引魂绫	Cordão de Atração da Alma Opalescente
黑布厚制衣衫	Camisa de Inverno de Tecido Preto
碧光霓光甲	Veste de Luz Neon Opalescente
万里魂干	Alma Seca Marchante
戊己印	Pedra Central
苍龙九宫图	Quadro dos Nove Palácios de Marinagon
归源镖	Dardo Primordial
修蛇钉	Prego da Serpente
断岳飞羽圭	Dualjade de Pena de Demolição
落影磨骨灵宝	Tesouro Numinoso de Trituração Óssea das Sombras Caídas
寒精锭	Barra de Essência de Gelo
癸水屠神镇	Selo de Massacre Divino Equânime
天岭五色干	Seco Prismático da Cordilheira
戊土辟邪枪	Lança de Repulsão do Mal Sinistra Terrestre
花布休闲衣衫	Camisa Casual de Tecido Floral
八极御	Camisa dos Oito Pólos
寒晶矿石	Minério de Cristal de Gelo
归源碑	Torre Primordial
麒麟辟邪渣	Pó de Repulsão do Mal de Kirin
冲虚万魂木	Madeira de Todas as Almas Frente ao Vazio
碧光苍穹图	Pergaminho do Firmamento Celestial Opalescente
神禁	Proibição Divina
灵晶砖	Bloco de Cristal Espiritual
无上驱邪镇	Pedra Suprema de Expulsão do Mal
长生四象卷	Pergaminho dos Quatro Elementos da Longa Vida
梨	Pêra
癸水阴魂珠	Glóbulo de Aparição Equânime
魂卷	Partida de Alma
铁锤	Maça
白虎斩魔锤	Maça de Abate Demoníaco do Tigre Branco
腾岳斩魔衣	Camisa de Abate Demoníaco da Colina Ascendente
长生禁	Encantamento da Longa Vida
白虎极光阙	Metal de Aurora do Tigre Branco
坤元莲花灵宝	Tesouro Numinoso de Flor de Lótus Terrestre
镇岳问心粪	Guano de Consciência Clara da Colina Caída
麒麟斩魔印	Selo de Abate Demoníaco de Kirin
蛇肉	Carne de Serpente
万里妖糜	Agregado Demoníaco Marchante
甲乙屠魔木	Coluna de Abate Demoníaco Oriental
逆浪屠魔藕	Raiz de Lótus de Abate Demoníaco Marinho
苍龙九宫骰	Dados dos Nove Palácios de Marinagon
腾岳诛神卵	Bola de Punição Divina da Colina Ascendente
玄武千光藕	Raiz de Lótus dos Mil Raios da Tartaruga Negra
天府涤心石	Estela de Purificação da Mente da Morada Celestial
青龙恶魄桩	Madeira de Alma Maléfica de Azuragon
甲乙斩仙罗	Fio de Abate Imortal Oriental
虎肉	Carne de Tigre
戊土极光幕	Ensopado de Aurora Sinistra Terrestre
天岭流光陀	Ensopado do Tempo da Cordilheira
天岭五色珏	Dualjade Prismático da Cordilheira
苍莽镖	Fragmento Colossal
镇岳罩	Barreira da Colina Caída
天地天机枝	Galho de Phecda de Céu e Terra
戊己天婵屎	Fezes Celestiais Centrais
地龙衫	Veste do Dragão Terrestre
七杀柱	Madeira das Sete Mortes
长生魔咒	Encantamento Demoníaco da Longa Vida
熊皮薄下裳	Calças Finas de Pele de Urso
天璇天地衣	Armadura de Céu e Terra de Merak
飞羽五色陀	Toalha Prismática de Pena
碧光符	Encantamento Opalescente
天火辟邪阙	Estela de Repulsão do Mal de Fogo Celestial
碧光天枢灵宝	Tesouro Numinoso de Dubhe Opalescente
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
碧光星宿衣	Vestuário de Constelações Opalescente
坤元三清砂	Fezes de Tríplice Pureza Terrestre
野猪皮薄下裳	Calças Finas de Pele de Javali
千光御	Armadura dos Mil Raios
无上灵血桩	Madeira de Sangue Espiritual Suprema
大日驱邪圭	Selo de Expulsão do Mal do Grande Dia
牛皮休闲衣衫	Camisa Casual de Pele de Boi
坤元异骨衣	Veste de Osso Incomum Terrestre
麒麟天权屎	Guano de Megrez de Kirin
四象太极卷	Imagem do Supremo Pólo dos Quatro Elementos
五雷引魂钉	Fragmento de Atração da Alma dos Cinco Trovões
七杀玄光水	Água de Luz Escura das Sete Mortes
青龙五色谱	Pergaminho Prismático de Azuragon
灵木	Madeira Espiritual
八极落影柱	Madeira das Sombras Caídas dos Oito Pólos
长生鬼符	Encantamento Fantasma da Longa Vida
落影五色桩	Madeira Prismática das Sombras Caídas
碧光千魂柱	Estaca de Mil Almas Opalescente
地龙磨骨障	Couro de Trituração Óssea do Dragão Terrestre
天权荡魔弓	Arco de Exorcismo do Mal de Megrez
野猪皮伞	Guarda-chuva de Pele de Javali
戊土五色伞	Guarda-chuva Prismático Sinistro Terrestre
己土万魂罩	Capa de Todas as Almas Sombria Terrestre
甲乙天玄卷	Pergaminho Daroth Oriental
长生赤血木	Galho de Sangue Carmesim da Longa Vida
长生饮血符	Encantamento de Drenagem de Sangue da Longa Vida
腾岳天心砂	Guano do Coração Celestial da Colina Ascendente
四象磨骨枝	Coluna de Trituração Óssea dos Quatro Elementos
花布	Tecido Floral
青龙斩魔帛	Têxtil de Abate Demoníaco de Azuragon
李氏龙涎果脯	Fruta de Âmbar Seco de Li
戊己五云果	Fruta dos Cinco Nuvens Central
苍龙神线	Marinagon Divino Damask
麒麟无极渣	Kirin Pó Infinito
苍莽七魄卷	Partida das Sete Almas Colossal
行疆飞羽球	Bola de Pena Itinerante
麒麟灵骨枪	Lança de Osso Espiritual de Kirin
天雷魔骨金	Tablete Demoníaco do Trovão Celestial
甲乙神环	Chakram Divino Oriental
开天灵骨圭	Estela de Osso Espiritual da Criação Celestial
熊皮修行衣衫	Traje de Cultivador de Pele de Urso
万里九宫御	Armadura dos Nove Palácios Marchante
万里道德毒	Veneno Moral Marchante
麒麟炼魔镇	Dualjade de Fundição Demoníaca de Kirin
逆浪五色球	Bola Prismática Marinha
火铜锤	Maça
圣锤	Maça Sagrada
天雷圣碑	Dualjade Sagaz do Trovão Celestial
寒精骰子	Dados de Essência de Gelo
壬水万魂骰	Dados de Todas as Almas Cascade
凝光道德碑	Roca Moral Aqua
霹雳七魄阙	Metal dos Sete Espíritos do Trovão
己土问心御	Armadura de Consciência Clara Sombria Terrestre
苍莽魂木	Coluna de Alma Colossal
归源紫霞圭	Torre de Brilho Matinal Roxo Primordial
甲乙千光柱	Madeira dos Mil Raios Oriental
行疆魂饼	Panqueca de Alma Itinerante
腾岳幕	Toalha de Mesa da Colina Ascendente
己土天璇圭	Pedra Merak Sombria Terrestre
红布休闲下裳	Calças Casuais de Tecido Vermelho
碧光驱邪御	Camisa de Expulsão do Mal Opalescente
玄铁角料	Resíduo de Ferro Escuro
天权斩仙镖	Fragmento de Abate Imortal de Megrez
行疆印	Roca Itinerante
铁弓	Arco de Ferro
断岳玄光弓	Arco de Luz Escura Demolidora
合天神谱	Folha Divina da União Celestial
己土粪	Fezes Sombrio Terrestre
庚辛玄光镇	Dualjade de Luz Escura Ocidental
己土斩魄渣	Resíduo de Abate de Almas Sombrio Terrestre
震雷神阙	Torre Divina do Trovão
碧光妖咒	Encantamento Demoníaco Opalescente
己土天府珏	Roca da Morada Celestial Sombria Terrestre
花布清凉下裳	Calças de Verão de Tecido Floral
长生屠魔甲	Vestuário de Abate Demoníaco da Longa Vida
甲乙阴魂纱	Fio de Aparição Oriental
花布修行衣衫	Traje de Cultivador de Tecido Floral
碧光异骨衫	Vestuário de Osso Incomum Opalescente
青龙问心木	Madeira de Consciência Clara de Azuragon
苍龙大日索	Cordão do Grande Dia de Marinagon
长生流星绫	Cordão de Estrela Cadente da Longa Vida
坤元斩魔渣	Veneno de Abate Demoníaco Terrestre
苍龙问心符	Proibição de Consciência Clara de Marinagon
天岭天玄罩	Barreira Daroth da Cordilheira
苍龙摇光图	Pergaminho Alkaid de Marinagon
铁矿角料	Resíduo de Minério de Ferro
无极磨骨镖	Fragmento de Trituração Óssea Infinita
碧光万世柱	Coluna de Todas as Gerações Opalescente
五色阙	Pedra Prismática
断岳万象镖	Dardo de Todos os Fenômenos da Demolição
天权钉	Prego de Megrez
苍莽炼心柱	Coluna de Mente Refinada Colossal
戊己玄光镯	Bracelete de Luz Escura Central
冲虚斩魔衫	Veste de Abate Demoníaco Frente ao Vazio
戊土阙	Tablete Sinistro Terrestre
万里神屎	Fezes Divinas Marchantes
