拜祖师	Reverenciando os Ancestrais
地龙天璇灵宝	Tesouro Numinoso Merak do Dragão Terrestre
肉干	 Carne Seca
昙花水梨汤	Sopa de Pera com Bagas de Espinheiro e Tâmaras
可以大幅提高炎热抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao calor.
太阴符	Talismã do Yin Supremo
花布清凉衣衫	Camisa de Verão de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Camisa de Inverno de Tecido Azul
龙鳞法衣	 Túnica de Escamas
阴寰法衣	 Túnica Sombria
烬灭法衣	 Túnica de Cinzas
蔽天法衣	 Túnica do Véu
阳华羽衣	 Túnica de Plumas
日炎金袍	 Túnica Dourada
火浣衣	 Túnica do Banho Ígneo
玄海流仙袍	 Robe do Fluxo
幽玄法衣	 Túnica Espectral
青鹤云裳	 Túnica da Garça
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para ocultar sua presença até certo ponto, ficar menos identificável durante aventuras e reduzir as chances de obter reputação.
匿踪符	Talismã de Invisibilidade
七巧蒸洪藕	Sobre o Portão do Dragão
牛肉丸	Almôndegas de Carne Bovina
干栋	Gan Dong
咸元	Xian Yuan
韶兴	Shao Xing
可以大幅提高寒冷抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao frio.
太阳符	Talismã do Yang Supremo
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Expositor de Pedra Espiritual
傀儡停放点	Ponto de Estacionamento do Vaso
灵石床	Cama de Pedra Espiritual
灵石手工桌	Bancada de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Farmácia de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Bancada de Alvenaria de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Forno de Alquimia de Pedra Espiritual
木砍柴处	Estação de Corte de Madeira
灵石炼宝台	Bancada de Fabricação de Pedra Espiritual
灵石熔炉	Forno de Fusão de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesa Quadrada Pequena de Pedra Espiritual
灵石水缸	Tina de Água de Pedra Espiritual
练功点	Ponto de Treino
灵石祖师牌位	Altar Ancestral de Pedra Espiritual
红布蒲团	Almofada de Tecido Vermelho
历练归来点	Ponto de Retorno da Jornada
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão da Seita de Pedra Espiritual
灵石神鹤灯	Lanterna do Grou Divino de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Candelabro do Dragão Amarelo de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	Poste de Treino de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石护山剑阵	Formação de Espadas Protetora da Montanha de Pedra Espiritual
木篝火	Fogueira de Madeira
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>钭世</font> ficou de bom humor por causa do <font color=OBJCOLOR>bom feng shui do quarto</font> e não resistiu: veio <font color=OBJCOLOR>dar uma olhada por aí</font> para desabafar.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	No meio da tarde, <font color=MYCOLOR>钭世</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>钭世</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>dormir no chão</font>; só conseguiu <font color=OBJCOLOR>ler livros e pergaminhos</font> para esvaziar a mente.
3天 15:18	3d 15:18
万里无云，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>钭世</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente sentiu muita saudade de casa.
5天 09:30	5d 09:30
凌冽寒风中，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>下棋</font>时，突然发现之前有一步下错了，气得拍了一下大腿。	No vento gelado e cortante, <font color=MYCOLOR>钭世</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente percebeu que tinha feito uma jogada errada antes e, de raiva, bateu na própria coxa.
99天 15:04	99d 15:04
钭	Tou
世	Shi
建立门派	Fundar uma Seita
私塾学子	Aluno de Escola Particular
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>dias ensolarados</font>.
4天 08:02	4d 08:02
<font color=MYCOLOR>晏春翠</font>看到<font color=HECOLOR>酆刚</font>打老远过来，就向他挥了挥手，打了个招呼。	Quando <font color=MYCOLOR>晏春翠</font> viu <font color=HECOLOR>酆刚</font> vindo de longe, acenou para ele e o cumprimentou.
5天 08:20	5d 08:20
<font color=MYCOLOR>晏春翠</font>看着旁边的<font color=OBJCOLOR>灵石墙</font>笑起来。	<font color=MYCOLOR>晏春翠</font> olhou para a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado e começou a sorrir.
99天 14:37	99d 14:37
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>酆刚</font> acabou de suspirar diante da paisagem deslumbrante ao redor. Vendo <font color=HECOLOR>晏春翠</font> bem ao lado, puxou conversa com ela. Quando o assunto chegou na <font color=OBJCOLOR>lanterna de pedra espiritual</font>, os dois tiveram muita sintonia e a conversa foi ficando cada vez mais profunda.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	Na seita, <font color=MYCOLOR>酆刚</font> viu que <font color=HECOLOR>晏春翠</font> parecia entediada e puxou assunto com ela sobre <font color=OBJCOLOR>gatos</font>.
2天 21:14	2d 21:14
<font color=MYCOLOR>酆刚</font>看到<font color=HECOLOR>晏春翠</font>打老远过来，就向她挥了挥手，打了个招呼。	Quando <font color=MYCOLOR>酆刚</font> viu <font color=HECOLOR>晏春翠</font> vindo de longe, acenou para ela e a cumprimentou.
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	No auge do dia, <font color=MYCOLOR>咸元</font>, ao <font color=OBJCOLOR>contemplar o céu concentrado</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>咸元</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente sentiu muita saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font> ficou de bom humor por estar com a <font color=OBJCOLOR>mente clara e serena</font> e não resistiu: veio <font color=OBJCOLOR>tocar música</font> para desabafar.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Ao pôr do sol, <font color=MYCOLOR>咸元</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente deixou as lágrimas caírem.
3天 18:07	3d 18:07
门派中，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>下棋</font>时，突然发现之前有一步下错了，气得拍了一下大腿。	Na seita, <font color=MYCOLOR>咸元</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente percebeu que tinha feito uma jogada errada antes e, de raiva, bateu na própria coxa.
5天 08:58	5d 08:58
咸	Xian
元	Yuan
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Aluno Bonito
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Na seita, <font color=MYCOLOR>熊子石</font> ficou em silêncio <font color=OBJCOLOR>observando as nuvens indo e vindo</font> e, de repente, lembrou de sua <font color=OBJCOLOR>mãe 慕容疏影</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font> ficou de bom humor por causa da <font color=OBJCOLOR>elevação de nível</font> e não resistiu: veio <font color=OBJCOLOR>tocar música</font> para desabafar.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>precisar de um quarto</font>; só conseguiu <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font> ficou de bom humor por estar com a <font color=OBJCOLOR>mente clara e serena</font> e não resistiu: veio <font color=OBJCOLOR>ler livros e pergaminhos</font> para desabafar.
3天 10:55	3d 10:55
门派中，<font color=MYCOLOR>熊子石</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Na seita, <font color=MYCOLOR>熊子石</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente deixou as lágrimas caírem.
99天 18:22	99d 18:22
门派中，<font color=MYCOLOR>熊子石</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Na seita, <font color=MYCOLOR>熊子石</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>昙花水梨汤</font>.
99天 21:19	99d 21:19
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Raiz Fatal
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font> ficou de bom humor por causa da <font color=OBJCOLOR>paisagem peculiar</font> e não resistiu: veio <font color=OBJCOLOR>ler livros e pergaminhos</font> para desabafar.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Num momento de descanso, <font color=MYCOLOR>从功</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Na seita, <font color=MYCOLOR>从功</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente deixou as lágrimas caírem.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	À hora Zi, <font color=MYCOLOR>从功</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>昙花水梨汤</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	Ao entardecer, <font color=MYCOLOR>从功</font>, ao <font color=OBJCOLOR>contemplar o céu concentrado</font>, de repente se sentiu irritado sem motivo.
4天 20:54	4d 20:54
门派中，<font color=MYCOLOR>从功</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>表妹解丹秋</font>。	Na seita, <font color=MYCOLOR>从功</font> ficou em silêncio <font color=OBJCOLOR>jogando Go</font> e, de repente, lembrou de sua <font color=OBJCOLOR>prima 解丹秋</font>.
99天 19:54	99d 19:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Centopeia Yin
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font>, ao <font color=OBJCOLOR>contemplar o céu concentrado</font>, de repente deixou as lágrimas caírem.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>南门墨竹</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava feliz por a roupa servir bem. Vendo que <font color=HECOLOR>毛依白</font> parecia entediada, puxou conversa com ela sobre <font color=OBJCOLOR>hobbies</font>.
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>韶兴</font> ficou de bom humor por estar com a <font color=OBJCOLOR>mente em harmonia</font> e não resistiu: veio <font color=OBJCOLOR>contemplar o céu concentrado</font> para desabafar.
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Com o céu claro e o ar puro, <font color=MYCOLOR>韶兴</font> ficou em silêncio <font color=OBJCOLOR>olhando o teto</font> e, de repente, lembrou de seu <font color=OBJCOLOR>pai 韶寂弦</font>.
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Com um céu vasto e limpo, <font color=MYCOLOR>韶兴</font> ficou em silêncio <font color=OBJCOLOR>tocando música</font> e, de repente, lembrou de sua <font color=OBJCOLOR>mãe 勾凤鸾</font>.
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>precisar de uma arma</font>; só conseguiu <font color=OBJCOLOR>jogar Go</font> para esvaziar a mente.
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com um céu vasto e limpo, <font color=MYCOLOR>韶兴</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
4天 04:16	4d 04:16
天朗气清，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	Com o céu claro e o ar puro, <font color=MYCOLOR>韶兴</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente sentiu muita saudade de casa.
5天 03:43	5d 03:43
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>precisar de uma arma</font>; só conseguiu <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
5天 06:54	5d 06:54
响午之后，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉丸</font>。	Depois do meio-dia, <font color=MYCOLOR>韶兴</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>牛肉丸</font>.
99天 15:36	99d 15:36
凌冽寒风中，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	No vento gelado e cortante, <font color=MYCOLOR>韶兴</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
99天 22:58	99d 22:58
天寒地冻中，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	No frio congelante, <font color=MYCOLOR>韶兴</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
100天 03:09	100d 03:09
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Senhor das Dez Mil Espadas
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu claro e o ar puro, <font color=MYCOLOR>陶飞</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente soltou um longo suspiro.
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	Ao cair da noite, <font color=MYCOLOR>陶飞</font>, enquanto <font color=OBJCOLOR>observava as estrelas à noite</font>, de repente sentiu muita saudade de casa.
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	À hora Zi, <font color=MYCOLOR>陶飞</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente sentiu muita saudade de casa.
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Na seita, <font color=MYCOLOR>陶飞</font> ficou em silêncio <font color=OBJCOLOR>tocando música</font> e, de repente, lembrou de seu <font color=OBJCOLOR>pai 陶寂弦</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Na seita, <font color=MYCOLOR>陶飞</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>昙花水梨汤</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Na seita, <font color=MYCOLOR>陶飞</font> ficou em silêncio <font color=OBJCOLOR>jogando Go</font> e, de repente, lembrou de sua <font color=OBJCOLOR>mãe 国黛</font>.
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Senhor da Onda Inversa
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	À hora You, <font color=MYCOLOR>葛慕儿</font> ficou em silêncio <font color=OBJCOLOR>tocando música</font> e, de repente, lembrou de sua <font color=OBJCOLOR>mãe 鲁之玉</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com um céu vasto e limpo, <font color=MYCOLOR>葛慕儿</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
4天 08:47	4d 08:47
