ItemName	Descript
Item_YanDaoGuo	Attainment, Wood, Purple
Item_QieDaoGuo	Divine Punishment, Wood, Blue
Item_Dan_TreeEXP	Spherical, Transparent, Inspiration
Item_Dan_ExtremeLofty	In gourd, Golden, Heals wound
Item_ExtremeJade	Hard, Blue, Spiritual
Item_XianDaoShenNian	Spherical, Potential, Green
Item_XianDaoXieNian	Spherical, Potential, Purple
Item_Dan_HundredRefine	Golden, Spherical, Cultivation
Item_Dan_ZhuLongDan1	Sub-spirit, Colorful, Spherical
Item_ThunderAir	Spherical, Inedible, Heavenly Tribulation
Item_XianBone	Bone, Attainment, No Elements
Item_ZaoHuaYuZi	Cyan, No Elements, Essence
Item_Dan_LingYuanZhong	Cyan, Spiritual, No Elements
Item_Dan_ReBorn_4	Spherical, Red, Prolongs life
Item_BenYuan_None	No Elements, Attainment, Essence
Item_BenYuan_Jin	Golden, Attainment, Essence
Item_BenYuan_Mu	Green, Attainment, Essence
Item_BenYuan_Shui	Blue, Attainment, Essence
Item_BenYuan_Huo	Red, Attainment, Essence
Item_BenYuan_Tu	Brown, Attainment, Essence
Item_Yao_RabbitLuck	Water, Fluffy
Item_Yao_WolfAtk	Metal, Hard
Item_Yao_SnakeHanLin	Water, Hard
Item_Yao_BearPiMao	Fire, Fluffy
Item_Yao_TurtleKe	Hard, Earth
Item_BoarMeat	Earth, Brown, Food
Item_StrangeMush	Wood, Brown, Food
Item_MillVell	Wood, Fluffy
Item_SewingDefender	Wood, Hard
Item_PerfumeBag	Wood, Mental State
Item_StoneCutter	Metal, Speed
Item_Handkerchief	Fluffy, No Elements
Item_Bracelet	Hard, No Elements
Item_SmallBell	Hard, No Elements
Item_SysAxe	Hard, No Elements
Item_SysPickaxe	Hard, No Elements
Item_SysSickle	Hard, No Elements
[ANIMAL]	Box, Cubic
Item_BossFeng_TouYu	Fire, Fluffy, Fierce Beast
Item_BossFeng_WeiYu	Fluffy, Fierce Beast, Spirit Relic
Item_BossFeng_HongYu	Inspiration, Fierce Beast, Red
Item_BossLong_Jiao	Fierce Beast, Hard, Sword Mastery
Item_BossLong_NiLin	Inspiration, Water, Fierce Beast
Item_BossLong_Jing	Hard, Spirit Relic, Fierce Beast
Item_BossZhuLong_Eye	Fierce Beast, Bolus
Item_BossZhuLong_LongYu	Chaos, Resistance, Fierce Beast
Item_BossZhuLong_TianLin	Protection, Fierce Beast
Item_Dan_FenShen1	Pangaea, Red, Sub-spirit
Item_Dan_FenShen2	Destiny, Red, Sub-spirit
Item_Dan_FenShen3	Mental State, Red, Sub-spirit
Item_Yao_CatSoul	Bolus, Blue, Sub-spirit
Item_WhiteHair	Book, Blue, White
Item_BossFeng_HuoYu	Spirit Relic, Red, Fierce Beast
Item_BossFeng_GangYu	Fire, Fierce Beast
Item_BossFeng_Gu	Bone, Hard, Fierce Beast
Item_DragonScale	Blue, Spirit Relic, Fierce Beast
Item_BossLong_Zhua	Sharp Object, Fierce Beast
Item_BossLong_Lin	Blue, Defense, Fierce Beast
Item_BossZhuLong_BaiLin	White, Fierce Beast
Item_BossZhuLong_HeiLin	Black, Fierce Beast
Item_BossFeng_Meat	Food, Fierce Beast, Red
Item_BossLong_Meat	Food, Colorful, Fierce Beast
Item_BossZhuLong_Meat	Attainment, Food, Fierce Beast
Item_Dan_Restore	Healing, Yellow, Powder
Item_Dan_SwordBall	Bolus, Blue
Item_Dan_Ling3	Powder, Yellow
Item_Dan_Thin	Pellets, Blue, Appearance
Item_Dan_FaceLock	Pellets, Red, Appearance
Item_Dan_FaceUnLock	Pellets, Earth, Appearance
Item_Dan_Soul1	Pellets, Inspiration, Lifespan
Item_Dan_Soul2	Pellets, Fire, Inspiration
Item_Dan_Soul3	Pellets, Earth, Inspiration
Item_Dan_Soul4	Pellets, Intelligence, Inspiration
Item_QiZhi	Enlightening, Bottled, Water
Item_Fall_LingZhi	Enlightening, Bottled, Metal
Item_Winter_LingZhi	Enlightening, Bottled, Winter
Item_Spring_LingZhi	Enlightening, Bottled, Wood
Item_Summer_LingZhi	Enlightening, Bottled, Fire
Item_Earth_LingZhi	Enlightening, Bottled, Earth
Item_SoulCrystalYou	Soul Gem, No Elements, Pain
Item_SoulCrystalNing	Soul Gem, No Elements, Tranquility
Item_SoulCrystalLing	Soul Gem, No Elements, Happiness
Item_GodPractice_MiJuan	Book, No Elements
Item_PurpleGanodermaLucidum	Purple, Spiritual, Food
Item_HorseFromFei	Fluffy,No Elements,Water
Item_HorseFromLuShu	Fluffy,No Elements,Fire
Item_WuDang_HuangJingFen	Powder. White. Wood
Item_Dan_WuQiNoHunger2	Spherical. Food. Wood
Item_Dan_SanHuaHuangJing	Wood. Qi. Yellow
