ID	Flag	Desc	Txt	Pic	Link	Voice
11	1	Construa uma Fornalha de Alquimia pela primeira vez.	Você construiu uma fornalha de alquimia. Agora você pode inventar elixires usando o botão inventar no menu Inner Disciple Character. À medida que você avança no jogo, você encontrará novas receitas, tudo o que você precisa fazer é fazer com que um personagem leia a receita para desbloquear a fórmula.	ui\Help2_en\011	68	m11
12	1	Abra o menu Talismã pela primeira vez.	Talismãs têm efeitos fortes. Talismãs que já foram preparados podem ser equipados por personagens para alterar suas estatísticas. À medida que você avança no jogo, você encontrará novos designs, tudo o que você precisa fazer é fazer com que um personagem inspecione o design para desbloquear o talismã.	ui\Help2_en\012	68	m12
13	1	Abra o menu Social/Mood pela primeira vez.	Você abriu o menu Humor. A partir daqui você pode ver as emoções variadas do personagem, que indicam suas necessidades. Por favor, preste muita atenção ao humor dos personagens e satisfaça suas necessidades para garantir que tudo corra bem na Seita.	ui\Help2_en\013	23	m13
14	1	Abra o menu Saúde pela primeira vez.	Você abriu o menu Saúde. Neste menu, você pode ver o estado de saúde dos personagens, se eles estão feridos, se recuperando, etc. Por favor, preste muita atenção à saúde dos personagens e certifique-se de deixar os personagens feridos descansarem para garantir que tudo corra bem na Seita.	ui\Help2_en\014	25	m14
15	1	A primeira vez que você abre o menu Treinamento.	Você acabou de abrir o menu Treinamento. Neste menu, você pode ver informações sobre o status de treinamento dos personagens. Conforme o estado de cultivo progride, o conteúdo do menu de treinamento mudará. Este menu está disponível após obter os métodos de treinamento.	ui\Help2_en\016	62	m15
16	1	Selecione uma área para plantar pela primeira vez.	Você selecionou um campo, agora você pode selecionar a cultura a ser plantada neste campo. Diferentes plantas têm diferentes requisitos de solo, como temperatura, iluminação, etc. Preste atenção às diferentes necessidades das plantas e tente garantir que as plantas tenham condições ideais de crescimento.	ui\Help2_en\019	36	m16
17	1	Selecione uma área para armazenamento pela primeira vez.	Você selecionou uma área de armazenamento, os personagens armazenarão itens aqui. Você pode configurar o [color=#D06508]filtro[/color] para selecionar o tipo de item armazenado.	ui\Help2_en\021	36	m17
18	1	Construir uma estrutura de produção pela primeira vez. (Tabela de Medicamentos, etc.)	Você construiu uma estrutura de produção. Abra a programação de produção da estrutura para programar as ordens de produção. Você pode definir itens na fila de produção para [color=#D06508]reciclar[/color], etc.	ui\Help2_en\022	34	m18
19	1	Construa uma sala pela primeira vez.	Você construiu um quarto. Em uma sala, temperatura, atratividade e outros atributos serão levados em consideração. Além disso, o layout da sala, qualidade, etc. também são avaliados. Você pode clicar no chão de uma sala para inspecionar a própria sala.	ui\Help2_en\023	43	m19
20	1	Quando o humor de um personagem cai abaixo de 40	O humor de um dos seus personagens está muito baixo. O estado de humor dos personagens pode ser encontrado de forma rápida e conveniente na parte inferior da tela. Se o humor de um personagem está começando a ficar baixo, abra o menu de humor para determinar a situação e como resolvê-la.	ui\Help2_en\024	23	m20
21	1	Um personagem relaxa pela primeira vez	Você tem um discípulo externo que está relaxando. Quando o humor do Discípulo cai abaixo de 30, ele vai afrouxar no trabalho. Quando isso acontecer, o Discípulo não poderá trabalhar. Se o humor do personagem se recuperar para 45 ou mais, ele voltará ao normal.	ui\Help2_en\025	23	m21
22	1	Você tem um personagem que acha que a temperatura não é apropriada pela primeira vez.	Você tem um personagem que acha que a temperatura não é adequada. Você pode melhorar equipamentos (por exemplo, roupas ou talismãs mais apropriados) ou mudar o ambiente (por exemplo, acender uma fogueira, usar materiais frios para criar móveis) para ajudar o personagem a lidar com a temperatura.	ui\Help2_en\026	23	m22
23	1	Você Os suprimentos de alimentos estão acabando	Seus suprimentos de comida são insuficientes, por favor, adquira mais comida antes que seus suprimentos acabem. Se os suprimentos de comida se esgotarem, os personagens morrerão de fome.	ui\Help2_en\027		m23
24	1	Seus suprimentos médicos estão acabando.	Seus suprimentos médicos são insuficientes, por favor, adquira mais medicamentos antes que seus suprimentos acabem. Se os suprimentos médicos estiverem esgotados, os Personagens não poderão melhorar quando estiverem feridos.	ui\Help2_en\028		m24
25	1	Primeira vez comendo sujeira	Você tem um Personagem que está com tanta fome que está comendo terra. Observe que comer sujeira várias vezes seguidas pode causar inchaço e morte. Para resolver a situação rapidamente, você pode escolher plantas que amadurecem facilmente, como cogumelos, caçar ou ir em uma aventura para Vila de Nanping para coletar alimentos.	ui\Help2_en\029		m25
26	1	As lojas de resistência estão acabando	O treinamento do Discípulo Interior requer Vigor. Se o vigor de um personagem estiver esgotado, ele não poderá treinar.	ui\Help2_en\030	63	m26
27	1	Você tem um inimigo se aproximando	Um grupo de inimigos apareceu, eles estão se preparando para atacar. A força dos inimigos depende da Reputação da Seita. Quanto maior a reputação de sua seita, mais fortes serão os inimigos.	ui\Help2_en\031	21	m27
28	1	Alguém recebeu uma ferida.	Você tem um personagem que foi ferido, consulte o menu Saúde para mais informações sobre o ferimento. A velocidade de recuperação depende da [color=#D06508]capacidade de recuperação do personagem ferido[/color], da [color=#D06508]habilidade médica do curador[/color] e da [color=#D06508]medicina usado[/color]. Se a pessoa ferida não estiver se recuperando após ser curada, tente melhorar um ou mais deles.	ui\Help2_en\032	25	m28
29	1	Alguém recebeu uma lesão interna.	Você tem um personagem que foi ferido por Qi anormal, consulte o menu Saúde para mais informações sobre o ferimento. A medicina não pode ser usada para curar uma lesão devido ao Qi anormal, em vez disso, você deve usar [color=#D06508]Elixires[/color] criados na Fornalha de Alquimia e comandar manualmente a pessoa ferida para consumi-la. A velocidade com que esse tipo de lesão cura depende da [color=#D06508]habilidade de recuperação do personagem ferido[/color] e da [color=#D06508]qualidade do Elixir[/color] usado. Se a pessoa ferida não estiver se recuperando após ser curada, tente melhorar um ou mais deles.	ui\Help2_en\033	25	m29
30	1	Você atingiu um limite.	O Treinamento de um de seus cultivadores atingiu um Limite. À medida que os cultivadores treinam, é normal encontrar Limites, mas somente quebrando-os eles podem continuar o Treinamento. Existem diferentes maneiras de romper diferentes Limites, dependendo das características do Limite em questão. Leve-os em consideração para aumentar a capacidade do cultivador de quebrar o Limite.	ui\Help2_en\034	65	m30
31	1	Seu humor caiu abaixo de 50	Há algo errado com o Humor de um de seus cultivadores. O humor é uma estatística importante a ser observada, não importa em qual atividade um personagem esteja envolvido. Você pode ajustar o humor de um personagem no menu Personagem usando as [color=#D06508]opções do modo de treinamento[/color].	ui\Help2_en\035	64	m31
32	1	Primeira vez caindo para o lado do demônio	Você tem um cultivador que ficou encantado. Os cultivadores não vão afrouxar, mas se o [color=#D06508]humor estiver baixo por um longo período[/color], eles ficarão encantados. Um personagem encantado perde todo o controle e tudo o que você pode fazer é esperar que ele se recupere. Certifique-se de não deixar o humor de seus cultivadores cair muito, caso contrário eles ficarão encantados.	ui\Help2_en\036	64	m32
33	1	Você moldou o Core com sucesso pela primeira vez.	Um de seus cultivadores aprendeu a moldar o Núcleo Dourado! Os Golden Core Shapers podem enfrentar Disciples. Possuir Qi imenso e dominar Milagres é um limiar crítico no treinamento. Preste atenção: Treinar depois de moldar o Golden Core é extremamente difícil, o jogador terá que [color=#D06508]usar Milagres[/color] (como Meditação) ou ter uma Aventura Fortuita enquanto [color=#D06508]Aventura[/color] para poder cultivar rapidamente.	ui\Help2_en\037		m33
34	1	Você fundiu pela primeira vez.	Depois de ter um discípulo interior, você pode fundir itens que não são necessários em pedras espirituais. Cada 5.000 Qi em item significa uma pedra espiritual produzida. Se o item que está sendo cheirado for um artefato, quanto maior o nível, mais pedras espirituais serão produzidas.	ui\Help2_en\038	68	m34
35	1	Você aprendeu a realizar um milagre	Um de seus cultivadores aprendeu como realizar um Milagre. Milagres podem ser realizados através da seção Milagres no lado direito do Menu de Personagens. Usar os Milagres com sabedoria pode tirá-lo de uma situação difícil. Conforme o estado de prática progride, os personagens podem aprender mais milagres. De tempos em tempos, os personagens podem encontrar um Manual que tenha um Milagre gravado nele durante uma Aventura.	ui\Help2_en\039	69	m35
36	1	Você encontrou um Segredo pela primeira vez.	Você obteve um Segredo. O jogador pode ir até o local de um Segredo para ativá-lo e tentar obter uma recompensa. Segredos costumam ter uma grande recompensa esperando, mas depende da Sorte. Se você se deparar com um Segredo que não pode completar, não se preocupe.	ui\Help2_en\040	610	m36
37	1	Agora você pode lançar um feitiço	Um de seus cultivadores aprendeu um feitiço. Feitiços só podem ser usados ​​em batalha. Feitiços podem ser lançados acessando a seção Feitiços no lado direito do Menu de Personagem. Feitiços são extremamente poderosos, mas consomem Qi, então devem ser usados ​​com cautela.	ui\Help2_en\041		m37
38	1	Você tem um visitante	Sua Seita tem um visitante. Você pode tentar convencê-lo a se juntar à sua Seita. Ao persuadir um visitante, quanto maior o [color=#D06508]Carisma e Habilidade Social do persuasor[/color], maior será o [color=#D06508]humor do visitante[/color] e, portanto, mais fácil será para convencê-lo a ficar.	ui\Help2_en\042		m38
39	0	Você abriu o menu Inspiração pela primeira vez.	Você abriu o menu Inspiração. Você pode planejar e aumentar as habilidades do personagem neste menu. Aumentar as habilidades do personagem requer o consumo de experiência. Quanto mais poderosa for a habilidade de um personagem, maior será a Realização e, portanto, maior será a quantidade de experiência necessária. XP vem principalmente do treinamento diário ou pode ser obtido durante as aventuras.	ui\Help2_en\043		m39
40	0	Abra a página Formação pela primeira vez.	Você abriu a página de Formação. Nesta página, você pode configurar uma Formação onde o poder dos cultivadores converge como um todo orgânico. Os personagens que formam a Formação podem compartilhar danos e lançar ataques juntos.	ui\Help_en\041	75	m40
41	1	Abra o menu Presente pela primeira vez.	Você abriu o menu Presente. Selecione um recurso à direita e clique em 'Presente'. Você pode fazer visitas formais a outras seitas, realizar tarefas ou dar a um líder de seita seus itens favoritos via 'Presente'.		80	m41
42	1	Abra o menu Comércio pela primeira vez.	Você abriu o menu Comércio. Os recursos da outra seita são mostrados à esquerda e os nossos à direita. Selecione recursos de ambos os lados e clique em 'Negociar'. Diferentes itens têm preços diferentes; você tem que descobri-los por conta própria.		80	m42
43	1	Abra o menu Agência pela primeira vez.	Você abriu o menu Expandir. Neste menu, você pode visualizar informações sobre este local e selecionar uma política ou iniciar a construção. Você também pode enviar discípulos aqui. Através de várias políticas, você pode ter mais seguidores.		85	m43
44	1	Abra o menu Forçar pela primeira vez.	Você abriu o menu Power. Neste menu, você pode lidar com eventos em diferentes locais ou reivindicar recursos no armazenamento. Clique no ícone de um local para abrir o menu Expandir desse local.		85	m44
45	1	Abra o menu Recrutar pela primeira vez.	Você abriu o menu Recrutar. Neste menu, você pode enviar personagens recrutados para a seita ou outras agências.		85	m45
46	0	Obtenha uma Lei de Shendao pela primeira vez.	Você obteve uma Lei de Shendao. Diferente do cultivo tradicional das Leis do Núcleo Dourado, este método permite que você aumente o poder coletando crenças, estabelecendo um Reino Divino e nomeando Guardas. Informações detalhadas podem ser visualizadas na Ajuda.		91	m46
47	0	Crie uma Relíquia Sagrada pela primeira vez.	Você criou sua própria relíquia sagrada, que é o artefato de escolha de um cultivador de Shendao. À medida que o Reino Divino se expande gradualmente, sua relíquia sagrada se tornará uma arma poderosa que vai além de qualquer limitação.		97	m47
48	0	Estabeleça um Reino Divino pela primeira vez.	Você estabeleceu seu próprio Reino Divino. Construir o Reino Divino está no cerne da Lei de Shendao. Ao construir seu próprio Reino Divino, você pode ser protegido por guardas, aprender milagres, ganhar seguidores, etc.		98	m48
49	0	Abra a página Mystery no menu Secret pela primeira vez.	Você abriu a página Mistério. Ao investigar a destruição da Seita Taiyi, você encontrará vários mistérios, que podem ser encontrados na página Mistério. Você precisa coletar informações suficientes para resolver esses mistérios e descobrir a verdade.		101	m49
50	0	Abra a página Personagem no menu Secreto pela primeira vez.	Você abriu a página Personagem. Ele mantém um registro das informações de vários personagens que você conheceu ao longo do caminho. Utilize bem as informações e ganhe vantagens no mundo dos cultivadores.		102	m50
51	0	Abra a página Clue no menu Secret pela primeira vez.	Você abriu a página Clue. Ele mantém um registro de todas as pistas obtidas durante o jogo, incluindo participantes, motivos e evidências. Nem todas as pistas são úteis. Você precisa ter seu próprio julgamento sobre sua autenticidade.		103	m51
52	0	Comunique-se com os outros pela primeira vez.	Agora você começará a se comunicar com um personagem. Após a atualização do conteúdo do Reino Mortal, cada personagem é dotado de seus próprios traços e personalidade. De acordo com diferentes necessidades, você pode obter informações sobre seu alvo, fazer perguntas e adquirir tesouros que você gosta.		104	m52
53	0	Um personagem ascende, morre ou é expulso pela primeira vez.	Para cada personagem que ascendeu, foi expulso da Seita ou morreu, o que acontece ao lado desse personagem pode ser encontrado em seu Epílogo de Personagem. Depois de salvar, você pode ver o que acontece ao lado desses personagens em Epílogos no menu principal.		P11	m53
54	0	Construa um Pavilhão Manual pela primeira vez.	Você construiu um Pavilhão Manual. Os personagens podem usar a estante para transcrever e gerenciar manuais. Cada Prateleira tem sua Capacidade. Quanto mais Realização for necessária para estudar um Manual, mais espaço o Manual ocupará na Prateleira.		P12	m54
55	0	Use o recurso Blueprint pela primeira vez.	Você está usando o recurso Blueprint. Você pode arrastar e selecionar uma área de edifícios que não tenha mais de 20*20 espaços a qualquer momento e salvá-la como uma planta. As plantas salvas podem ser usadas em todos os jogos salvos e compartilhadas via Workshop.		P13	m55
56	0	Ações em lote	Você está emitindo um pedido para tarefas em lote. Muitos pedidos (por exemplo, Place, Haul, etc.) podem ser emitidos em lote. Clique duas vezes, arraste e selecione ou pressione a tecla Shift para selecionar várias unidades e executar pedidos em lote.	ui\Help2_en\072		m56
57	0	Selecione um animal de estimação pela primeira vez.	Você escolheu um animal de estimação. Animais de estimação têm todos os tipos de comportamentos, alguns dos quais são mais benéficos para a construção de uma Seita, outros são benéficos para a batalha e outros ainda são apenas incomuns. Esses comportamentos podem ser treinados e as condições em que ocorrem podem ser alteradas para desenvolver um animal de estimação na direção desejada.		111	m57
58	0	Abra o menu Treinamento pela primeira vez.	Você abriu o menu Treinamento. Aqui, você pode optar por incentivar ou desencorajar os últimos cinco comportamentos para alterar as condições em que o animal realiza os comportamentos em questão.		111	m58
59	0	Abra o menu Base Stats pela primeira vez.	Você abriu o menu Base Stats. Aqui, você pode ver todas as estatísticas básicas de um animal de estimação, estatísticas de batalha, crescimento e os milagres e feitiços que foram ou não desbloqueados. Aqui você também pode obter informações sobre o status atual de um animal de estimação para que você possa criá-lo como achar melhor.		111	m59
60	0	Abra o menu Receita pela primeira vez.	Você abriu o menu Receita. Aqui, você pode ver o valor nutricional de todos os alimentos que seu animal de estimação consumiu. O uso de itens de diferentes valores nutricionais pode aumentar os efeitos de certos exercícios. Eles também podem ter um efeito positivo ou negativo no físico/obesidade do animal.		111	m60
61	0	Selecione um animal de estimação em seu estado de despertar pela primeira vez.	Você selecionou um animal em seu estado de despertar. Verifique o estado básico e o conforto de um animal no painel de animais. Quanto maior o conforto de um animal de estimação, mais rápido seus Fragmentos de Pensamento são produzidos. Os animais também podem ser enviados para observar todos os tipos de construções, itens e plantas para obter fragmentos de pensamento especiais, isso é muito útil para coletar fragmentos de pensamento.		111	m61
62	0	Abra o menu Inteligência e Pensamento pela primeira vez.	Você abriu o menu Inteligência e Pensamento. Aqui, você pode ver a quantidade de Fragmentos de Inteligência, Pensamentos e Vigor que você possui atualmente. Fragmentos de Inteligência são um recurso especial para animais que ainda não mudaram totalmente de forma. Esses fragmentos podem aumentar algumas de suas estatísticas, tornando-os extremamente valiosos. Se você quiser que o animal se envolva em metamorfose, será necessária uma quantidade suficiente de Stamina e Intelligence Shards. Uma vez que o animal de estimação tenha completado a metamorfose no meio do caminho, ele deve experimentar a Tribulação Celestial da Metamorfose. Quando isso acontece tem a ver com a quantidade de Fragmentos de Inteligência, quanto mais você tiver, mais cedo será a Tribulação Celestial da Mudança de Forma, então escolha com cuidado.		111	m62
63	0	Abra o menu Pensamento e Pensamento pela primeira vez.	Você abriu o menu Pensamento e Pensamento. Aqui, você pode ver Fragmentos de Pensamento, Memórias e Pensamentos que você possui atualmente. Três Fragmentos de Pensamento do mesmo tipo são necessários para se engajar no Pensamento e produzir um Pensamento. Depois que o Pensamento terminar, todos os fragmentos de pensamento serão esquecidos e os fragmentos de pensamento nas memórias serão salvos se não forem usados ​​mais do que algumas vezes. Pensamentos obtidos também expirarão após Pensar algumas vezes e as Estatísticas de um tipo de Pensamento não terão efeito várias vezes, então escolha sabiamente.		111	m63
64	0	Abra o menu Comportamento pela primeira vez.	Você abriu o menu Comportamento. Aqui, você pode verificar a importância dos comportamentos anteriores, bem como todos os comportamentos do seu animal de estimação ao longo dos últimos três dias.		111	m64
65	0	Aprenda treinamento físico pela primeira vez.	Você escolheu a Lei do treinamento físico, este é um novo sistema de prática onde a essência é usada para remodelar seu corpo. No final, você pode ascender, tornando-se um imortal. Para obter detalhes, consulte a Ajuda.		131	m65
66	0	Selecione um objeto iluminado pela primeira vez.	Você escolheu um objeto iluminado. O Tier de um objeto aumentará depois que ele for iluminado. Além disso, consumindo outros itens, o objeto iluminado pode alterar a proporção dos Cinco Elementos de seu próprio corpo para se preparar para a Mudança de Forma. Para obter detalhes, consulte a Ajuda.		141	m66
67	0	Abra o menu Remold pela primeira vez.	Você abriu o menu Remold. Aqui, você pode escolher entre diferentes maneiras de remodelar e também pode crescer gastando diferentes essências para remodelar todas as partes do seu corpo.		131	m67
