拜祖师	Culto aos ancestrais
可以大幅提高寒冷抵抗的符咒。	Talismã que aumenta drasticamente a resistência ao frio.
太阳符	Talismã do Supremo Yang
可以大幅提高炎热抵抗的符咒。	Talismã que aumenta drasticamente a resistência ao calor.
太阴符	Talismã do Supremo Yin
花布清凉衣衫	Camisa de Verão de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Camisa de Inverno de Tecido Azul
龙鳞法衣	 Túnica de Escamas de Dragão
阴寰法衣	 Túnica Sombria
烬灭法衣	 Túnica de Cinzas
蔽天法衣	 Túnica de Véu
阳华羽衣	 Túnica de Penas
日炎金袍	 Túnica Dourada
火浣衣	 Túnica de Banho de Fogo
玄海流仙袍	 Manto Fluido
幽玄法衣	 Túnica Espectral
青鹤云裳	 Túnica de Garça
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para ocultar, em certa medida, sua presença, tornando-o menos identificável durante aventuras e reduzindo as chances de obter reputação.
匿踪符	Talismã de Invisibilidade
七巧蒸洪藕	Raiz de Lótus Cozida no Vapor com Sete Recheios
牛肉丸	Carne de Vaca Ensopada com Legumes
雌龟粪便	Fezes
干栋	干栋
灵晶神秘洞穴	Caverna Misteriosa de Cristal Espiritual
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Vitrine de Pedra Espiritual
傀儡停放点	Ponto de Vasilha
灵石床	Cama de Pedra Espiritual
灵石手工桌	Estação de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Medicina de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Bancada de Pedreiro de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Fornalha Alquímica de Pedra Espiritual
木砍柴处	Estação de Lenha
灵石炼宝台	Mesa de Refinamento de Tesouros de Pedra Espiritual
灵石熔炉	Fornalha de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesa Quadrada de Pedra Espiritual
灵石水缸	Tina de Água de Pedra Espiritual
练功点	Ponto de Treinamento
灵石祖师牌位	Altar Ancestral de Pedra Espiritual
红布蒲团	Almofada de Tecido Vermelho
历练归来点	Ponto de Recompensa
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão da Seita de Pedra Espiritual
灵石神鹤灯	Lanterna de Garça de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Suporte de Lanterna do Dragão Amarelo de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	Boneco de Madeira de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石烟花-龙歌	Fogos de Artifício de Pedra Espiritual (Dragão)
灵石护山剑阵	Escudo de Espada de Pedra Espiritual
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>钭世</font> por estar de bom humor devido ao bom feng shui de <font color=OBJCOLOR>房间风水好</font>, não pôde evitar vir <font color=OBJCOLOR>随便看看</font> para desabafar.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	<font color=MYCOLOR>钭世</font> estava <font color=OBJCOLOR>看天花板</font> quando de repente soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>钭世</font>, perturbado pela situação de <font color=OBJCOLOR>睡在地上</font>, só pôde <font color=OBJCOLOR>读书品卷</font> para acalmar a mente.
3天 15:18	3d 15:18
钭	Tou
世	Shi
建立门派	Estabelecer uma Seita
私塾学子	Aluno de escola particular
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>晴天</font>.
4天 08:02	4d 08:02
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Com o céu sem nuvens, <font color=MYCOLOR>酆刚</font> soltou um suspiro devido à paisagem absolutamente deslumbrante ao redor, e ao ver que <font color=HECOLOR>晏春翠</font> estava por perto, puxou-a para conversar. Ao falar sobre <font color=OBJCOLOR>灵石灯笼</font>, os dois encontraram grande afinidade, e a conversa se aprofundou cada vez mais.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	Dentro da seita, <font color=MYCOLOR>酆刚</font> notou que <font color=HECOLOR>晏春翠</font> parecia entediada, então puxou conversa com ela sobre <font color=OBJCOLOR>猫</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	Vasilha
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>凝神望天</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Na meia-noite, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, sentiu muita saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font> estava de bom humor, pois sua mente estava clara, e não pôde evitar vir <font color=OBJCOLOR>奏乐</font> para desabafar.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Ao pôr do sol, <font color=MYCOLOR>咸元</font> estava <font color=OBJCOLOR>读书品卷</font> quando, de repente, lágrimas escorreram.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
毛依白	毛依白
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Estudante Bonito
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	Dentro da seita, <font color=MYCOLOR>熊子石</font> observava calmamente <font color=OBJCOLOR>观云卷云舒</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲慕容疏影</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font> estava de bom humor devido à elevação de seu nível, e não pôde evitar vir <font color=OBJCOLOR>奏乐</font> para desabafar.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font> foi perturbado pela sensação de <font color=OBJCOLOR>需要房间</font> e só pôde <font color=OBJCOLOR>奏乐</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font> estava de bom humor, pois sua mente estava clara, e não pôde evitar vir <font color=OBJCOLOR>读书品卷</font> para desabafar.
3天 10:55	3d 10:55
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Raiz Fatal
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font> estava de bom humor devido à <font color=OBJCOLOR>别致的风景</font> e não pôde evitar vir <font color=OBJCOLOR>读书品卷</font> para desabafar.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Durante um momento de lazer, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	Dentro da seita, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, lágrimas escorreram.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	À meia-noite, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, desejou comer <font color=OBJCOLOR>昙花水梨汤</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	Ao entardecer, <font color=MYCOLOR>从功</font> estava <font color=OBJCOLOR>凝神望天</font> quando, de repente, sentiu uma irritação inexplicável.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Yin Centipede
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font> estava <font color=OBJCOLOR>凝神望天</font> quando, de repente, lágrimas escorreram.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu sem nuvens, <font color=MYCOLOR>南门墨竹</font> estava <font color=OBJCOLOR>读书品卷</font> quando, de repente, soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava feliz por estar vestindo algo que lhe caía bem, e ao ver que <font color=HECOLOR>毛依白</font> parecia entediada, puxou conversa com ela sobre <font color=OBJCOLOR>爱好</font>.
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>韶兴</font> estava de bom humor devido à sua mente serena, e não pôde evitar vir <font color=OBJCOLOR>凝神望天</font> para desabafar.
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Com o céu claro, <font color=MYCOLOR>韶兴</font> estava calmamente <font color=OBJCOLOR>看天花板</font> quando, de repente, lembrou-se de seu <font color=OBJCOLOR>父亲韶寂弦</font>.
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> estava calmamente <font color=OBJCOLOR>奏乐</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲勾凤鸾</font>.
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> foi perturbado pela sensação de <font color=OBJCOLOR>需要武器</font> e só pôde <font color=OBJCOLOR>下棋</font> para esvaziar a mente.
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
4天 04:16	4d 04:16
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Senhor das Mil Espadas
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu claro, <font color=MYCOLOR>陶飞</font> estava <font color=OBJCOLOR>读书品卷</font> quando, de repente, soltou um longo suspiro.
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	No crepúsculo, <font color=MYCOLOR>陶飞</font> estava <font color=OBJCOLOR>夜观星象</font> quando, de repente, sentiu muita saudade de casa.
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>陶飞</font> estava <font color=OBJCOLOR>看天花板</font> quando, de repente, sentiu muita saudade de casa.
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> estava calmamente <font color=OBJCOLOR>奏乐</font> quando, de repente, lembrou-se de seu <font color=OBJCOLOR>父亲陶寂弦</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> estava <font color=OBJCOLOR>下棋</font> quando, de repente, desejou comer <font color=OBJCOLOR>昙花水梨汤</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	Dentro da seita, <font color=MYCOLOR>陶飞</font> estava calmamente <font color=OBJCOLOR>下棋</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲国黛</font>.
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Homem do Surfe
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	No período de You, <font color=MYCOLOR>葛慕儿</font> estava calmamente <font color=OBJCOLOR>奏乐</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲鲁之玉</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o céu sem nuvens, <font color=MYCOLOR>葛慕儿</font> estava <font color=OBJCOLOR>下棋</font> quando, de repente, achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 08:47	4d 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>葛慕儿</font> estava jogando <font color=OBJCOLOR>下棋</font> sozinha quando, de repente, seus pensamentos se dispersaram.
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>葛慕儿</font> estava desperdiçando o tempo sem fazer nada, e ao ver <font color=HECOLOR>毛依白</font> passando, puxou conversa com ela sobre <font color=OBJCOLOR>需要房间</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Durante o entardecer, <font color=MYCOLOR>葛慕儿</font> estava <font color=OBJCOLOR>跳舞</font> quando, de repente, achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>葛慕儿</font> estava de bom humor por causa da conversa e não pôde evitar vir <font color=OBJCOLOR>看天花板</font> para desabafar.
4天 17:46	4d 17:46
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Origem Terrena
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Ao meio-dia, <font color=MYCOLOR>奚顺</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, desejou comer <font color=OBJCOLOR>面饼</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	Durante o período de Shen, <font color=MYCOLOR>奚顺</font> estava sozinho <font color=OBJCOLOR>观云卷云舒</font> quando, de repente, seus pensamentos se agitaram.
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu claro, <font color=MYCOLOR>奚顺</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>奚顺</font> estava <font color=OBJCOLOR>下棋</font> quando, de repente, desejou comer <font color=OBJCOLOR>公狼粪便</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o sol inclinado, <font color=MYCOLOR>奚顺</font> estava <font color=OBJCOLOR>书画</font> quando, de repente, sentiu-se muito irritado.
3天 13:34	3d 13:34
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Thunder Bamboo
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, desejou comer <font color=OBJCOLOR>母牛粪便</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	<font color=MYCOLOR>毛依白</font> estava <font color=OBJCOLOR>凝神望天</font> quando, de repente, lágrimas escorreram.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> estava <font color=OBJCOLOR>随便看看</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> estava <font color=OBJCOLOR>书画</font> quando, de repente, lágrimas escorreram.
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	南门墨竹
葛慕儿	葛慕儿
从功	从功
韶兴	韶兴
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Dark Flame
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>项辉</font> estava de bom humor por estar vestindo algo que lhe caía bem, e ao ver que <font color=HECOLOR>毛依白</font> passava, puxou conversa com ela sobre <font color=OBJCOLOR>九华村</font>.
3天 05:57	3d 05:57
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
