拜祖师	Adorar os ancestrais
可以大幅提高寒冷抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao frio.
太阳符	Talismã do Supremo Yang
可以大幅提高炎热抵抗的符咒。	Talismã usado para aumentar drasticamente a resistência ao calor.
太阴符	Talismã do Supremo Yin
花布清凉衣衫	Camisa Fresca de Tecido Estampado
紫布休闲衣衫	Camisa Casual de Tecido Roxo
蓝布厚制衣衫	Casaco de Inverno de Tecido Azul
龙鳞法衣	Túnica de Escamas
阴寰法衣	Túnica Sombria
烬灭法衣	Túnica das Cinzas
蔽天法衣	Túnica do Véu Celeste
阳华羽衣	Túnica de Penas
日炎金袍	Túnica Dourada do Sol
火浣衣	Túnica do Banho de Fogo
玄海流仙袍	Vestes do Fluxo Místico
幽玄法衣	Túnica Espectral
青鹤云裳	Vestes da Garça Azul
可以一定程度上隐匿自己的气息，使自己外出历练时不那么容易被认出身份，以降低声望的获取。	Talismã usado para ocultar parcialmente sua presença, dificultando ser reconhecido em aventuras e reduzindo a obtenção de reputação.
匿踪符	Talismã da Invisibilidade
雌龟粪便	Fezes de Tartaruga Fêmea
干栋	Tronco Seco
灵晶神秘洞穴	Caverna Misteriosa de Cristal Espiritual
灵石墙	Parede de Pedra Espiritual
灵石门	Porta de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Mesa de Exposição de Pedra Espiritual
傀儡停放点	Ponto de Estacionamento de Fantoches
灵石床	Cama de Pedra Espiritual
灵石手工桌	Mesa de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Preparos Médicos de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talismãs de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Bancada de Pedreiro de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poço de Pedra Espiritual
灵石丹炉	Forno Alquímico de Pedra Espiritual
木砍柴处	Ponto de Corte de Madeira
灵石炼宝台	Mesa de Forja de Tesouros de Pedra Espiritual
灵石熔炉	Fornalha de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Fogão de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesa Quadrada de Pedra Espiritual
灵石水缸	Tonel de Água de Pedra Espiritual
练功点	Ponto de Treinamento
灵石祖师牌位	Altar Ancestral de Pedra Espiritual
红布蒲团	Almofada de Meditação de Tecido Vermelho
历练归来点	Ponto de Retorno de Aventuras
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão do Clã de Pedra Espiritual
灵石神鹤灯	Lanterna da Garça Sagrada de Pedra Espiritual
灵石鼓	Tambor de Pedra Espiritual
灵石黄龙灯台	Candelabro do Dragão Amarelo de Pedra Espiritual
灵石琴台	Mesa de Cítara de Pedra Espiritual
灵石香炉	Incensário de Pedra Espiritual
灵石假人桩	Boneco de Treinamento de Pedra Espiritual
灵石鼎	Caldeirão de Pedra Espiritual
灵石围棋桌	Mesa de Go de Pedra Espiritual
灵石烟花-龙歌	Fogos de Artifício de Pedra Espiritual - Canção do Dragão
灵石护山剑阵	Formação de Espadas Protetoras da Montanha de Pedra Espiritual
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>Tou Shi</font> está de bom humor devido ao <font color=OBJCOLOR>bom feng shui do quarto</font>, e não resistiu a <font color=OBJCOLOR>dar uma olhada</font> para se expressar.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	No meio da tarde, <font color=MYCOLOR>Tou Shi</font> soltou um longo suspiro enquanto <font color=OBJCOLOR>olhava para o teto</font>.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>Tou Shi</font> se sentiu incomodado por <font color=OBJCOLOR>dormir no chão</font>, então <font color=OBJCOLOR>leu um livro</font> para esvaziar a mente.
3天 15:18	3d 15:18
钭	Tou
世	Shi
建立门派	Fundar uma Seita
私塾学子	Estudante da Escola Privada
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>晴天</font>.
4天 08:02	4d 08:02
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Com o céu limpo, <font color=MYCOLOR>酆刚</font> suspirou ao ver a paisagem deslumbrante ao redor. Ao notar que <font color=HECOLOR>晏春翠</font> estava por perto, puxou conversa com ela. Quando começaram a falar sobre <font color=OBJCOLOR>灵石灯笼</font>, os dois se conectaram profundamente e a conversa ficou cada vez mais intensa.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	No clã, <font color=MYCOLOR>酆刚</font> viu que <font color=HECOLOR>晏春翠</font> parecia entediada, então puxou conversa com ela sobre <font color=OBJCOLOR>猫</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	Vessel
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	No meio-dia, <font color=MYCOLOR>咸元</font> estava em <font color=OBJCOLOR>随便看看</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Por volta do meio-dia, <font color=MYCOLOR>咸元</font> estava em <font color=OBJCOLOR>凝神望天</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Na meia-noite, <font color=MYCOLOR>咸元</font> estava em <font color=OBJCOLOR>奏乐</font> quando, de repente, bateu uma forte saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font> estava com o humor bom por causa de <font color=OBJCOLOR>心境通明</font> e não conseguiu evitar vir a <font color=OBJCOLOR>奏乐</font> expressar seus sentimentos.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	No pôr do sol, <font color=MYCOLOR>咸元</font> estava em <font color=OBJCOLOR>读书品卷</font> quando, de repente, derramou lágrimas.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
毛依白
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Handsome Pupil
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	No clã, <font color=MYCOLOR>熊子石</font> observava calmamente <font color=OBJCOLOR>观云卷云舒</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲慕容疏影</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font> estava de bom humor por causa de <font color=OBJCOLOR>境界提升</font> e não resistiu vir a <font color=OBJCOLOR>奏乐</font> expressar seus sentimentos.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font> estava incomodado pela sensação de <font color=OBJCOLOR>需要房间</font>, então só conseguiu <font color=OBJCOLOR>奏乐</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font> estava de bom humor por causa de <font color=OBJCOLOR>心境通明</font> e não resistiu vir a <font color=OBJCOLOR>读书品卷</font> expressar seus sentimentos.
3天 10:55	3d 10:55
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Fatal Root
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font> estava de bom humor por causa da <font color=OBJCOLOR>别致的风景</font> e não resistiu vir a <font color=OBJCOLOR>读书品卷</font> expressar seus sentimentos.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Em um momento de folga, <font color=MYCOLOR>从功</font> estava em <font color=OBJCOLOR>随便看看</font> quando de repente soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	No clã, <font color=MYCOLOR>从功</font> estava em <font color=OBJCOLOR>随便看看</font> quando, de repente, derramou lágrimas.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	No horário da meia-noite, <font color=MYCOLOR>从功</font> estava em <font color=OBJCOLOR>奏乐</font> quando, de repente, teve vontade de comer <font color=OBJCOLOR>昙花水梨汤</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	No entardecer, <font color=MYCOLOR>从功</font> estava em <font color=OBJCOLOR>凝神望天</font> quando, de repente, sentiu-se inexplicavelmente irritado.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Yin Centipede
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font> estava em <font color=OBJCOLOR>凝神望天</font> quando, de repente, derramou lágrimas.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu limpo, <font color=MYCOLOR>南门墨竹</font> estava em <font color=OBJCOLOR>读书品卷</font> quando, de repente, soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava feliz por estar vestindo roupas confortáveis. Ao ver que <font color=HECOLOR>毛依白</font> parecia entediada, puxou conversa com ela sobre <font color=OBJCOLOR>爱好</font>.
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	
2天 21:53	2d 21:53
Céu limpo e ar puro, <font color=MYCOLOR>韶兴</font> observa silenciosamente o <font color=OBJCOLOR>teto</font>, e de repente lembra de seu <font color=OBJCOLOR>pai 韶寂弦</font>。	
3天 21:17	3d 21:17
Céu claro sem nuvens, <font color=MYCOLOR>韶兴</font> toca <font color=OBJCOLOR>música</font> em silêncio, e de repente lembra de sua <font color=OBJCOLOR>mãe 勾凤鸾</font>。	
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font> está incomodado por <font color=OBJCOLOR>precisar de uma arma</font>, e só consegue <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente。	
4天 03:12	4d 03:12
Céu claro sem nuvens, <font color=MYCOLOR>韶兴</font> está <font color=OBJCOLOR>tocando música</font> quando de repente a imagem de <font color=OBJCOLOR>钭世</font> surge em sua mente。	
4天 04:16	4d 04:16
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Senhor das Mil Espadas
Céu limpo e ar puro, <font color=MYCOLOR>陶飞</font> está <font color=OBJCOLOR>lendo livros</font> quando de repente solta um suspiro longo。	
2天 11:22	2d 11:22
No entardecer, <font color=MYCOLOR>陶飞</font> está <font color=OBJCOLOR>observando as estrelas</font> quando de repente sente saudade de casa。	
2天 20:07	2d 20:07
À meia-noite, <font color=MYCOLOR>陶飞</font> está <font color=OBJCOLOR>olhando para o teto</font> quando de repente sente saudade de casa。	
3天 23:45	3d 23:45
No clã, <font color=MYCOLOR>陶飞</font> toca <font color=OBJCOLOR>música</font> silenciosamente, e de repente lembra de seu <font color=OBJCOLOR>pai 陶寂弦</font>。	
4天 11:37	4d 11:37
No clã, <font color=MYCOLOR>陶飞</font> está <font color=OBJCOLOR>jogando xadrez</font> quando de repente sente vontade de comer <font color=OBJCOLOR>sopa de pera com flor noturna</font>。	
4天 14:25	4d 14:25
No clã, <font color=MYCOLOR>陶飞</font> joga <font color=OBJCOLOR>xadrez</font> sozinho, e de repente lembra de sua <font color=OBJCOLOR>mãe 国黛</font>。	
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Senhor da Contra-Maré
Ao entardecer, <font color=MYCOLOR>葛慕儿</font> toca <font color=OBJCOLOR>música</font> silenciosamente, e de repente lembra de sua <font color=OBJCOLOR>mãe 鲁之玉</font>。	
3天 18:28	3d 18:28
Céu claro sem nuvens, <font color=MYCOLOR>葛慕儿</font> está <font color=OBJCOLOR>jogando xadrez</font> quando de repente acha a <font color=OBJCOLOR>Plataforma da Lira Espiritual</font> ao lado muito interessante…	
4天 08:47	4d 08:47
No clã, <font color=MYCOLOR>葛慕儿</font> está <font color=OBJCOLOR>jogando xadrez</font> sozinha, quando de repente é tomada por muitos pensamentos。	
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font> está entediada passando o tempo, vê <font color=HECOLOR>毛依白</font> passar, e a puxa para conversar sobre <font color=OBJCOLOR>precisar de um quarto</font>。	
4天 12:00	4d 12:00
Ao meio da tarde, <font color=MYCOLOR>葛慕儿</font> está <font color=OBJCOLOR>dançando</font> quando de repente acha a <font color=OBJCOLOR>Plataforma da Lira Espiritual</font> ao lado muito interessante…	
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font> está de bom humor por causa de uma <font color=OBJCOLOR>conversa</font>, e não resiste a <font color=OBJCOLOR>olhar para o teto</font> para expressar seus sentimentos。	
4天 17:46	4d 17:46
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Esfera da Origem Terrestre
海	Hai
乜	Nie
珊	Shan
Ao meio-dia, <font color=MYCOLOR>奚顺</font> está <font color=OBJCOLOR>olhando aleatoriamente</font> quando de repente sente vontade de comer <font color=OBJCOLOR>panqueca</font>。	
2天 12:27	2d 12:27
Ao entardecer, <font color=MYCOLOR>奚顺</font> observa sozinho o <font color=OBJCOLOR>mover das nuvens</font>, e de repente é tomado por muitos pensamentos。	
2天 16:14	2d 16:14
Céu limpo e ar puro, <font color=MYCOLOR>奚顺</font> está <font color=OBJCOLOR>olhando aleatoriamente</font> quando a imagem de <font color=OBJCOLOR>钭世</font> surge em sua mente。	
2天 16:58	2d 16:58
Céu claro sem nuvens, <font color=MYCOLOR>奚顺</font> está <font color=OBJCOLOR>jogando xadrez</font> quando de repente sente vontade de comer <font color=OBJCOLOR>fezes de lobo</font>。	
3天 04:14	3d 04:14
Ao cair da tarde, <font color=MYCOLOR>奚顺</font> está <font color=OBJCOLOR>pintando e caligrafando</font> quando de repente se sente sufocado。	
3天 13:34	3d 13:34
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Bambu do Trovão
Céu claro sem nuvens, <font color=MYCOLOR>毛依白</font> está <font color=OBJCOLOR>olhando aleatoriamente</font> quando de repente sente vontade de comer <font color=OBJCOLOR>fezes de vaca</font>。	
2天 03:55	2d 03:55
Ao amanhecer, <font color=MYCOLOR>毛依白</font> está <font color=OBJCOLOR>contemplando o céu</font> quando de repente derrama lágrimas。	
2天 09:58	2d 09:58
Céu limpo e sem nuvens, <font color=MYCOLOR>毛依白</font> está <font color=OBJCOLOR>olhando aleatoriamente</font> quando a imagem de <font color=OBJCOLOR>钭世</font> surge em sua mente。	
2天 12:16	2d 12:16
Céu limpo e sem nuvens, <font color=MYCOLOR>毛依白</font> está <font color=OBJCOLOR>pintando e caligrafando</font> quando de repente derrama lágrimas。	
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	Bambu Negro do Portão Sul
葛慕儿	Ge Muer
从功	Cong Gong
韶兴	Shao Xing
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Chama Sombria
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>Xiàng Hui</font> estava feliz porque a roupa servia bem, ao ver <font color=HECOLOR>Mao Yibai</font> passando, puxou conversa com ela sobre <font color=OBJCOLOR>Vila Jiuhua</font>。
3天 05:57	3d 05:57
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Transportador de Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	No céu sem nuvens, <font color=MYCOLOR>Feng Mei</font> estava <font color=OBJCOLOR>observando as estrelas à noite</font> quando, de repente, derramou lágrimas。
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>Feng Mei</font> estava <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, achou a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Vestes Douradas
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	No silêncio absoluto, <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>praticando caligrafia e pintura</font> quando, de repente, derramou lágrimas。
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Na segunda vigília, <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, derramou lágrimas。
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>于是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Enquanto conversava com <font color=HECOLOR>Mao Yibai</font>, <font color=HECOLOR>Mao Yibai</font> de repente notou o <font color=OBJCOLOR><font color=OBJCOLOR>vestido de pele de javali</font></font> em <font color=MYCOLOR>Chang Zhiyong</font>. <font color=MYCOLOR>Chang Zhiyong</font> então falou a ela sobre a origem do <font color=OBJCOLOR><font color=OBJCOLOR>vestido de pele de javali</font></font>, e <font color=HECOLOR>Mao Yibai</font> ficou maravilhada ao ouvir a história。
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Em um dia claro e tranquilo, <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>entretenendo-se</font> quando, de repente, sentiu algo no coração e teve muitas novas percepções sobre o Caminho Celestial。
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu completamente limpo, <font color=MYCOLOR>Chang Zhiyong</font> estava silenciosamente <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, lembrou-se de seu <font color=OBJCOLOR>pai Chang Xuezhi</font>。
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe de Mount
