祝贺	Congrats!
开天眼之术	
凌霄崩天宝典	
真丹神农宝册	
万木开天咒	
东海落花诀	
苍龙不坏神雷	
千钧式	
混元宝典	
蓄神要诀	
圆转秘要	
长生圆转要诀	
金丹破灭十式	
炎神殿混元	
通慧记	
合一要诀	
碧光佛心册	
五戒清心神功	
东华归祖神功	
未来星宿佛心册	
苍莽鲸吞纪要	
大日摄神密卷	
赤月辟谷神功	
苍龙合一记	
地龙百炼纲要	
真丹无形神雷	
阴阳飞星诀	
阴阳飞星神雷	
坤元秘法	
混元	Hybrid
破灭十式	
初解迅影七式	
沃野宝册	
佛心记	
现在贤摄神要诀	
武当神佑册	
万里摄神宝典	
阴神夺舍	Lesser Possession
