白布薄衣衫	White Fabric Thin Shirt
宇文	Yuwen
念芹	Nianqin
赫连	Helian
从阳	Congyang
六合玄通尺	Directional Concord Measure
玄木盘根腿	Stark Root Legs
五行拳	The Five Elements Fists
玄龟甲	Dark Turtle Shell
六御摘雷手·左	Void Thundercatch Hand - Left
六御摘雷手·右	Void Thundercatch Hand - Right
鹰熊合形	Eagle Bear Combine Form
真阳玲珑心	Luster of Yang Heart
玄阴琉璃心	Glaze of Yin Heart
天龙脊	Heavenly Dragon Spine
天地洪炉	Heaven and Earth Furnace
峰	Feng
芮	Rui
涵柳	Hanliu
竺	Zhu
丹雪	Danxue
钟	Zhong
依珊	Yishan
易	Yi
树	Shu
佴	Nai
彪	Biao
朱	Zhu
弘	Hong
奚	Xi
光赫	Guanghe
阿	A
柴	Chai
赤玉瞳	Blood Jade Pupil
登云腿	Cloudtouch Legs
妖御玄鳞	Demonshield Scale
逐日腿	Sunchaser Legs
虚化之体	Illusion Body
外骨邪甲	Bony Shell
九烈神血	Firestruck Blood
八极之眼	Polar Eyes
吞尽之口	Devouring Mouth
万兽归息	Bestial Breath
定星尾	Astral Tail
斥异之体	Rejected Body
天苍 232年第83日,通过从打喷嚏获取的理智，对非常思念的感知，对夏季的认知，产生了一点灵智碎片。
天苍 237年第22日,通过从面朝北方获取的理智，对担忧的感知，对树的认知，产生了一点灵智碎片。
天苍 237年第91日,通过从回忆获取的理智，对躁动的感知，对珍宝的认知，产生了一点灵智碎片。
天苍 239年第103日,通过从登高获取的理智，对非常担忧的感知，对雷的认知，产生了一点灵智碎片。
天苍 239年第111日,通过从发呆获取的理智，对有点愤怒的感知，对武器的认知，产生了一点灵智碎片。	
杀人之兔	Killer Rabbit
入定之术	
百炼诀	
博物志	
上清真气	
灵淬法	
炼器十要	
炼制灵石之术	
御木诀	
化伤术	
托体同山诀	
琢玉册	
丙丁雷泽火	
神火合一·雷泽	
上清先天真焰	
神火合一·上清	
心焰	
神火合一·心焰	
伐毛洗髓之术	
上清秘传造化真解	
元灵补天诀	
炼制灵晶之术	
天道神丹	
天道神器	
不！！不，这是什么力量？我为什么会有这样的力量？兔子？我怎么变成了这个样子？我真的没有杀人！	No!!!No, what power is this? Why I have this power? Rabbit? Why I become this? I killed no one!
你……你也是来污蔑我的？我要杀了你！！	You...you come to insult me too? I will kill you!
