ID	Name	Desc
41	Wolf Child	[NAME] was brought up by a wolf and wasn't discovered until the age of five when some people came across the child in the wolf den. [NAME] was left with a sense of alienation in human society due to growing up with wolves and even spent many years practicing before being able to talk normally.
42	Fallen Aristocrat	[NAME]'s family was once renowned as a family of skilled architects. They ended up being raided during the fall of the last dynasty and have never recovered. During the fall of the dynasty, [ITS] father was tortured and killed. This drastic change in lifestyles left [ENHIM] introverted and in possession of an inferiority complex.
43	Orphan	[NAME] is an orphan that has had to grow up in the shadows of the city, begging and stealing to subsist. \nLiving many a year as a vagabond led [ITS] nerves to become overly sensitive and unable to sleep for extended periods of time.
44	Abandoned Baby	[NAME] was left abandoned on a trash heap. This baby was found by a scavenger who ended up raising [ENHIM]. \nExtremely poor conditions led to [ENHIM] contracting a condition that left the child with a poor outlook for [ITS] health and longevity.
45	Village Child	[NAME] was born in a mountain village due to [ITS] parents having fled there from the chaos of war. As a result, [NAME] was taught to reject violence and war from a young age. This left [ENHIM] with an extreme aversion to physical violence and those who would employ it.
46	Battlefield Child	[NAME] was an orphan that was found on the battlefield. [NAME] was raised by a centurion and so underwent military training and studied the ways of war with adults from a young age. \n[NAME]'s childhood was spent training and killing enemies until the troops were ambushed. [NAME] was lucky enough to make it out alive and so began to ponder the meaning of life.
47	Previous Dynasty	[NAME] grew up in a Siheyuan, courtyard-style home, studying and playing together with kids from the neighborhood. \nWhat no one knew was that [NAME] was actually the emperor from the previous dynasty who was silently waiting for the rebels to come fetch [ENHIM] and retake the throne.
48	Survivor	[NAME] is the survivor of a massacre. When [NAME] awoke to a mountain of corpses and sea of blood, everything before the child became the nightmare that would plague a lifetime.
49	Congenital Defect	[NAME]'s parents were brother and sister and so was born with a Congenital Defect as a result. This left [ENHIM] frail and debilitated.
50	Mature Child	[NAME] grew up in a family that provided abundant resources for the children. [NAME] ended up being popular with the opposite sex from a young age and mature much sooner than their peers. As a result, charming a roomful of people is no problem for this one.
51	Vagabond	[NAME]'s father accidentally killed the son of a local bully and so had to lead his family into a life on the run so as to escape retribution. \n[NAME]'s childhood memories consist of having enough food or starving while on the run.
52	Pickpocket	[NAME] has had to do some unsavory things in order to survive, but it has not tarnished the conscience of this one. \n[NAME] rarely steals from people that are not well off and frequently shared spoils with children that were even younger than [ENHIM].
53	Rogue	[NAME] was a member of a band of thieves. Due to [ITS] age and clumsiness, [NAME] was the frequent subject of beatings and scolding and was often left back at their hideout to deal with logistics. \nAs a result, [NAME] survived an attack by the imperial court.
54	Saddleborn	[NAME] is part of a tribe of nomads. [NAME] grew up in the saddle and so has travelled across the grasslands with the tribe. \nOn a typical day, [NAME] watched over the horses and picked up their manure. [NAME] wasn't very fond of this job. [NAME]'s dream was to become the strongest of hunters.
55	Child Bride	[NAME] was sold off to a landlord to be wed to his dumbest son. Due to innate physical beauty, this child had a keen understanding of the ways of the world and was deeply loved by others. \n[NAME] received excellent training as part of the landlord's household and so was wise in the ways of maintaining a house. This type of environment inculcated an elegance to this one's speech.
56	Shepherd's Child	[NAME] was part of tribe by the western sea. [NAME] tended the flocks with the other children. \nThere were ruins near the pasture that were said to be haunted. [NAME] would frequently go explore the ruins while the flock was in the pasture.
57	Battlefield Orphan	[NAME] was born in a city on the frontier. When [NAME] was very little, foreigners invaded and massacred those in [ITS] city. [NAME] was lucky to survive. \n[NAME] vowed from a young age to join the army to get revenge. With this in mind, [NAME] was able to undergo extreme training.
58	Scavenger	[NAME] lost everything thanks to war. And so there was no choice but to live scavenging to survive. \n[NAME]'s body is thin but agile thanks to having to run from wealthy districts that didn't want anyone scavenging through their garbage for treasure or food. This allowed [ENHIM] to accumulate quite a sum early on and thus to become a disciple craftsman.
59	Child of Buddha	[NAME] grew up in a temple and was responsible for the candles sitting at the foot of the Buddhas. Many years listening to Buddhist mantras filled [ENHIM] with spiritual knowledge and understanding yet isolated [ENHIM] from the rest of the world.
60	Child of the Tao	[NAME] has been a follower of the Tao since childhood. The child followed Master throughout the years and led a life observing the elements. \n[NAME] is a prodigy full of potential that became Liberated from a young age and that is not yet self-aware.
61	Child Monk	[NAME] was a child monk that grew up in the temple. [NAME] was always an active child that had an appetite. Temple life left [ENHIM] wanting. \n[NAME] tried to flee the temple multiple times, but was caught by warrior monks each time.
62	Poetic Genius	[NAME] is a gifted orator with an incredible memory. [NAME] was a prodigy: at three reading was not a problem, at five the child could write poems, and at seven [NAME] was known in poetic circles. Not a single literati in the court had not heard [ITS] name.
63	Street Urchin	[NAME] was a miscreant from the start. This rascal was famous all around the area...as being a pain in the #$%, it didn't matter if you asked an adult or a child, the answer was the same. \nOne time, [NAME] ran off into the mountains. In the end [NAME] was found living with a troop of monkeys.
64	Rebellious Youth	[NAME]'s father was an academic and was strict with [ITS] schooling from the very start. This filled [ENHIM] with a rebellious spirit and tried to think of every possible way to provoke [ITS] father. As such, [NAME] was reprimanded every other day.
65	Lively Youth	[NAME] is a lively and extroverted child. This one wasn't afraid of strangers and was quite adept once just a bit older. [NAME] had a gift for gab and adults were more than a bit vocal about how they were tired of having their ears talked off. \n[NAME] had quite a reputation amongst children that lived nearby as one that would take other kids along to go stir up trouble in the countryside.
66	Introverted Youth	[NAME] was an introvert from a very young age. [NAME] wouldn't talk to anyone that wasn't immediate family. The child would get immensely nervous and out of sorts if anyone drew near. \n[NAME] even fainted the first time home-schooled because this child became so agitated from being spoken to by an unknown classmate that the tutor had brought along.
67	Test Subject	[NAME] was carried off by an Evil Sect from a young age and used as a target for magic practice. \n[NAME] was later saved when a Just Sect attacked and wiped the members of the Evil Sect out. Unfortunately, [ITS] body was never the same due to being subjected to so many magic spells.
68	Hoodlum	[NAME]'s father was like a local despot and a bully. [NAME] learned from father dearest and realized how much fun life could be by using dad's tricks. \n[NAME] formed a band of bullies by the age of seven or eight and went around harassing the countryside just like dear old dad. And thus a new terror of the masses was born.
69	Psychic Child	[NAME] was born with astral vision, granting the ability to see what others couldn't. But this caused [ENHIM] to become use too much vitality in the process. [NAME] fell ill frequently and thus frail as a result. \nAt ten years old, [NAME] came across a travelling healer who used Acupuncture to seal [ITS] eyes, which allowed [ITS] body to slowly become healthy again.
70	Likeable	[NAME] was born with an unusual talent, specifically the ability to sense the other's soul. This allowed [ENHIM] to answer as the other person wanted them to. \nLearned how to use this ability to gain the affection of those around at quite a young age.
71	Buddhist Aid	[NAME] was born in a small village that was attacked when the child was just seven years old. An old monk saved [ENHIM], passed along some advice instructing [NAME] to practice Cultivation every day and not to tell a soul.
72	Stunted Genius	[NAME] was a genius born to a family of martial artists. Unfortunately [NAME] fell ill to some strange affliction at the age of eleven. The child became debilitated and practicing Cultivation became extremely taxing. The girl that had agreed to marry [ENHIM] also changed her mind. \nThe change in fate caused [ENHIM] to grow jaded, yet [ENHIM] vowed to snatch back everything that one had lost.
73	Exam Genius	[NAME] was a genius at the imperial exam and became a tutor to help others to do the same. Unfortunately, after more than few times not being admitted. [NAME] was beaten and scolded frequently in blind rage. \n[NAME] couldn't bear it and so finally decided to slink off one rainy night.
74	Wealthy Elite Child	[NAME]'s parents are infamous throughout the country as successful in business. Business was busy and they were frequently out and about attending to affairs, so they just left [ENHIM] with some money to tend to daily matters. \n[NAME] became arrogant and domineering early on and held no respect for authority to boot.
75	The King of Games	[NAME] had a genius-level intellect and loved all types of games. By the time [NAME] was ten years-old, this child was an expert at any game heard of. Cricket fighting was a particular game of interest. [ITS] had a keen eye for picking out crickets that would win.
76	Bookworm	[NAME]'s father had passed the imperial examination but had never been able to become a provincial official and so lived vicariously through [ENHIM], upon whom's shoulders all of his hopes were placed. \nBooks were the child's only companion from a young age. And that is how this child became a scrawny bookworm.
77	Slingshot Master	[NAME] was a natural with the slingshot from a young age and would frequently use it on the tribe's chickens. \nOnce [IT] was a bit older, the tribe dispatched the child to the fields to put that skill with the slingshot to use guarding against animals that would steal their crops.
78	Innate Affliction	[NAME] had an odd affliction from a young age that put the child's Meridians in disarray, rendering the practice of Cultivation impossible. What's more the child was also prone to fainting spells. Every time [NAME] would faint, an odd aroma would waft about, but upon waking the illness always seemed to be more serious as the child became even weaker. \n[NAME] could not engage in any heavy labor as a result of this strange affliction.
79	Child from the West	[NAME] was born in a city on the frontier to a family of barbarians. At age seven, the tribe of [ENHIM] was conquered by those of the Central Plain and turned into slaves. \n[NAME]'s position was about as low as could be, and not being able to understand the language of those of the Central Plain didn't help, rather it only created more obstacles. This rendered [ENHIM] even more introverted.
80	Prince	[NAME] is one of the princes of the current dynasty. As such, grueling education and training to understand infighting was common. \nAs a teenager, [NAME] was framed by the Emperor's eldest son. In order to escape the palace alive [NAME] feigned death.
81	Puppet Emperor	[NAME] ascended the throne at the age of three before spending years basking in the adulation of court sycophants. The whole time, their regent controlled everything from behind the scenes. \nWhen [NAME] reached the age of thirteen [ITS] regent staged a coup. [NAME] escaped with help... But [ITS] life of luxury had come to an end.
82	Child Soldier	[NAME] was born into a world of chaos, warlords abounded that wouldn't let even a child go free. And that is how [NAME] was forced into service. \n[NAME] followed the troop about the land, attending to necessary tasks. The warlord was eventually defeated and this child was finally free.
83	Orphan of the Mine	[NAME]'s parents were miners and so [NAME] grew up in a mining shed. \nUntil there was a mining accident, that is, that took the loves of this child's father and mother. In order to survive, [NAME] was forced into service in the mine with a Pickaxe in hand.
84	Pickpocket	[NAME]'s father was a gangster that lived his life gambling and stealing. Growing up surrounded by the environment provided by this type of role model naturally led [NAME] to expect something for nothing and thus also turned to stealing. \n[NAME]'s appearance deceives others and causes them to let their guard down. As a result, [IT] got a lot of practice from a young age.
85	Pickpocket	[NAME] was kidnapped and sold to a band of thieves at a young age. \nWhile stealing one time [NAME] slipped a note asking for help into a target's pocket and the authorities were alerted. The band of thieves was caught and [NAME] was saved.
86	Disabled Youth	[NAME] lost an ear and an arm to a wild boar when but a young child. [NAME] was lucky to survive, but would never be the same. \n[NAME] wasn't discouraged by this, rather took this experience as an excuse to train even harder. At the age of ten, [NAME] thought that [ITS] Training was sufficient to head off into the mountains in search of revenge on the wild boar. Unfortunately [IT] didn't leave the mountains without having [ITS] legs broken first. [IT] couldn't recover from this setback.
87	Disabled Youth	[NAME] was afflicted with a strange malady that made it so that at ten years of age the child did not continue to grow and thus forever appeared to be child. \nThis gave [ENHIM] quite some trouble as [ENHIM] was unable to take care of oneself as a normal adult would.
88	Mute	[NAME] had a high fever once when young that left [ENHIM] with brain damage. This left [ENHIM] with some mental deficiencies, such as a loss of the ability to talk. \n[NAME] felt down in the dumps as a result and so would spend every day lost in calligraphy and games so as to dull the pain of loss.
89	Scapegoat	[NAME] was the child of a general's house's gate guard. At the age of ten, the general was caught in political turmoil and ended up being persecuted. So as to continue the bloodline, the general had [NAME] go instead of the Young Master. \n[NAME] was unwilling to die over this and so killed the Young Master during the chaos and fled.
90	Cultivator Youth	[NAME] was born in a small village that had a Sect nearby known as the Black Gate. [NAME] was chosen to serve as an outer disciple since a young age. \nAlthough [IT] was later expelled, but those years spent as an outer disciple left [ENHIM] with a base of knowledge of Practice that would prove quite useful.
91	Medicine Child	[NAME] accompanied an old healer and was responsible for fetching medicine and writing up prescriptions. \nOne time [NAME] grabbed the wrong dosage and the patient almost lost his life. As a result [NAME] was abandoned by the healer.
92	Chronic Invalid	[NAME] was born prematurely and thus frail. The child got sick frequently and was slow to heal no matter the malady. As a result, [NAME] spent [ITS] childhood taking medicine.
93	Tundra Child	[NAME] is a part of a tribe that resides at the northern frontier. Heavy Snow covers the land in the winter and ice fishing and hunting are the only means by which the tribe can subsist. \n[NAME] exhibited a talent for hunting from a young age. [NAME] frequently would go hunting hares, foxes, and other small game out on the tundra.
94	Gobi Vagabond	[NAME] was born in a town in the Gobi Desert. When little, a large sandstorm engulfed the town. [IT] followed some survivors as they wandered about. \nA few years on the road made the life and death as well as the bitterness of human existence a familiar sight and so [IT] lost [ITS] sense of hope for the world.
95	One with the Water	[NAME] was born in an area to the south of the Yangtze River where rivers and lakes abound. [NAME]'s hometown sat on one of these very rivers. The houses were connected by waterways and this lent a uniqueness to the customs of those that lived therein. \n[NAME]'s family ran a general store. [NAME] would ride boats about the city trying to peddle the store's wares.
96	Mountain Youth	[NAME] was born on a great mountain and travelled all around with [ITS] older brother. \nWhat [NAME] loved most was to go out looking for mushrooms after it rained, that the child always found more than [ITS] older brother was icing on the cake.
97	Young General	[NAME] was a young general of the Red Flame Army and possessed exceptional military prowess from a young age. \nUnfortunately the entire army perished ironically in a fire. [IT] was able to make it away, but ended up poisoned.
98	A Life of Godliness	[NAME]'s mother experienced complications while giving birth and died. As soon as [NAME] was born, there was a mysterious fragrance that abounded and, although it was spring, all of the flowers about the city withered seemingly without cause. \nAs [NAME]'s constitution was unique, ghosts and monsters were easily attracted. [NAME] ran into a monk once when young who gave [ENHIM] some Buddha beads and a black cape to carry along no matter where [NAME] may go. At last [NAME] knew peace.
99	Kung Fu Aristocrat	[NAME]'s father was the expert in the family, but in an important match, he made a sacrifice for the family and ended up disabled. The father then put all of his hopes on his child's shoulders. Sadly, [NAME]'s talents were average and so progress was slow. \nDuring a Fortuitous Adventure, [NAME] found a stone amulet in a mysterious pool of water. With the help of the amulet, [ITS] Cultivation grew by leaps and bounds and so [NAME] became the genius of the family.
100	Divine Gift	[NAME]'s natural talents seemed boundless and by the age of eight [ITS] strength was a match for an adult. The child could wield an iron Mace and move large stones. \n[NAME] lived up to [ITS] name and yet trained even harder despite [ITS] power far outstripped that of [ITS] peers.
501	Storied Warrior	[NAME]'s martial arts abilities were impressive and so amongst commoners this one was something of a robinhood figure. During a battle once, [NAME] was left with a long, narrow scar on [ITS] face that left this one looking a vicious sight.
502	Swordswoman	[NAME]'s martial arts abilities were impressive and so amongst commoners this one was something of a robinhood figure. While travelling about the land, [ITS] companion tried to save [NAME] and perished in the process. [NAME] was greatly dispirited by this and so left the world of the warrior.
503	Retired Bodyguard	[NAME] was a bodyguard until took an arrow to the knee while guarding a target.
504	Landlord's Evil Slave	[NAME] was the evil slave of a landlord. Many years of bullying the weak and fearing the strong made [NAME] understand the importance of fully taking in a situation first. \nYet in the end there was one time that [NAME] went up against the wrong person and so had to live on the run.
505	Butcher	[NAME] used to be a butcher that slaughtered all manner of animals to make a living. Such a hard living gave [NAME] a robust physique. So many years of slaughtering also made [NAME] grow used to the smell of blood and death.
506	Farmer	[NAME] was a farmer and was well used to hard labor. But such hard labor took its toll on the body and mind.
507	Craftsman	[NAME] was used to crafting works of art having done so for a living. As a result of the work involved [NAME] had remarkable dexterity.
508	Bandit	[NAME] was forced by life to become a bandit and to live a life that hardens the heart of any that follow it. But, this type of lifestyle did also take its toll on [ENHIM]. [IT] lost an arm one time to enable [ENHIM] to escape being captured by officials.
509	Teahouse Lurker	[NAME] was a lurker in a teahouse. Life at the bottom led [ENHIM] to become quite familiar with ways to please others. This type of environment also inculcated one with some cooking skills.
510	Storyteller	[NAME] inherited a storyteller's legacy and told [ITS] own story as follows: A donkey meandering about, telling stories to earn one's living.
511	Top Scholar	[NAME] was once a champion of the imperial examination and [ITS] level of culture was considered to be quite high. Yet, [IT] loved agriculture and so renounced [ITS] position as an official and disappeared into the fields.
512	Volunteer Leader	[NAME] was once the leader of a volunteer army that fought to overthrow corrupt states. But, in the end, [ITS] soldiers disbanded due to infighting.
513	Volunteer Soldier	[NAME] was once a soldier in a volunteer army. Life in the army left [ENHIM] with an impressive physique. Revolutionary convictions hardened [ITS] will.
514	Rebel Leader	[NAME] was once a rebel leader, and was proficient at commanding. As leader, [NAME] were ruthless and cold and led [ITS] troops to pillage, burn, plunder, and to go up against the imperial army. During a battle, [ITS] troops were surrounded and [NAME] was the only one to escape alive.
515	Rebel Soldier	[NAME] joined a rebel army due to dissatisfaction with high taxes. But [NAME] could not bear the rebel army's pillaging and plundering. One night, [NAME] killed a fellow soldier after a night of their committing unspeakable deeds and so fled.
516	Fugitive	[NAME] is an escaped prisoner and a few years on the run have left [ITS] nerves sensitive and agitated. This has rendered [ENHIM] liable to burst out in fits of intense emotions.
517	Butcher	[NAME] was an executioner that executed people given a death sentence. So much blood on [ITS] hands made their heart like a block of ice.
518	Evil Sect Lackey	[NAME] was a lackey for an evil sect that was responsible for maintaining the sect's contacts and business. Although [NAME] had not been formally taught Cultivation, but had absorbed some knowledge from [ITS] experiences.
519	Hospital Doctor	[NAME] was a hospital doctor and although [ITS] abilities were not the best, but normal diseases were no problem.
520	Medic	[NAME] was a medic in an army. [ITS] abilities were impressive and spending so much time with the army had instilled a soldier's will in [ENHIM].
521	Travelling Healer	[NAME] was a travelling healer known throughout the land. [NAME] loved medicine and took healing the sick and wounded as a personal responsibility. [NAME]'s travels exposed [ENHIM] to a great many things and helped to hone [ITS] medical skills.
522	Veterinarian	[NAME] was a veterinarian and, although could also heal people, [ITS] healing abilities were not truly up to the task of anything sophisticated.
523	Port Porter	[NAME] was a porter at a port. A tough job like this builds a powerful physique and a large frame. It also took its toll on [ITS] body.
524	Mountain Porter	[NAME] was a mountain porter. A tough job like this builds a powerful physique and a large frame. Frequent trips up and down the mountain also lend one a great sense of balance. It also took its toll on [ITS] body.
525	Dojo Instructor	[NAME] was an instructor at a dojo. [NAME]'s abilities were not bad and so [ITS] reputation was well known in the area. \nUnfortunately, accidentally grabbing a disciple's breast left [ENHIM] with no property and no identity.
526	Private Tutor	[NAME] was a private tutor that had impressive academic achievements, but [NAME] was too strict and traditional so students tended not to like [ENHIM]. [NAME] caught a nobleman cheating during an imperial examination. The nobleman had [ITS] leg broken as retribution.
527	Mountain Hunter	[NAME] is a strong and vigorous mountain hunter that is adept at trapping. [NAME] has a loyal hound at [ITS] side.
528	Arctic Hunter	[NAME] is a hunter used to arctic climes. [NAME]'s body is extremely well developed and as this one is used to running shirtless in the snowfields, so cold is not something [IT] fear.
529	Nomadic Hunter	[NAME] is a nomadic hunter from the grasslands who lives out in the wilderness all year round, as a consequence [NAME] has no way of entering a deep sleep.
530	Imperial Hunter	[NAME] is an imperial hunter that is responsible for teaching the emperor's children to hunt. [NAME]'s skills are preeminent and are often talked about, yet [NAME] finds that living in the imperial household has instilled a strong need to wear furs.
531	Matchmaker	[NAME] is adept at speaking and loves to gossip. [NAME] is a famous matchmaker that is said to be great at finding a match to last a lifetime.
532	General's Assistant	[NAME] is a general's assistant that travels with the army and although this one isn't the most resourceful, [ITS] cautiousness has helped to undermine enemy ambushes and strategies more than few times. This has given [ENHIM] a sense of self-satisfaction.
533	Constable	[NAME] is a constable responsible for tracking down criminals. [NAME] has tracked down many over the years and has wounds to prove it.
534	Fortuneteller	[NAME] lurks about the streets telling fortunes for a living. [NAME] doesn't have any real skill to speak of other than the ability to talk nonstop. Years on the streets have given [ENHIM] eyes like a hawk and so has become pretty adept at describing situations the way they actually are.
535	Artist	[NAME] is a craftsman with ink and brush that excels at landscapes and portraits. [NAME] has an art shop back home where this one made a living painting for funerals and marriages alike.
536	Army Cook	[NAME] is a chef that travels with the army. [IT] is used to cooking large quantities of food that while doesn't necessarily win the most praise for its flavor, but a whole heap of it sure can be cooked in a jiffy.
537	Stablehand	[NAME] ekes out an existence caring for horses. [NAME] is responsible for tending to several hundred horses each day. \nThe repetition of the same tasks day in and day out have worn on [ENHIM] who frequently daydreams about novels while feeding the horses.
538	Herder	[NAME] is the member of a tribe that lives on the grasslands. [NAME] has always had good eyesight, which is why this one is in charge of the tribe's herd. \nTending to the herds is an onerous task in and of itself, not only does one have to stop any animals from straying but they also have to protected by any that would prey on them. This made [NAME] become extremely agile.
539	Seaman	[NAME] is a seaman and every year as the spring tide approaches, [NAME] displays [ITS] abilities by fighting the crest of the spring tide, that it pleases the officials that come to watch doesn't hurt. During the rest of the year [NAME] has to train intensely to maintain [ITS] physical condition at its peak so as not to lose to the next year's spring tide.
540	Geomancer	[NAME] is an infamous geomancer that has helped countless officials and noblemen to attune the Feng Shui of their homes. Even the current dynasty's imperial family has sought [ITS] counsel.
541	Master Chef	[NAME] is a master chef that is renowned through the land. [NAME]'s skills in the kitchen are masterful and it is even said that [NAME] once cooked for the Immortals in a dreamscape.
542	Foreman	[NAME] is a foreman for the imperial court and is so competent that this one was commissioned to build a luxurious palace for the emperor. [NAME] was quite demanding of others though, and often doles out severe punishment to workers to the extent of torture which has taken more than a few lives.
543	Architect	[NAME] became a famous architect while still young and learned the art of architecture from some of the most famous of architects. \nWhile studying [ITS] craft, [NAME] was once responsible for a design and construction of a palace garden, and it was from this that [NAME] began to gain so much fame.
544	Acrobat	[NAME] is an acrobat that has performed all over with [ITS] troupe. Many years performing this art have left [ENHIM] with incredible concentration to the extent that even with huge and loud crowds the performance will be both immaculate and stunning.
545	Snake Charmer	Snake charming has been passed down through [NAME]'s family for generations. [NAME] raised an extremely venomous snake from a young age and is able to communicate with it closely. [NAME] relies on this skill to make a living and has even had to survive a feud with peers to continue doing so.
