ID	Content	WholeContent	TipDesc	Desc
39	Realizou alquimia _e conseguiu/mas falhou.	Alguém realizou alquimia.		
40	{0} reconheceu {1} como mestre.	Alguém tem um novo mestre.		
41	{0} tem reclamações sobre a seita.	Alguém tem reclamações sobre a seita.		
42	{0} voltou da aventura.	Alguém voltou da aventura.		
43	{0} realizou um avanço _e foi bem-sucedido/mas falhou.	Alguém está realizando um avanço.		
44	Previsão Universal: {0}.	Previsão Universal.		
45	{0} precisa de um líder de filial.	Branch precisa de um novo líder.		
46	{0} está com fome.	Alguém está com fome.	É preciso mais comida.	
47	{0} está com sede.	Alguém está com sede.	São necessárias mais fontes de água.	
48	{0} está entediado.	Alguém está entediado.	São necessárias mais instalações de entretenimento.	
49	{0} está cansado.	Alguém está cansado.	É necessário mais descanso e sono.	
50	{0}: machucado.	Alguém está ferido.		
51	{0}: deterioração da lesão.	A lesão de alguém está se deteriorando.		
52	{0}: aleijado.	Alguém está aleijado.		
53	Salvamento concluído.			
54	{0}: condições de cultivo inadequadas.	As condições de crescimento das plantas espirituais tornaram-se inadequadas.		
55	{0} está em perigo.	Uma estranha sensação de perigo está presente.		
56	Um {1} sentiu o Qi e se transformou em uma fera.			
57	Besta {0} apareceu.	Uma fera está aparecendo.		
58	A Besta {0} sentiu o Qi e avançou.	Besta atravessou.		
59	A fera antiga {0} está atacando!	Uma fera antiga está atacando!		
60	{0} ativou o artefato {1}.			
61	{0} passou pela Tribulação _e foi bem-sucedido/mas falhou.	Sobreviver à Tribulação		
62	A relíquia aparece!	Aparece a relíquia		
63	{0} é reivindicado por {1}.			
64	Nova versão disponível		Nova versão disponível: {0}.	
65	{0} tentou transcrever {1} _e conseguiu/mas falhou.	Armazenado no Pavilhão Manual		
66	O estado mental de {0} foi elevado para [{1}] e também melhorou sua divindade.			
67	{0} perdeu o controle sobre sua obsessão e enfrentará a Tribulação da Crença.	Obcecado		
68	{0} criou a relíquia sagrada {1} _e conseguiu/mas falhou.	Criando Relíquia Sagrada		
69	A obsessão de {0} por {1} apareceu.	A obsessão aparece		
70	{0} atingiu a divindade plena e em breve ascenderá.	Ascensão		
71	{0} cortou sua obsessão: [{1}]			
72	O título divino de {0} mudou.	Título Divino		
73	{0} tentou estudar {1} _e conseguiu/mas falhou.	Estudar		
74	{1} encontrou um pedaço de {0} enquanto comia bolinhos.			
75	{0} fica iluminado	Animismo Taoísta		
76	{0} possui autoconsciência e se tornou um Espírito Sentiente	Despertar do Espírito Sensível		
77	{0} Falha na canalização	Falha na canalização		
78	{0} apareceu	Espíritos sencientes passando		
79	{0}'s {1} já foi remodelado			
80	Yin Yang Rock recuperou seu poder.	Yin Yang Rock recuperou seu poder.		
81	Earthmother Stele recuperou seu poder.	Earthmother Stele recuperou seu poder.		
82	Um item voou da Fenda do Outro Mundo.	Um item voou da Fenda do Outro Mundo.		
83	{0}： Peixe mordeu a isca!	pescaria		
84	{0} aprendeu {1}	Treinamento		
10001	Caverna Misteriosa			Os terremotos cada vez mais frequentes em sua seita de repente pararam recentemente e, ao mesmo tempo, uma misteriosa caverna apareceu no chão. Você pode sentir uma vontade forte, mas obscura de um ser de dentro da caverna. Você não tem ideia do que pode ser. \n Cultivadores antigos estão começando a aparecer neste reino com mais frequência. Talvez você possa pedir-lhes informações.
10002	Ameaçador			A caverna misteriosa de repente se tornou ameaçadora, e queria que você [TXT].
10003	Ameaçador			A caverna misteriosa de repente se tornou ameaçadora, e queria que você [TXT].
10004	Ameaçador			A caverna misteriosa de repente se tornou ameaçadora, e queria que você [TXT].
10005	Sacrificado			Você completou o ritual na frente da caverna, e o ser misterioso ficou muito satisfeito.
10006	Desastre natural			O misterioso ser dentro da caverna ficou muito zangado e provocou um desastre: [TXT].
10007	Desastre de Bestas			O misterioso ser dentro da caverna estava muito bravo, e atraiu alguns monstros para atacar sua seita.
10008	Desastre da Destruição			O ser misterioso dentro da caverna estava muito zangado e jorrou um jorro de água que irrompeu pela superfície do solo.
10009	Fora das cinzas			O dragão enfurecido rompeu o chão e emergiu.
10010	Assassinado			Depois de uma luta longa e difícil, o Dragão foi finalmente morto.
10011	Calor extremo			Por razões desconhecidas, a temperatura média neste reino de repente aumentou um pouco. Este aumento na temperatura foi muito além das mudanças normais no clima. Pode indicar algo incomum.
10012	Monstro Descontrolado			A seca extrema enlouqueceu os monstros, e alguns monstros desequilibrados apareceram perto da seita.
10013	Asa Flamejante caindo			Uma onda de calor varreu o céu e algo estranho caiu.
10014	Seca Prolongada			O calor contínuo trouxe consigo uma seca. Você sentiu que a temperatura estava subindo mais e mais. Se você não agir agora, a situação pode piorar.
10015	Besta Descontrolada			Alguns monstros ficaram loucos de medo e até deixaram seu próprio território para causar estragos por toda parte!
10016	Asa Flamejante caindo			Uma onda de calor varreu o céu e algo estranho caiu.
10017	Som estridente			Depois de lançar um feitiço para afastar a seca prolongada, você descobriu que o mundo parecia ficar estranhamente quieto por uma hora. Alguns momentos depois, um grande bando de pássaros de repente voou de algumas montanhas remotas. Um som estridente e sinistro quebrou o silêncio.
10018	Chegada da Fenóxica			Uma Fênix feroz se aproxima.
10019	Cataratas da Fenóxica			Depois de uma luta longa e difícil, o Phoenix foi finalmente morto.
10020	Começa a Noite Polar			Por razões desconhecidas, o reino de repente perdeu o equilíbrio de Yin e Yang. A área ao redor de sua seita fica envolta em um breu, como se fosse noite.
10021	Ovo de Yin			Alguns ovos estranhos apareceram de repente perto de sua seita no meio da noite. Há algo eclodindo dentro deles...
10022	Começa o dia polar			Por razões desconhecidas, o reino de repente perdeu o equilíbrio de Yin e Yang. De repente, tornou-se meio-dia na área ao redor de sua seita... Você não sabe por quanto tempo esse caos continuará.
10023	Ovo de Yang			Alguns ovos estranhos apareceram de repente perto de sua seita no meio do dia. Há algo eclodindo dentro deles...
10024	Caos do Dragão da Tocha			O caos contínuo de Yin e Yang finalmente atingiu seu limite. Com um suspiro prolongado, uma criatura gigante começou a se manifestar dentro do reino!
10025	Incubação de ovos			À medida que os estranhos ovos começaram a eclodir, o Yin e o Yang do reino lentamente perderam o equilíbrio!
10026	Quebra de Ovos			À medida que os ovos estranhos foram destruídos, o Yin e o Yang deste reino lentamente perderam o equilíbrio!
10027	Mudança drástica			Houve uma explosão repentina de Qi nas Planícies Centrais. No início, ninguém prestou muita atenção a isso, pensando que era outra mudança normal no fluxo de Qi. Com o passar do tempo, as pessoas começaram a perceber que a escala e a intensidade da explosão estavam além de todas as expectativas. Ele vem se espalhando do epicentro por mais de um mês, provando que no final das contas foi uma mudança drástica que afetaria todos os cultivadores.\n Agora, a influência da explosão atingiu sua seita. Como todos apreciam o Qi transbordante, você se pergunta o que essa mudança drástica pode significar para todos vocês...
10028	Maré de mil anos			Faz dias desde que a explosão de Qi terminou de se espalhar pelo reino. A partir da leitura de documentos antigos, as seitas famosas finalmente decidiram que era a maré de Qi que surge a cada 3.000 anos. Cultivadores antigos que estavam adormecidos por vários motivos começaram a ser revividos um a um pela Maré de Mil Anos.\n Sem a ordem e as regras atuais, os cultivadores dos tempos antigos acreditavam na lei da selva. Esses cultivadores com crenças antigas e experiência significativa no cultivo causaram o caos no mundo dos cultivadores em apenas alguns dias...
10029	Desastre no Sul Selvagem			Um desastre misterioso aconteceu recentemente nas montanhas da fronteira norte. Foi dito que o chão e as montanhas tremeram por um minuto, e o som foi tão alto que se espalhou por milhares de quilômetros. Quando os cultivadores próximos chegaram, eles só encontraram todas as montanhas submersas na água, com um forte Qi sinistro permeando a área.\n Parece que algumas feras antigas raras e indescritíveis que se escondem nas montanhas e lagos são afetadas pelo Milênio Tide e tornaram-se ativos novamente.
10030	Ruído subterrâneo			A maré de mil anos passou. Em pouco mais de um mês, cultivadores antigos foram revividos e feras antigas começaram a se tornar ativas novamente... O mundo dos cultivadores enfrentou uma mudança drástica. Com o passar do tempo, o mundo dos cultivadores gradualmente recuperou sua paz e equilíbrio. Tudo parece estar de volta aos trilhos. \n No entanto, terremotos subterrâneos começaram a acontecer com frequência em sua seita. Você não sabe o que está acontecendo...
10031	Tribulação dos Dragões			O poder da Tribulação Celestial matou todos os Dragões do Dilúvio ainda não nascidos...
10032	Ameaçador			A caverna misteriosa de repente se tornou ameaçadora, e queria que você [TXT].
10033	A conquista ({0}) falhou	Conquistas		Falha na conquista
20001	Rumores no mundo			    [TXT]
20002	Perturbação do Outro Mundo			Houve conversas de que a Fenda para o outro mundo de repente se abriu recentemente e vários tesouros reluzentes voaram para fora dela, espalhando-se pelo mundo. Você sentiu algo estranho acontecendo. Parece que você tem uma conexão espiritual com esses tesouros e uma busca cuidadosa é necessária.
30001	O agente {0} chegou em {1}.	O agente chegou		Chegada bem sucedida
30002	{0} atribuído com sucesso.	Atribuição bem-sucedida		Atribuição bem-sucedida
30003	Construção concluída {0}.	Construção concluída		Construção concluída
30004	Concluída a atualização do salão principal de {0}.	Atualização do salão principal		Atualização concluída
30005	{0}	Um evento aconteceu.		Evento aconteceu
30006	{0}	Um desastre aconteceu.		Desastre aconteceu
30007	O comerciante {0} chegou.	Chegada do comerciante		O Mercador Viajante chegou
30008	Nós construímos {0}!	Construção concluída		Maravilha Construída
40000	A União Mercante anunciou sua condenação!	Condenação da União Mercante	Por causa de seu comportamento rude, o Sindicato Comercial decidiu bani-lo de sua lista de comércio para sempre.	
30009	As crenças de {0} estão cheias.	Crenças Completas	{0} reuniu crenças suficientes. Por favor, envie discípulos para recolhê-los.	
30010	O armazenamento de {0} está cheio.	s armazenamento está cheio.	O armazenamento de {0} está cheio, reivindique-o manualmente.	
30011	{0}	Escolha a política		
31001	Elfo Estranho	Elfo Estranho	Estranho Pequeno Elfo chegou.	
31002	Dragão da Tocha Mutante	Dragão da Tocha Mutante	O Dragão da Tocha Mutante apareceu.	
32001	Um cachorrinho apareceu nas proximidades!	Um cachorrinho apareceu nas proximidades!	Um cachorrinho apareceu nas proximidades!	    
32002	Uma raposa apareceu nas proximidades!	Uma raposa apareceu nas proximidades!	Uma raposa apareceu nas proximidades!	    
32003	{0} está sendo usado para ranger os dentes	A Seita está sendo atacada	A Seita está sendo atacada	
32004	Uma tartaruga preta apareceu nas proximidades!	Uma tartaruga preta apareceu nas proximidades!	Uma tartaruga preta apareceu nas proximidades!	    
33001	{0} ainda não passou na Tribulação Celestial da Metamorfose	A Tribulação Celestial da Mudança de Forma falhou	{0} ainda não passou pela Tribulação Celestial Metamorfose, conhecendo seu criador	
33002	{0} ainda não passou na Tribulação Celestial da Metamorfose	A Tribulação Celestial da Mudança de Forma falhou	{0} ainda não passou na Tribulação Celestial Metamorfose, tornando-se um Monstro	
34001	{0} precisa urgentemente de pensar	Necessidade urgente de pensar	Já obteve Pensamento suficiente, vá em frente e chegue ao Pensamento.	    
34002	{0} entrou no estado de despertar	Estado de Despertar		    
34003	{0} começou a aprender	Estágio de Aprendizagem		
34004	{0} amadureceu	Estágio maduro		
34005	{0} está hesitando	hesitar		
34006	A inteligência de {0} já foi maximizada	Exercício		
34007	O Qi de {0} já foi maximizado	Exercício		
34008	Os feitiços de {0} já foram maximizados	Exercício		
34009	O Core de {0} já foi maximizado	Exercício		
34010	A proteção de {0} já foi maximizada	Exercício		
34011	Um panda divino apareceu nas proximidades!	Um panda divino apareceu nas proximidades!	Um panda divino apareceu nas proximidades!	    
34101	As Pedras Espirituais do Altar Eco do Céu chegaram	As Pedras Espirituais do Altar Eco do Céu chegaram		
34102	As Pedras Espirituais no Altar do Eco do Céu esperam para serem coletadas	As Pedras Espirituais no Altar do Eco do Céu esperam para serem coletadas		
34103	Pedra do Espírito Cristalizada Completa!	Pedra do Espírito Cristalizada Completa!		
34200	Desbloquear Manto: {0}	Desbloqueie o Manto.	Pode ser produzido em uma mesa de costura.	
