拜祖师	Worshipping ancestors
铁灯柱	Iron Lamp Post
铁围棋桌	Iron Go Table
灵石护山剑阵	Spirit Stone Sword Shield
铁油灯	Iron Oil Lamp
木练功点	Wood Training Spot
铁水缸	Iron Water Vat
木门（通常）	Wood Door
寒晶门（通常）	Ice Crystal Door
金丝木门（通常）	Goldwood Door
金丝木灯笼	Goldwood Lantern
棕石花瓶	Brownstone Vase
棕石熔炉	Brownstone Furnace
寒晶鼎	Ice Crystal Cauldron
梧桐木花瓶	Parasol Wood Vase
寒晶花瓶	Ice Crystal Vase
火铜花瓶	Igneocopper Vase
大理石花瓶	Marble Vase
玄铁花瓶	Darksteel Vase
星髓花瓶	Lumina Core Vase
金丝木花瓶	Goldwood Vase
铁屏风	Iron Folding Screen
铁锻铁台	Iron Forge
铁缝纫桌	Iron Sewing Table
铁纺织机	Iron Loom
寒晶八卦旗	Ice Crystal Trigrams Flag
大理石狮子	Marble Stone Lion
大理石灯笼	Marble Lantern
大理石太极旗	Marble Tai Chi Flag
金丝木太极旗	Goldwood Tai Chi Flag
金丝木八卦旗	Goldwood Trigrams Flag
灵石元始天尊雕像	Spirit Stone Beginning Statue
灵石神鹤灯	Spirit Stone Crane Lantern
灵石狮子	Spirit Stone Stone Lion
木法座	Wood Qi Cushion
木太极旗	Wood Tai Chi Flag
大理石塔	Marble Pagoda
灰石灯柱	Graystone Lamp Post
灰石盆栽-迎客	Graystone Bonsai (Pine)
灰石盆栽-苍翠	Graystone Bonsai (Lush)
灰石书架	Graystone Decoration Shelf
灵石镇塔	Spirit Stone Subduer Pagoda
灵石假山-叠嶂	Spirit Stone Rock Garden (Hill)
灵石盆栽-苍翠	Spirit Stone Bonsai (Lush)
灵石太极旗	Spirit Stone Tai Chi Flag
大理石香炉	Marble Censer
一	One
大理石碑	Marble Stele
太	
大理石灯柱	Marble Lamp Post
大理石神鹤灯	Marble Crane Lantern
灰石钟	Graystone Bell
灵石灯柱	Spirit Stone Lamp Post
灵石雕塑	Spirit Stone Stone Giant
灵石香炉	Spirit Stone Censer
灵石祖师牌位	Spirit Stone Ancestral Shrine
灵石法座	Spirit Stone Qi Cushion
灵石八卦旗	Spirit Stone Trigrams Flag
灵石灯笼	Spirit Stone Lantern
灵石碑	Spirit Stone Stele
灵石盆栽-迎客	Spirit Stone Bonsai (Pine)
灵石假山-层峦	Spirit Stone Rock Garden (Peak)
红布蒲团	Red Fabric Cushion
金丝木钟	Goldwood Bell
灵石观星台	Spirit Stone Observatory
吃东西	
睡觉	Sleeping
闲逛	
雌蛇	Female Snake
恶劣的环境	
拆除	Demolish
脏乱的环境	
漆黑	Dark
极寒	Freezing
挖矿	
昏暗	Dim
筑基	Foundation Training
全身受伤	
冻伤导致全身被破坏	
滕	Teng
厚	Hou
母兔子	Female Rabbit
公兔子	Male Rabbit
人间绝景	
境界提升	
突破瓶颈	Breakthrough
芮	Rui
鸿畅	Hongchang
赌场老板	
掌门	Sect Leader
非常饿	
蔚	Yu
兴思	Xingsi
芮鸿畅	
有点热	
需要房间	
跟芮鸿畅发生了争吵	
炎热	Hot
装备	Gear
褚	Chu
未熄	Weixi
多姿多彩	
睡在地上	
有点冷	
空旷的房间	
睡眠充沛	
收获	Harvest
长孙	Zhangsun
山	Shan
合适的衣装	
行为	
庄	Zhuang
明	Ming
闻人	Wenren
刚	Gang
炙热	
非常疲劳	
咸	Xian
晓曼	Xiaoman
吃生食	
秋	Qiu
梦琪	Mengqi
小麦	
汝克	
弃婴	
筑基有成	
糟糕的布置	
翁	Weng
琼	Qiong
雪原少年	
新世界	
灵气浓烈	
钭	Tou
自强	Ziqiang
佛门传承	
矿工	
睡在野外	
单	Shan
仁	Ren
夹谷世	
夹谷	Jiagu
叶	Ye
单仁	
焦	Jiao
良	Liang
施	Shi
华	Hua
游	You
凝阳	Ningyang
秦	Qin
善	Shan
吕	Lv
芷蕾	Zhilei
糟糕的衣服	
交际	
练习	
令狐	Linghu
天	Tian
桓	Huan
先	Xian
司马	Sima
顺	Shun
杨	Yang
大	Da
扫地	Sweep Floors
太一	
门	School
着火了	
存档写入完成	
先天罡气	
化伤术	
璇玑剑谱	
清心咒	
吸星掌	
指北录	
入定之术	
周天神算	Universal Foresight
北斗绝式-北极剑	
天心正法	
御木诀	
玉液炼形诀	
灵息诀	
求雨术	
驱云诀	
微草神视秘要	
玉京飞流法	
三世洞真法	
太和御气诀	
