拜祖师	Venerando os ancestrais
碧光乾坤御	Armadura do Universo de Luz Opalescente
狼皮薄下裳	Calças Finas de Pele de Lobo
木弓	Arco de Madeira
狼皮	Pele de Lobo
坤元障	Barreira da Terra
龟蛋	Ovo de Tartaruga
戊土荡魔蛋	Ovo de Exorcismo de Magia Negra
观音土	Argila de Guanyin
天心庇世灵宝	Treasure Secluded do Coração Celestial
莲花炼心菇	Cogumelo Refinado da Mente de Flor de Lótus
灵晶角料	Desperdício de Cristal Espiritual
六合钉	Cravo das Seis Direções
多宝琢玉秘传	Método Secreto de Polimento de Jade Duobao
己土阴魂罩	Barreira de Aparição Sombria de Terra
狼皮厚制衣衫	Camisa Inverno de Pele de Lobo
腾岳五行甲	Robe do Ascendente Cinco Elementos
花布薄下裳	Calças Finas de Tecido Floral
棕石锤	Mace de Brownstone
木料	Lenha
苍龙五色柱	Coluna Prismática Marinagon
地龙天璇灵宝	Treasure do Dragão Terreno Merak
肉干	Carne Secada
昙花水梨汤	Sopa de Frango com Pera
蔽天法衣	Túnica de Sombras
七巧蒸洪藕	Lótus de Nuvem do Portal do Dragão
牛肉丸	Almôndega de Carne Bovina
雌龟粪便	Feces de Tartaruga Fêmea
灵石墙	Parede de Pedra Espiritual
灵石灯笼	Lanterna de Pedra Espiritual
灵石置物台	Display de Pedra Espiritual
傀儡停放点	Ponto de Estacionamento de Bonecos
灵石门	Porta de Pedra Espiritual
灵石床	Cama de Pedra Espiritual
灵石手工桌	Mesa de Artesanato de Pedra Espiritual
灵石制药桌	Mesa de Farmácia de Pedra Espiritual
灵石缝纫桌	Mesa de Costura de Pedra Espiritual
灵石画符桌	Mesa de Talisman de Pedra Espiritual
灵石纺织机	Tear de Pedra Espiritual
灵石石匠台	Mesa de Pedra Espiritual
灵石磨坊	Moinho de Pedra Espiritual
灵石水井	Poco de Água de Pedra Espiritual
灵石丹炉	Forno de Alquimia de Pedra Espiritual
木砍柴处	Estação de Madeira
灵石炼宝台	Mesa de Criação de Pedra Espiritual
灵石熔炉	Forno de Pedra Espiritual
灵石锻铁台	Forja de Pedra Espiritual
灵石观星台	Observatório de Pedra Espiritual
灵石炉灶	Cozinha de Pedra Espiritual
灵石桌子	Mesa de Pedra Espiritual
灵石小方桌	Mesa Quadrada de Pedra Espiritual
灵石水缸	Vaso de Água de Pedra Espiritual
练功点	Ponto de Treinamento
灵石祖师牌位	Tabuleiro Ancestral de Pedra Espiritual
红布蒲团	Cushion de Tecido Vermelho
历练归来点	Ponto de Recompensa
灵石钟	Sino de Pedra Espiritual
灵石门派山门	Portão da Seita da Pedra Espiritual
灵石神鹤灯	Lanterna da Garça da Pedra Espiritual
灵石鼓	Tambor da Pedra Espiritual
灵石黄龙灯台	Lampião do Dragão da Pedra Espiritual
灵石琴台	Mesa de Cítara da Pedra Espiritual
灵石香炉	Incensário da Pedra Espiritual
灵石假人桩	Boneco de Madeira da Pedra Espiritual
灵石鼎	Caldeirão da Pedra Espiritual
灵石围棋桌	Mesa de Go da Pedra Espiritual
灵石烟花-龙歌	Fogo de Artifício (Dragão) da Pedra Espiritual
灵石护山剑阵	Escudo de Espadas da Pedra Espiritual
许愿	Fazer um Desejo
向地穴许愿	Fazer um Desejo para a Caverna
神秘洞穴	Caverna Misteriosa
母猫	Gata
<font color=MYCOLOR>钭世</font>因<font color=OBJCOLOR>房间风水好</font>心情不错，忍不住来<font color=OBJCOLOR>随便看看</font>抒怀。	<font color=MYCOLOR>钭世</font> por causa de <font color=OBJCOLOR>房间风水好</font> estando de bom humor, não pôde deixar de ir a <font color=OBJCOLOR>随便看看</font> para desabafar.
2天 09:36	2d 09:36
隅中时分，<font color=MYCOLOR>钭世</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Em determinado momento, <font color=MYCOLOR>钭世</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente soltou um longo suspiro.
3天 10:47	3d 10:47
<font color=MYCOLOR>钭世</font>被<font color=OBJCOLOR>睡在地上</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>钭世</font> foi perturbado pela emoção de <font color=OBJCOLOR>dormir no chão</font>, e só pôde <font color=OBJCOLOR>ler rolos</font> para esvaziar a mente.
3天 15:18	3d 15:18
钭	Tou
世	Shi
建立门派	Estabelecer uma Seita
私塾学子	Aluno de Escola Particular
朋	Peng
米	Mi
秋灵	Qiuling
双	Shuang
晓霜	Xiaoshuang
贺	He
扇错	Shancuo
庄	Zhuang
安	An
<font color=MYCOLOR>晏春翠</font>很喜欢<font color=OBJCOLOR>晴天</font>。	<font color=MYCOLOR>晏春翠</font> gosta muito de <font color=OBJCOLOR>dia ensolarado</font>.
4天 08:02	4d 08:02
<font color=MYCOLOR>晏春翠</font>看着旁边的<font color=OBJCOLOR>兔肉</font>若有所思。	<font color=MYCOLOR>晏春翠</font> olhou para a <font color=OBJCOLOR>carne de coelho</font> ao lado, como se estivesse refletindo.
4天 21:24	4d 21:24
晏	Yan
春翠	Chuncui
彪	Biao
晁	Chao
碧彤	Bitong
万里无云，<font color=MYCOLOR>酆刚</font>刚因周围绝美的风景而发出一声叹息，看<font color=HECOLOR>晏春翠</font>刚好在旁边，就拉着她一起聊天。聊到<font color=OBJCOLOR>灵石灯笼</font>的时候，两人竟然颇有共鸣，越谈越深。	Com o céu sem nuvens, <font color=MYCOLOR>酆刚</font> soltou um suspiro devido à paisagem deslumbrante ao redor, e ao ver que <font color=HECOLOR>晏春翠</font> estava bem ao lado, puxou-a para conversar. Ao falar sobre <font color=OBJCOLOR>灵石灯笼</font>, os dois encontraram grande sintonia, e a conversa se aprofundou.
2天 14:10	2d 14:10
门派中，<font color=MYCOLOR>酆刚</font>看<font color=HECOLOR>晏春翠</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>猫</font>的事。	No clã, <font color=MYCOLOR>酆刚</font> viu que <font color=HECOLOR>晏春翠</font> parecia estar entediada, e puxou-a para conversar sobre <font color=OBJCOLOR>gatos</font>.
2天 21:14	2d 21:14
酆	Feng
刚	Gang
清	Qing
水	Shui
如之	Ruzhi
皇甫	Huangfu
妙松	Miaosong
傀儡	 Vessel
正午之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> enquanto estava em <font color=OBJCOLOR>随便看看</font>, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:00	2d 11:00
日中之时，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>凝神望天</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Ao meio-dia, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
2天 11:44	2d 11:44
子夜时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente, sentiu muita saudade de casa.
3天 00:51	3d 00:51
<font color=MYCOLOR>咸元</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>咸元</font> por ter <font color=OBJCOLOR>um estado de espírito claro</font> e estar de bom humor, não pôde deixar de ir a <font color=OBJCOLOR>tocar música</font> para desabafar.
3天 08:52	3d 08:52
日落时分，<font color=MYCOLOR>咸元</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	No entardecer, <font color=MYCOLOR>咸元</font> enquanto <font color=OBJCOLOR>lia rolos</font>, de repente derramou lágrimas.
3天 18:07	3d 18:07
咸	Xian
元	Yuan
毛依白	
乐	Yue
龙	Long
玉靖	Yujing
令狐	Linghu
梅	Mei
俊书生	Pupilo Bonito
门派中，<font color=MYCOLOR>熊子石</font>静静的<font color=OBJCOLOR>观云卷云舒</font>，突然想起自己的<font color=OBJCOLOR>母亲慕容疏影</font>。	No clã, <font color=MYCOLOR>熊子石</font> observava calmamente <font color=OBJCOLOR>as nuvens se desenrolarem</font>, quando de repente lembrou-se de sua <font color=OBJCOLOR>mãe 慕容疏影</font>.
2天 19:42	2d 19:42
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>境界提升</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>熊子石</font> por estar de bom humor devido ao <font color=OBJCOLOR>avanço de cultivo</font>, não pôde deixar de ir a <font color=OBJCOLOR>tocar música</font> para desabafar.
3天 01:42	3d 01:42
<font color=MYCOLOR>熊子石</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>熊子石</font> foi atormentado pela emoção de <font color=OBJCOLOR>necessitar de um quarto</font>, e só pôde <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
3天 03:38	3d 03:38
3天 09:14	3d 09:14
<font color=MYCOLOR>熊子石</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>熊子石</font> por estar de bom humor devido ao <font color=OBJCOLOR>estado de espírito claro</font>, não pôde deixar de ir a <font color=OBJCOLOR>ler rolos</font> para desabafar.
3天 10:55	3d 10:55
熊	Xiong
子石	Zishi
玉书	Yushu
慕容	Murong
疏影	Shuying
刁	Diao
紫真	Zizhen
夺命藕	Raiz Fatal
<font color=MYCOLOR>从功</font>因<font color=OBJCOLOR>别致的风景</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>从功</font> por estar de bom humor devido à <font color=OBJCOLOR>paisagem singular</font>, não pôde deixar de ir a <font color=OBJCOLOR>ler rolos</font> para desabafar.
2天 13:06	2d 13:06
日闲之时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然发出一声长叹。	Durante um momento de lazer, <font color=MYCOLOR>从功</font> enquanto estava em <font color=OBJCOLOR>随便看看</font>, de repente soltou um longo suspiro.
2天 16:00	2d 16:00
门派中，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>随便看看</font>时，突然流下眼泪。	No clã, <font color=MYCOLOR>从功</font> enquanto estava em <font color=OBJCOLOR>随便看看</font>, de repente derramou lágrimas.
2天 16:54	2d 16:54
子时，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	À meia-noite, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente teve vontade de comer <font color=OBJCOLOR>sopa de água de pera efêmera</font>.
2天 23:41	2d 23:41
黄昏时分，<font color=MYCOLOR>从功</font>在<font color=OBJCOLOR>凝神望天</font>时，突然觉得莫名烦躁。	No crepúsculo, <font color=MYCOLOR>从功</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente sentiu uma irritação inexplicável.
4天 20:54	4d 20:54
从	Cong
功	Gong
宁	Ning
傲云	Aoyun
解	Xie
丹秋	Danqiu
阴蜈蚣	Centopéia Yin
绿荫之下，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Sob a sombra verde, <font color=MYCOLOR>南门墨竹</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente derramou lágrimas.
2天 09:51	2d 09:51
万里无云，<font color=MYCOLOR>南门墨竹</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu sem nuvens, <font color=MYCOLOR>南门墨竹</font> enquanto <font color=OBJCOLOR>lia rolos</font>, de repente soltou um longo suspiro.
3天 10:00	3d 10:00
<font color=MYCOLOR>南门墨竹</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>好像正无聊，就拉着她聊了聊关于<font color=OBJCOLOR>爱好</font>的事。	<font color=MYCOLOR>南门墨竹</font> estava contente por estar vestindo algo que lhe caía bem, e ao ver que <font color=HECOLOR>毛依白</font> parecia estar entediado, puxou-a para conversar sobre <font color=OBJCOLOR>hobbies</font>.
4天 05:24	4d 05:24
南门	Nanmen
墨竹	Mozhu
新	Xin
闻人	Wenren
妙竹	Miaozhu
鄢	Yan
爽	Shuang
妙尊者	Deidade Astuta
<font color=MYCOLOR>韶兴</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>凝神望天</font>抒怀。	<font color=MYCOLOR>韶兴</font> por estar de bom humor devido ao <font color=OBJCOLOR>estado de espírito harmonioso</font>, não pôde deixar de ir a <font color=OBJCOLOR>concentrar-se em olhar para o céu</font> para desabafar.
2天 21:53	2d 21:53
天朗气清，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲韶寂弦</font>。	Com o céu claro, <font color=MYCOLOR>韶兴</font> tranquilamente <font color=OBJCOLOR>olhava para o teto</font>, de repente lembrou-se de seu <font color=OBJCOLOR>pai 韶寂弦</font>.
3天 21:17	3d 21:17
晴空万里，<font color=MYCOLOR>韶兴</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲勾凤鸾</font>。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> tranquilamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou-se de sua <font color=OBJCOLOR>mãe 勾凤鸾</font>.
3天 22:05	3d 22:05
<font color=MYCOLOR>韶兴</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>韶兴</font> foi atormentado pela emoção de <font color=OBJCOLOR>necessitar de armas</font>, e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 03:12	4d 03:12
晴空万里，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>韶兴</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente teve a imagem de <font color=OBJCOLOR>钭世</font> em sua mente.
4天 04:16	4d 04:16
子时，<font color=MYCOLOR>韶兴</font>在<font color=OBJCOLOR>下棋</font>时，突然流下眼泪。	À meia-noite, <font color=MYCOLOR>韶兴</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente derramou lágrimas.
4天 23:38	4d 23:38
韶	Shao
兴	Xing
寂弦	Jixian
勾	Gou
凤鸾	Fengluan
万剑君	Homem da Espada
天朗气清，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Com o céu limpo, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>lia rolos</font>, de repente soltou um longo suspiro.
2天 11:22	2d 11:22
日夕之刻，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>夜观星象</font>时，突然很想家。	No entardecer, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>observava as estrelas</font>, de repente sentiu muita saudade de casa.
2天 20:07	2d 20:07
子时，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	À meia-noite, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>olhava para o teto</font>, de repente sentiu muita saudade de casa.
3天 23:45	3d 23:45
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲陶寂弦</font>。	No clã, <font color=MYCOLOR>陶飞</font> tranquilamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou-se de seu <font color=OBJCOLOR>pai 陶寂弦</font>.
4天 11:37	4d 11:37
门派中，<font color=MYCOLOR>陶飞</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>昙花水梨汤</font>。	No clã, <font color=MYCOLOR>陶飞</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente teve vontade de comer <font color=OBJCOLOR>sopa de água de pera efêmera</font>.
4天 14:25	4d 14:25
门派中，<font color=MYCOLOR>陶飞</font>静静的<font color=OBJCOLOR>下棋</font>，突然想起自己的<font color=OBJCOLOR>母亲国黛</font>。	No clã, <font color=MYCOLOR>陶飞</font> tranquilamente <font color=OBJCOLOR>jogava xadrez</font>, de repente lembrou-se de sua <font color=OBJCOLOR>mãe 国黛</font>.
4天 15:23	4d 15:23
陶	Tao
飞	Fei
友菱	Youling
国	Guo
黛	Dai
逆浪君	Homem do Surf
酉时，<font color=MYCOLOR>葛慕儿</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲鲁之玉</font>。	À hora de You, <font color=MYCOLOR>葛慕儿</font> tranquilamente <font color=OBJCOLOR>tocava música</font>, de repente lembrou-se de sua <font color=OBJCOLOR>mãe 鲁之玉</font>.
3天 18:28	3d 18:28
晴空万里，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o céu sem nuvens, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente achou que a <font color=OBJCOLOR>mesa de cítara da Pedra Espiritual</font> ao lado era muito interessante……
4天 08:47	4d 08:47
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	No clã, <font color=MYCOLOR>葛慕儿</font> sozinha <font color=OBJCOLOR>jogava xadrez</font>, de repente ficou imersa em pensamentos.
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>葛慕儿</font> que estava passando o tempo sem fazer nada, viu <font color=HECOLOR>毛依白</font> passar, e então puxou-a para conversar sobre <font color=OBJCOLOR>necessitar de um quarto</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Ao entardecer, <font color=MYCOLOR>葛慕儿</font> enquanto <font color=OBJCOLOR>dançava</font>, de repente achou que a <font color=OBJCOLOR>mesa de cítara da Pedra Espiritual</font> ao lado era muito interessante……
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>葛慕儿</font> por estar de bom humor devido à <font color=OBJCOLOR>conversa</font>, não pôde deixar de ir a <font color=OBJCOLOR>olhar para o teto</font> para desabafar.
4天 17:46	4d 17:46
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Origem da Terra
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Ao meio-dia, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve vontade de comer <font color=OBJCOLOR>tortilha</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	À hora de Shen, <font color=MYCOLOR>奚顺</font> sozinho <font color=OBJCOLOR>observava as nuvens se desenrolarem</font>, de repente ficou imerso em pensamentos.
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu limpo, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve a imagem de <font color=OBJCOLOR>钭世</font> em sua mente.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente teve vontade de comer <font color=OBJCOLOR>fezes de lobo</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o sol inclinado, <font color=MYCOLOR>奚顺</font> enquanto <font color=OBJCOLOR>praticava caligrafia e pintura</font>, de repente sentiu-se muito desanimado.
3天 13:34	3d 13:34
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Bambu do Trovão
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve vontade de comer <font color=OBJCOLOR>fezes de vaca</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Num determinado momento, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente derramou lágrimas.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>随便看看</font>, de repente teve a imagem de <font color=OBJCOLOR>钭世</font> em sua mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>毛依白</font> enquanto <font color=OBJCOLOR>praticava caligrafia e pintura</font>, de repente derramou lágrimas.
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	Nanmen Mozhu
葛慕儿	Ge Muer
韶兴	Shaoxing
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Chama Sombria
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>项辉</font> por estar de bom humor por estar vestindo algo que lhe caía bem, viu <font color=HECOLOR>毛依白</font> passar, e então puxou-a para conversar sobre <font color=OBJCOLOR>Aldeia Jiuhua</font>.
3天 05:57	3d 05:57
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Senhor que Move Montanhas
